No.,Time,Length
1,0,74
2,0.000893,74
3,0.000908,66
4,0.001029,583
5,0.001818,66
6,0.002963,4254
7,0.002973,66
8,0.003009,846
9,0.003011,66
10,0.003252,130
11,0.00354,2385
12,0.004324,78
13,0.004324,66
14,0.006326,2627
15,0.006334,66
16,0.063862,74
17,0.111413,74
18,0.111442,66
19,0.111614,583
20,0.159034,66
21,0.160243,2858
22,0.160253,66
23,0.160291,2453
24,0.160296,66
25,0.160601,130
26,0.160713,2390
27,0.208154,66
28,0.231939,2496
29,0.231959,66
30,0.240288,2399
31,0.288241,66
32,0.322716,2858
33,0.322716,1462
34,0.322735,66
35,0.322743,66
36,0.322763,1462
37,0.322765,66
38,0.324229,2858
39,0.324238,66
40,0.325757,2858
41,0.325766,66
42,0.327291,2858
43,0.327298,66
44,0.328806,2858
45,0.328812,66
46,0.330369,2858
47,0.330376,66
48,0.3319,2858
49,0.33191,66
50,0.333404,2858
51,0.333413,66
52,0.33496,2858
53,0.334965,66
54,0.336444,2858
55,0.336452,66
56,0.337982,2858
57,0.33799,66
58,0.339574,801
59,0.339617,66
60,0.888274,2395
61,0.936236,66
62,0.937368,2858
63,0.937391,66
64,0.938074,2858
65,0.938089,66
66,0.939594,2858
67,0.939614,66
68,0.941102,1462
69,0.941112,66
70,0.941155,1462
71,0.941159,66
72,0.942662,2858
73,0.94267,66
74,0.944188,2858
75,0.944192,66
76,0.945709,2858
77,0.945713,66
78,0.947251,2858
79,0.947261,66
80,0.94879,2858
81,0.948796,66
82,0.950328,2858
83,0.950338,66
84,0.951859,2858
85,0.951865,66
86,0.953414,2858
87,0.953419,66
88,0.954915,2858
89,0.954925,66
90,0.956437,2858
91,0.956447,66
92,0.957947,1462
93,0.957954,66
94,0.95875,2858
95,0.958755,66
96,0.960267,2858
97,0.960272,66
98,0.961802,2858
99,0.961808,66
100,0.963327,2858
101,0.963332,66
102,0.964916,2858
103,0.964928,66
104,0.966384,2858
105,0.966396,66
106,0.967891,2858
107,0.967902,66
108,0.969449,2858
109,0.969466,66
110,0.985341,2858
111,0.985357,66
112,0.986092,2858
