No.,Time,Length
1,0,2386
2,0.000775,66
3,0.003004,1462
4,0.003014,66
5,0.003044,1232
6,0.00305,66
7,0.046996,2392
8,0.049406,2255
9,0.050173,66
10,0.051126,2858
11,0.051134,66
12,0.051217,11234
13,0.051223,66
14,0.051284,8442
15,0.051289,66
16,0.051538,27986
17,0.051546,66
18,0.051779,14026
19,0.051785,66
20,0.051787,2557
21,0.051789,66
22,0.076197,2256
23,0.077197,78
24,0.077197,66
25,0.078257,30778
26,0.078271,66
27,0.078361,11234
28,0.078364,66
29,0.078618,22402
30,0.078636,66
31,0.078643,2858
32,0.078644,66
33,0.078873,22402
34,0.078882,66
35,0.079118,26590
36,0.079353,12630
37,0.079397,18214
38,0.079529,66
39,0.07963,27986
40,0.079663,66
41,0.079866,18214
42,0.079886,4564
43,0.079932,66
44,0.086189,2257
45,0.087213,66
46,0.090941,32174
47,0.090995,66
48,0.091006,8442
49,0.091021,66
50,0.091298,23798
51,0.091314,8442
52,0.091525,25194
53,0.091776,29382
54,0.092028,1462
55,0.092028,29382
56,0.092169,66
57,0.092279,29382
58,0.092297,66
59,0.09253,5650
60,0.09253,23798
61,0.09255,66
62,0.092659,66
63,0.092777,29382
64,0.092788,66
65,0.093026,15422
66,0.093041,66
67,0.09329,29382
68,0.093333,66
69,0.093533,19610
70,0.093543,66
71,0.093557,9838
72,0.093599,66
73,0.093787,26590
74,0.093797,66
75,0.094037,27986
76,0.094051,2858
77,0.094068,66
78,0.094287,27986
79,0.0943,66
80,0.094537,29382
81,0.094563,66
82,0.094788,4254
83,0.094788,25194
84,0.0948,66
85,0.094818,66
86,0.09503,16002
87,0.095038,66
88,0.095047,66
89,0.100679,2258
90,0.101681,66
91,0.103453,29382
92,0.103524,66
93,0.103543,9838
94,0.103557,66
95,0.10381,25194
96,0.103838,9838
97,0.104051,25194
98,0.104308,29382
99,0.104336,4254
100,0.104561,26590
101,0.104815,30778
102,0.105065,2858
103,0.105065,26590
104,0.105172,66
105,0.105307,26590
106,0.10533,66
107,0.106139,26590
108,0.10616,66
109,0.106394,29382
110,0.106423,66
111,0.106645,8442
112,0.106645,21006
113,0.106656,66
114,0.106677,66
115,0.106891,29382
116,0.106913,66
117,0.107131,14026
118,0.107138,66
119,0.107148,16818
120,0.107182,66
121,0.10739,27986
122,0.107416,66
123,0.107632,19610
124,0.107639,66
125,0.107648,11234
126,0.107671,66
127,0.10789,29382
128,0.10791,66
129,0.108131,12630
130,0.108136,66
131,0.108144,11234
132,0.10815,5650
133,0.108154,66
134,0.108172,66
135,0.108415,32174
136,0.108459,66
137,0.108645,26590
138,0.108653,66
139,0.108656,1462
140,0.108891,27986
141,0.108909,66
142,0.109143,29382
143,0.109163,66
144,0.109392,5650
145,0.109392,23798
146,0.109404,66
147,0.109417,66
148,0.109635,10152
149,0.10964,66
150,0.114771,2259
151,0.115739,66
152,0.118789,29382
153,0.118848,66
154,0.118893,12630
155,0.118902,66
156,0.119139,22402
157,0.119154,8442
158,0.119391,27986
159,0.11964,27986
160,0.119657,2858
161,0.11989,27986
162,0.120143,29382
163,0.120219,66
164,0.120396,4254
165,0.120396,26590
166,0.120413,66
167,0.120441,66
168,0.120629,12630
169,0.120645,66
170,0.120667,18214
171,0.12074,66
172,0.120881,7046
173,0.120892,66
174,0.121153,16818
175,0.121164,66
176,0.121406,30778
177,0.121433,66
178,0.12165,16818
179,0.121658,66
180,0.12167,14026
181,0.121705,66
182,0.121905,27986
183,0.121931,66
184,0.122148,22402
185,0.122156,66
186,0.122168,8442
187,0.122199,66
188,0.122404,27986
189,0.12243,66
190,0.122654,27986
191,0.122663,66
192,0.122667,4254
193,0.122682,66
194,0.122904,27986
195,0.122914,66
196,0.123157,7046
197,0.123158,22402
198,0.123168,66
199,0.123185,66
200,0.123405,2858
201,0.123405,26590
202,0.123415,66
203,0.123432,66
204,0.123659,29382
205,0.123684,66
206,0.123911,8442
207,0.123912,22402
208,0.123923,66
209,0.123949,66
210,0.124162,29382
211,0.124187,66
212,0.1244,1502
213,0.124404,66
214,0.35084,23798
215,0.350959,14026
216,0.351014,66
217,0.351225,26590
218,0.351239,66
219,0.351246,1474
220,0.351386,66
221,0.394034,36362
222,0.394108,66
223,0.394215,21006
224,0.394222,66
225,0.394478,7046
226,0.394478,1474
227,0.394486,66
228,0.394508,66
229,0.474522,2273
230,0.47455,66
231,0.481512,2398
232,0.529534,66
233,0.587549,9838
234,0.587645,4892
235,0.587666,66
236,0.587705,66
237,0.969116,9838
238,0.969153,66
239,0.969205,11234
240,0.969217,66
241,0.969783,21006
242,0.969806,66
243,0.970723,21006
244,0.970745,66
245,0.971665,21006
246,0.971678,66
247,0.972644,21006
248,0.972653,66
249,0.973622,21006
250,0.973632,66
251,0.974547,21006
252,0.974555,66
253,0.97549,22402
254,0.975498,66
255,0.976518,21006
256,0.976526,66
257,0.977464,21006
258,0.977471,66
259,0.978429,22402
260,0.978439,66
261,0.979427,21006
262,0.979437,66
263,0.980389,21006
264,0.980402,66
265,0.981387,22402
266,0.9814,66
267,0.982379,21006
268,0.982391,66
269,0.983353,21006
270,0.983383,66
271,0.984289,22402
272,0.98435,66
273,0.985315,21006
274,0.98533,66
275,0.986289,21006
276,0.986301,66
277,0.987227,15422
278,0.987248,66
279,0.987465,7046
280,0.98747,66
281,0.988252,21006
282,0.988288,66
283,0.989244,21006
284,0.989254,66
285,0.990185,22402
286,0.990218,66
287,0.991159,21006
288,0.991167,66
289,0.992184,21006
290,0.992198,66
291,0.993098,22402
292,0.993152,66
293,0.994128,21006
294,0.994137,66
295,0.995052,21006
296,0.99506,66
297,0.996033,14026
298,0.996043,66
299,0.996283,8442
300,0.996293,66
301,0.997104,21006
302,0.997177,66
303,0.998053,21006
304,0.998067,66
305,0.998994,22402
306,0.999043,66
307,1.000055,21006
308,1.000071,66
309,1.001026,21006
310,1.001056,66
311,1.001969,1462
312,1.017193,19610
313,1.017252,66
314,1.017313,1462
315,1.017748,21006
316,1.017852,66
317,1.018811,21006
318,1.018858,66
319,1.019656,1462
320,1.019656,21006
321,1.019687,66
322,1.019697,66
323,1.020668,21006
324,1.020692,66
325,1.021665,21006
326,1.021678,66
327,1.022594,22402
328,1.022618,66
329,1.023617,21006
330,1.023629,66
331,1.024575,21006
332,1.024584,66
333,1.025591,19610
334,1.025601,66
335,1.025853,2858
336,1.025858,66
337,1.026416,12630
338,1.026423,66
339,1.026477,7046
340,1.026497,66
341,1.026739,1462
342,1.026743,66
343,1.027401,11234
344,1.027405,66
345,1.027448,7046
346,1.027451,66
347,1.02771,2858
348,1.027724,66
349,1.028313,5650
350,1.028317,66
351,1.028367,5650
352,1.028371,66
353,1.02843,8442
354,1.028436,66
355,1.028471,2858
356,1.028476,66
357,1.029293,4254
358,1.0293,66
359,1.029344,5650
360,1.029349,66
361,1.029391,2858
362,1.029396,66
363,1.029465,7046
364,1.029483,66
365,1.029496,1462
366,1.029497,66
367,1.030299,5650
368,1.030311,66
369,1.030342,5650
370,1.030347,66
371,1.03039,5650
372,1.030396,66
373,1.030439,4254
374,1.030447,66
375,1.031219,1462
376,1.031223,66
377,1.031271,4254
378,1.031274,66
379,1.031323,4254
380,1.031328,66
381,1.031373,2858
382,1.031376,66
383,1.031423,4254
384,1.031428,66
385,1.031471,2858
386,1.031477,66
387,1.03152,2858
388,1.031522,66
389,1.032208,4254
390,1.032212,66
391,1.03226,5650
392,1.032264,66
393,1.032308,5650
394,1.032311,66
395,1.032358,5650
396,1.03236,66
397,1.033186,4254
398,1.033193,66
399,1.03324,7046
400,1.033247,66
401,1.033284,4254
402,1.033288,66
403,1.033339,4254
404,1.033345,66
405,1.033384,1462
406,1.033391,66
407,1.034131,1462
408,1.034138,66
409,1.034198,5650
410,1.034205,66
411,1.03424,5650
412,1.034249,66
413,1.034291,5650
414,1.034298,66
415,1.034345,4254
416,1.034353,66
417,1.035151,4254
418,1.035158,66
419,1.035207,5650
420,1.035217,66
421,1.035253,2858
