No.,Time,Length
1,0,74
2,0.001143,74
3,0.001165,66
4,0.001512,583
5,0.002551,66
6,0.003996,4254
7,0.004002,66
8,0.004045,844
9,0.004049,66
10,0.006484,130
11,0.006635,2266
12,0.007767,78
13,0.007767,66
14,0.008813,5650
15,0.008818,66
16,0.008858,4254
17,0.008858,1462
18,0.008878,66
19,0.008888,2858
20,0.00889,66
21,0.008892,66
22,0.008954,5650
23,0.008959,66
24,0.009899,4254
25,0.009905,66
26,0.009944,4254
27,0.009947,66
28,0.009996,2858
29,0.009996,1462
30,0.01,66
31,0.010003,66
32,0.010051,5650
33,0.010054,66
34,0.010087,4254
35,0.010089,66
36,0.010191,5650
37,0.010195,66
38,0.010238,4254
39,0.01024,66
40,0.010362,4254
41,0.010366,66
42,0.010413,2858
43,0.010415,66
44,0.010972,4254
45,0.010977,66
46,0.011023,3953
47,0.011026,66
48,0.014449,2266
49,0.015523,78
50,0.015523,66
51,0.020661,5650
52,0.020673,66
53,0.020697,4254
54,0.0207,66
55,0.020751,7046
56,0.020758,66
57,0.020796,5650
58,0.020801,66
59,0.020847,5650
60,0.020853,66
61,0.020895,5650
62,0.020899,66
63,0.020945,5650
64,0.020949,66
65,0.020996,3621
66,0.021,66
67,0.500243,2401
68,0.501301,78
69,0.501301,66
70,0.502519,4254
71,0.502527,66
72,0.502591,8442
73,0.502595,66
74,0.502663,8442
75,0.502668,66
76,0.502728,7046
77,0.502731,66
78,0.502791,7046
79,0.502794,66
80,0.502863,8442
81,0.502867,66
82,0.502929,7046
83,0.502934,66
84,0.502945,1462
85,0.502947,66
86,0.502997,4254
87,0.503001,66
88,0.503047,5650
89,0.50305,66
90,0.503096,2858
91,0.503098,66
92,0.503146,4254
93,0.50315,66
94,0.503201,5650
95,0.503205,66
96,0.503248,5650
97,0.503252,66
98,0.503299,7046
99,0.503303,66
100,0.503349,5650
101,0.503353,66
102,0.503399,5650
103,0.503402,66
104,0.503446,5650
105,0.503449,66
106,0.503496,5650
107,0.503498,66
108,0.503546,5650
109,0.503598,7046
110,0.503646,5650
111,0.503674,66
112,0.503697,1462
113,0.503697,1462
114,0.503702,66
115,0.503704,66
116,0.503746,2858
117,0.503748,66
118,0.503797,2858
119,0.503799,66
120,0.503853,7046
121,0.503858,66
122,0.5039,5650
123,0.503904,66
124,0.503952,5650
125,0.503955,66
126,0.504,5650
127,0.504004,66
128,0.50405,5650
129,0.504054,66
130,0.504103,6252
131,0.504108,66
132,0.515802,2261
133,0.516859,78
134,0.516859,66
135,0.517745,4254
136,0.517763,66
137,0.51779,5650
138,0.517797,66
139,0.517841,5650
140,0.517846,66
141,0.517899,5650
142,0.517904,66
143,0.51794,5650
144,0.517945,66
145,0.517992,7046
146,0.517999,66
147,0.518039,5650
148,0.518044,66
149,0.518094,5650
150,0.518099,66
151,0.51814,5650
152,0.518146,66
153,0.518193,7046
154,0.5182,66
155,0.51824,5650
156,0.518245,66
157,0.518292,1462
158,0.518292,2557
159,0.5183,66
160,0.518301,66
161,0.537221,2406
162,0.538298,78
163,0.538298,66
164,0.539351,4254
165,0.539365,66
166,0.539392,4254
167,0.539399,66
168,0.539444,7046
169,0.53945,66
170,0.539492,5650
171,0.539497,66
172,0.539546,5650
173,0.539592,5650
174,0.539639,5650
175,0.539691,7046
176,0.539741,5650
177,0.539789,5650
178,0.53984,5650
179,0.539892,2858
180,0.539892,4254
181,0.539943,5650
182,0.53999,5650
183,0.540042,5650
184,0.540094,7046
185,0.540144,5650
186,0.540144,66
187,0.540178,66
188,0.540195,5650
189,0.540213,66
190,0.540242,5650
191,0.540248,66
192,0.540292,5650
193,0.540346,7046
194,0.540371,66
195,0.540403,7046
196,0.540407,66
197,0.540441,4254
198,0.540445,66
199,0.540493,5650
200,0.54056,8442
201,0.540591,4254
202,0.540642,5650
203,0.540653,66
204,0.540694,5650
205,0.540699,66
206,0.540745,5650
207,0.54075,66
208,0.540793,7046
209,0.540819,66
210,0.540846,5650
211,0.54087,66
212,0.540894,5650
213,0.540944,66
214,0.540944,5650
215,0.540979,66
216,0.540996,1462
217,0.540996,5650
218,0.541034,66
219,0.541043,5650
220,0.541057,66
221,0.541094,5650
222,0.54115,5650
223,0.541193,5650
224,0.5412,66
225,0.541218,66
226,0.541257,8442
227,0.54127,66
228,0.541291,4254
229,0.541306,66
230,0.541357,7046
231,0.541378,66
232,0.541405,5650
233,0.541418,66
234,0.541442,4254
235,0.541445,66
236,0.541493,7046
237,0.541514,66
238,0.541545,5232
239,0.54155,66
240,0.545023,2266
241,0.546125,78
242,0.546125,66
243,0.551051,4254
244,0.551064,66
245,0.55108,2858
246,0.55111,66
247,0.551132,7046
248,0.551181,5650
249,0.551237,5650
250,0.551283,5650
251,0.551331,7046
252,0.551389,5650
253,0.551445,7046
254,0.551491,5650
255,0.551541,5650
256,0.551591,2858
257,0.551591,2858
258,0.551634,5650
259,0.551681,5650
260,0.551732,5650
261,0.551781,5650
262,0.551836,1764
263,0.552133,66
264,0.564056,2406
265,0.565129,78
266,0.565129,66
267,0.567462,4254
268,0.567473,66
269,0.567511,5650
270,0.567529,66
271,0.56756,5650
272,0.567609,5650
273,0.567661,7046
274,0.567708,5650
275,0.567761,5650
276,0.567809,5650
277,0.567865,7046
278,0.56791,5650
279,0.56796,5650
280,0.56801,1462
281,0.56801,4254
282,0.568061,5650
283,0.568108,7046
284,0.568159,5650
285,0.568209,5650
286,0.568262,5650
287,0.56831,7046
288,0.568359,5650
289,0.568366,66
290,0.568393,66
291,0.568411,5650
292,0.568417,66
293,0.568461,5650
294,0.568464,66
295,0.56851,5650
296,0.56856,1462
297,0.56856,5650
298,0.568574,66
299,0.568625,7046
300,0.568627,66
301,0.56866,4254
302,0.568666,66
303,0.56871,5650
304,0.568774,8442
305,0.56881,4254
306,0.568861,5650
307,0.568889,66
308,0.56891,5650
309,0.568915,66
310,0.568962,7046
311,0.568966,66
312,0.569014,5650
313,0.569023,66
314,0.569065,5650
315,0.569111,5650
316,0.569172,5650
317,0.569184,66
318,0.569214,7046
319,0.569224,66
320,0.569265,5650
321,0.569287,66
322,0.569323,7046
323,0.569364,5650
324,0.569414,5650
325,0.569448,66
326,0.569469,5650
327,0.569481,66
328,0.569515,5650
329,0.569525,66
330,0.56957,7046
331,0.569601,66
332,0.569615,5650
333,0.569623,66
334,0.569667,5650
335,0.569683,66
336,0.569716,5650
337,0.569724,66
338,0.569769,7046
339,0.569814,5650
340,0.569852,66
341,0.569869,5650
342,0.56988,66
343,0.569917,5650
344,0.569924,66
345,0.569966,5650
346,0.569973,66
347,0.570016,7046
348,0.570057,66
349,0.570065,4254
350,0.570065,1462
351,0.570074,66
352,0.570112,5650
353,0.570128,66
354,0.570167,5650
355,0.570194,66
356,0.570214,5650
357,0.570229,66
358,0.57027,7046
