No.,Time,Length
1,0,2348
2,0.000429,74
3,0.001092,78
4,0.001092,66
5,0.00164,74
6,0.00165,66
7,0.001783,583
8,0.002827,66
9,0.003923,4254
10,0.00393,66
11,0.003962,845
12,0.003964,66
13,0.004185,130
14,0.00427,2273
15,0.005327,66
16,0.006111,4254
17,0.006123,66
18,0.006147,1462
19,0.006149,66
20,0.006198,4254
21,0.0062,66
22,0.006249,2858
23,0.006252,66
24,0.006303,2858
25,0.006307,66
26,0.006353,2858
27,0.006358,66
28,0.006401,1462
29,0.006404,66
30,0.007188,5650
31,0.007194,66
32,0.007218,2858
33,0.00722,66
34,0.007284,5650
35,0.007287,66
36,0.007318,2858
37,0.007319,66
38,0.007369,2858
39,0.007374,66
40,0.007474,5650
41,0.007478,66
42,0.007524,4254
43,0.007527,66
44,0.007576,2858
45,0.007578,66
46,0.007701,977
47,0.007704,66
48,0.025918,3159
49,0.025934,66
50,0.04716,2359
51,0.048335,66
52,0.596528,5650
53,0.596549,66
54,0.596627,9838
55,0.596634,66
56,0.596672,4254
57,0.596677,66
58,0.596932,22402
59,0.596941,66
60,0.597036,8442
61,0.597042,66
62,0.59729,14026
63,0.597297,66
64,0.597305,9838
65,0.597308,66
66,0.597543,13733
67,0.59755,66
68,0.602051,25194
69,0.602059,66
70,0.602302,21006
71,0.60231,66
72,0.602549,18214
73,0.602557,66
74,0.602561,1474
75,0.602562,66
76,0.607185,21006
77,0.607193,66
78,0.60743,19610
79,0.607437,66
80,0.60766,16818
81,0.607668,66
82,0.607922,7046
83,0.607923,1474
84,0.60793,66
85,0.607965,66
86,0.612005,22402
87,0.612063,66
88,0.61227,25194
89,0.612314,66
90,0.612503,16818
91,0.61251,66
92,0.612518,1474
93,0.612546,66
94,0.61665,22402
95,0.616687,66
96,0.616907,23798
97,0.616926,66
98,0.617148,18214
99,0.617156,66
100,0.617165,1474
101,0.617179,66
102,0.620853,21006
103,0.620891,66
104,0.62111,21006
105,0.621117,66
106,0.621362,19610
107,0.62137,66
108,0.621614,2858
109,0.621614,1474
110,0.62162,66
111,0.621644,66
112,0.624865,11234
113,0.6249,66
114,0.624936,7046
115,0.624969,66
116,0.625192,21006
117,0.625222,66
118,0.625437,21006
119,0.625445,66
120,0.62569,4254
121,0.62569,1474
122,0.62569,8442
123,0.625696,66
124,0.625749,66
125,0.625925,2972
126,0.625948,66
127,1.022409,2353
128,1.023478,66
129,1.025121,7046
130,1.025133,66
131,1.025188,4254
132,1.025194,66
133,1.025239,7046
134,1.025246,66
135,1.025289,4254
136,1.025295,66
137,1.02534,4254
138,1.025347,66
139,1.025388,4254
140,1.025394,66
141,1.025437,4254
142,1.025442,66
143,1.025471,2858
144,1.025474,66
145,1.025524,5650
146,1.025528,66
147,1.02559,5650
148,1.025596,66
149,1.025639,4254
150,1.025642,66
151,1.025691,4254
152,1.025694,66
153,1.02574,4254
154,1.025742,66
155,1.025779,2858
156,1.025781,66
157,1.025831,5650
158,1.025834,66
159,1.025878,2858
160,1.02588,66
161,1.02593,5650
162,1.025979,2858
163,1.025989,66
164,1.02603,5650
165,1.026079,2858
166,1.026081,66
167,1.026099,66
168,1.026132,5650
169,1.026156,66
170,1.02618,4254
171,1.026195,66
172,1.026229,2858
173,1.026251,66
174,1.02628,2858
175,1.026302,66
176,1.026333,5650
177,1.026347,66
178,1.026383,4254
179,1.026403,66
180,1.026431,4254
181,1.02645,66
182,1.02648,4254
183,1.026501,66
184,1.026532,4254
185,1.02654,66
186,1.026581,1462
187,1.026581,2858
188,1.026591,66
189,1.026631,4254
190,1.026639,66
191,1.026683,2858
192,1.026692,66
193,1.026733,5650
194,1.026742,66
195,1.026782,2858
196,1.02679,66
197,1.026832,4254
198,1.02684,66
199,1.026881,4254
200,1.026891,66
201,1.026932,4254
202,1.026939,66
203,1.026983,1462
204,1.026983,1462
205,1.026997,66
206,1.027033,5650
207,1.027053,66
208,1.027086,5650
209,1.027136,2858
210,1.027169,66
211,1.027189,5650
212,1.027203,66
213,1.02724,4254
214,1.027256,66
215,1.027296,4254
216,1.027344,2858
217,1.027364,66
218,1.027395,4254
219,1.027421,66
220,1.027446,5650
221,1.027459,66
222,1.027509,4254
223,1.027562,4254
224,1.027574,66
225,1.027611,4254
226,1.027634,66
227,1.027661,5650
228,1.027668,66
229,1.02771,2858
230,1.027745,66
231,1.02777,1462
232,1.02777,4254
233,1.027791,66
234,1.02782,4254
235,1.02783,66
236,1.027859,2858
237,1.027884,66
238,1.027928,5650
239,1.027953,66
240,1.028025,5650
241,1.02806,4254
242,1.028096,66
243,1.028111,2858
244,1.028122,66
245,1.028163,5650
246,1.028222,66
247,1.02823,7046
248,1.028258,66
249,1.028264,1462
250,1.028309,4254
251,1.028373,5650
252,1.028374,66
253,1.02838,66
254,1.028415,2858
255,1.02844,66
256,1.028475,4254
257,1.028487,66
258,1.028526,4254
259,1.028526,1462
260,1.028563,2858
261,1.028587,66
262,1.028632,7046
263,1.028647,66
264,1.02867,2858
265,1.028697,66
266,1.028716,4254
267,1.028761,66
268,1.028765,4254
269,1.028784,66
270,1.028815,5650
271,1.02883,66
272,1.028866,2858
273,1.028919,66
274,1.028925,5650
275,1.028958,66
276,1.028983,4254
277,1.028994,66
278,1.029032,5650
279,1.029069,66
280,1.029077,4254
281,1.029099,66
282,1.02913,4254
283,1.029141,66
284,1.02918,4254
285,1.02919,66
286,1.029242,5650
287,1.029256,66
288,1.029389,4254
289,1.029401,66
290,1.029447,4254
291,1.029456,66
292,1.029497,4254
293,1.029505,66
294,1.02955,4254
295,1.029565,66
296,1.029602,4254
297,1.029613,66
298,1.029653,4254
299,1.029662,66
300,1.029701,4254
301,1.029709,66
302,1.029753,4254
303,1.029766,66
304,1.029803,4254
305,1.029814,66
306,1.029852,4254
307,1.02986,66
308,1.029909,5650
309,1.029922,66
310,1.029952,1462
311,1.030001,1462
312,1.030001,4254
313,1.030012,66
314,1.030051,4254
315,1.030059,66
316,1.030104,4254
317,1.030116,66
318,1.030151,1462
319,1.030151,2858
320,1.030163,66
321,1.030203,4254
322,1.030212,66
323,1.030252,4254
324,1.030261,66
325,1.030304,4254
326,1.030314,66
327,1.030353,4254
328,1.030363,66
329,1.030405,4254
330,1.030413,66
331,1.030455,4254
332,1.030463,66
333,1.030509,5650
334,1.030522,66
335,1.030555,2858
336,1.030565,66
337,1.030605,5650
338,1.030615,66
