No.,Time,Length
1,0,74
2,0.000815,74
3,0.000834,66
4,0.001107,583
5,0.001882,66
6,0.003451,5033
7,0.003457,66
8,0.00524,130
9,0.005356,2279
10,0.006104,66
11,0.011768,66
12,0.032144,7046
13,0.032159,66
14,0.032185,2858
15,0.032185,2858
16,0.032193,66
17,0.032194,66
18,0.032235,5650
19,0.032237,66
20,0.032283,1462
21,0.032285,66
22,0.032928,4254
23,0.032933,66
24,0.032979,5650
25,0.032981,66
26,0.033026,2858
27,0.033026,2858
28,0.033029,66
29,0.033031,66
30,0.033077,7046
31,0.03308,66
32,0.033125,2858
33,0.033129,66
34,0.03318,4254
35,0.033182,66
36,0.03323,2858
37,0.033232,66
38,0.03328,4254
39,0.033283,66
40,0.03333,2858
41,0.033334,66
42,0.033746,4254
43,0.033752,66
44,0.033794,3953
45,0.033798,66
46,0.037513,2279
47,0.038318,78
48,0.038318,66
49,0.043714,4254
50,0.043725,66
51,0.043769,5650
52,0.043775,66
53,0.043811,5650
54,0.043818,66
55,0.043863,5650
56,0.043871,66
57,0.043912,5650
58,0.043919,66
59,0.043957,4254
60,0.04396,66
61,0.044011,7046
62,0.044015,66
63,0.044045,4254
64,0.044047,66
65,0.044096,1462
66,0.044096,4254
67,0.044101,66
68,0.044102,66
69,0.044146,5650
70,0.044148,66
71,0.044197,5650
72,0.0442,66
73,0.044247,7046
74,0.044251,66
75,0.044295,1161
76,0.044297,66
77,0.050671,2279
78,0.051481,78
79,0.051481,66
80,0.058657,4254
81,0.058682,66
82,0.058761,8628
83,0.058773,66
84,0.399929,74
85,0.447503,74
86,0.447526,66
87,0.447687,583
88,0.495147,66
89,0.496425,2858
90,0.496426,2454
91,0.496455,66
92,0.496486,66
93,0.497653,130
94,0.497946,2358
95,0.545394,66
96,0.54626,2858
97,0.54626,1462
98,0.546293,66
99,0.546321,66
100,0.546397,1462
101,0.546397,2858
102,0.546412,66
103,0.546424,66
104,0.547737,2858
105,0.547756,66
106,0.549264,2858
107,0.549282,66
108,0.55073,2858
109,0.550738,66
110,0.552219,2858
111,0.552226,66
112,0.553681,2858
113,0.553695,66
114,0.555173,2858
115,0.555179,66
116,0.55667,2858
117,0.556677,66
118,0.558162,2858
119,0.558173,66
120,0.559668,2858
121,0.55968,66
122,0.561101,2858
123,0.561115,66
124,0.562574,2858
125,0.562595,66
126,0.564065,1462
127,0.564801,2858
128,0.564817,66
129,0.566287,1462
130,0.593729,2858
131,0.593785,66
132,0.594461,2858
133,0.594481,66
134,0.595935,2858
135,0.595949,66
136,0.597432,2858
137,0.597446,66
138,0.598905,2858
139,0.598915,66
140,0.600389,2858
141,0.600399,66
142,0.601873,2858
143,0.601883,66
144,0.603358,2858
145,0.603368,66
146,0.604842,2858
147,0.604852,66
148,0.60639,2858
149,0.6064,66
150,0.607807,2858
151,0.60782,66
152,0.609264,2858
153,0.60927,66
154,0.610759,2858
155,0.610778,66
156,0.612377,2858
157,0.612401,66
158,0.613712,2858
159,0.613721,66
160,0.615254,2858
161,0.61526,66
162,0.616712,2858
163,0.616727,66
164,0.618198,2858
165,0.618214,66
166,0.619685,2858
167,0.61969,66
168,0.621151,2858
169,0.621158,66
170,0.622656,2858
171,0.622661,66
172,0.624129,1462
173,0.624134,66
174,0.641264,2858
175,0.641277,66
176,0.641738,2858
177,0.641743,66
178,0.642779,2858
179,0.642784,66
180,0.643764,2858
181,0.643771,66
182,0.644775,2858
183,0.644783,66
184,0.645769,2858
185,0.64578,66
186,0.646738,2858
187,0.64675,66
188,0.647737,2858
189,0.647748,66
190,0.64871,2858
191,0.648716,66
192,0.649687,2858
193,0.649695,66
194,0.650709,2858
195,0.650715,66
196,0.651693,1462
197,0.651699,66
198,0.652205,2858
199,0.652221,66
200,0.653201,2858
201,0.653216,66
202,0.6542,2858
203,0.654206,66
204,0.655189,2858
205,0.655196,66
206,0.656188,2858
207,0.656194,66
208,0.657166,2858
209,0.657182,66
210,0.658154,2858
211,0.658164,66
212,0.659146,2858
213,0.659159,66
214,0.660145,2858
215,0.660158,66
216,0.661123,2858
217,0.661143,66
218,0.662135,2858
219,0.662146,66
220,0.66311,1462
221,0.663121,66
222,0.663611,2858
223,0.663622,66
224,0.664613,2858
225,0.664619,66
226,0.665603,2858
227,0.665613,66
228,0.666622,2858
229,0.666633,66
230,0.667579,2858
231,0.667591,66
232,0.668558,2858
233,0.668567,66
234,0.669597,2858
235,0.669603,66
236,0.670562,2858
237,0.670568,66
238,0.671516,1170
239,0.67153,66
240,0.675402,2274
241,0.676171,78
242,0.676171,66
243,0.833159,11234
244,0.833195,66
245,0.833228,8442
246,0.833237,66
247,0.833533,34966
248,0.833562,66
249,0.833745,9838
250,0.833745,2557
251,0.833766,66
252,0.833771,66
253,0.841321,2279
254,0.842366,66
255,0.845408,27986
256,0.845439,66
257,0.845529,14026
258,0.84554,66
259,0.845763,22402
260,0.845787,8442
261,0.846006,10587
262,0.846765,66
263,0.866343,2363
264,0.914028,66
265,0.91476,4254
266,0.91479,66
267,0.91508,4254
268,0.915095,66
269,0.915872,2858
270,0.915888,66
271,0.915928,1462
272,0.915932,66
273,0.91668,4254
274,0.916693,66
275,0.917443,2858
276,0.91745,66
277,0.917509,1462
278,0.917527,66
279,0.918258,2858
280,0.918264,66
281,0.918306,1462
282,0.918308,66
283,0.919069,4254
284,0.919095,66
285,0.919847,4254
286,0.919853,66
287,0.920666,4254
288,0.920669,66
289,0.921445,2858
290,0.921454,66
291,0.921501,1462
292,0.921504,66
293,0.922244,4254
294,0.92225,66
295,0.92307,4254
296,0.923076,66
297,0.923838,4254
298,0.923847,66
299,0.924677,4254
300,0.924686,66
301,0.925491,4254
302,0.925496,66
303,0.926224,2858
304,0.92623,66
305,0.926269,1462
306,0.926272,66
307,0.927044,2858
308,0.927053,66
309,0.9271,1462
310,0.927104,66
311,0.927851,4254
312,0.927862,66
313,0.928663,1462
314,0.928686,66
315,0.928908,4254
316,0.928913,66
317,0.929687,4254
318,0.929695,66
319,0.930495,4254
320,0.930503,66
321,0.931306,4254
322,0.931312,66
323,0.932102,4254
324,0.932107,66
325,0.932874,4254
326,0.932877,66
327,0.933704,4254
328,0.933712,66
329,0.934509,4254
330,0.934514,66
331,0.935316,4254
332,0.935319,66
333,0.936102,4254
334,0.936105,66
335,0.936951,4254
336,0.936958,66
337,0.937682,4254
338,0.937695,66
339,0.938469,4254
340,0.938478,66
341,0.939283,4254
342,0.939297,66
343,0.940098,4254
344,0.940104,66
345,0.940852,1462
346,0.940854,66
347,0.941178,4254
348,0.94118,66
349,0.941948,4254
350,0.941954,66
351,0.942778,4254
352,0.942785,66
353,0.943541,4254
354,0.943547,66
355,0.944314,4254
356,0.944323,66
357,0.945124,4254
358,0.945136,66
359,0.945963,4254
360,0.945976,66
361,0.94672,4254
362,0.946726,66
363,0.947511,4254
364,0.947514,66
365,0.948312,4254
366,0.948318,66
