No.,Time,Length
1,0,2293
2,0.001067,66
3,0.00243,4254
4,0.002439,66
5,0.002483,5650
6,0.00249,66
7,0.002533,4254
8,0.002538,66
9,0.002583,5650
10,0.002589,66
11,0.00264,4254
12,0.002645,66
13,0.00269,2858
14,0.002693,66
15,0.002743,5650
16,0.002749,66
17,0.0028,4254
18,0.002807,66
19,0.002857,4254
20,0.002863,66
21,0.002915,4254
22,0.002922,66
23,0.002973,4254
24,0.00298,66
25,0.003031,4254
26,0.003036,66
27,0.003088,4254
28,0.003093,66
29,0.003136,4254
30,0.003141,66
31,0.003197,2858
32,0.003197,1462
33,0.003205,66
34,0.003223,66
35,0.003259,1161
36,0.005885,66
37,0.036315,2374
38,0.037421,66
39,0.038165,2298
40,0.039208,66
41,0.040441,4254
42,0.040448,66
43,0.040493,5650
44,0.040496,66
45,0.04054,5650
46,0.040545,66
47,0.040589,5650
48,0.040592,66
49,0.040631,4254
50,0.040634,66
51,0.040679,4254
52,0.040683,66
53,0.040731,5650
54,0.040734,66
55,0.040779,4254
56,0.040781,66
57,0.040828,4254
58,0.040831,66
59,0.040879,4254
60,0.040881,66
61,0.040928,4254
62,0.040931,66
63,0.040981,5650
64,0.040985,66
65,0.041031,5650
66,0.041034,66
67,0.04108,1462
68,0.04108,2858
69,0.041086,66
70,0.041088,66
71,0.041142,7046
72,0.041146,66
73,0.04119,4254
74,0.041199,66
75,0.041231,4254
76,0.041234,66
77,0.04128,5650
78,0.041282,66
79,0.04133,4254
80,0.041357,66
81,0.04138,4949
82,0.041382,66
83,0.046684,2300
84,0.047789,78
85,0.047789,66
86,0.052782,8442
87,0.052875,66
88,0.052879,9838
89,0.052885,66
90,0.052939,2858
91,0.052944,66
92,0.053199,19610
93,0.053207,66
94,0.053302,12630
95,0.053309,66
96,0.05354,11234
97,0.053548,66
98,0.053564,14026
99,0.05357,66
100,0.053799,19610
101,0.05381,66
102,0.054046,21006
103,0.054054,66
104,0.054297,9838
105,0.054297,15422
106,0.05431,66
107,0.054314,66
108,0.054551,24768
109,0.054566,66
110,0.05828,2300
111,0.059565,78
112,0.059565,66
113,0.064945,19610
114,0.064964,66
115,0.06504,9838
116,0.065044,66
117,0.065289,21006
118,0.065296,66
119,0.06554,14026
120,0.065544,66
121,0.065554,11234
122,0.065558,66
123,0.065796,23798
124,0.066056,25194
125,0.066093,66
126,0.066309,4254
127,0.066309,18214
128,0.066322,66
129,0.066332,66
130,0.066564,23798
131,0.066578,66
132,0.066805,22402
133,0.066818,66
134,0.066829,2858
135,0.066848,66
136,0.067053,19610
137,0.067062,66
138,0.067316,26590
139,0.067332,66
140,0.067559,15422
141,0.067571,66
142,0.067586,8442
143,0.067596,66
144,0.067818,18214
145,0.06783,66
