No.,Time,Length
1,0,74
2,0.001158,74
3,0.001162,66
4,0.001238,583
5,0.002263,66
6,0.003665,5033
7,0.003685,66
8,0.00395,130
9,0.00424,2299
10,0.005309,78
11,0.005309,66
12,0.00627,4254
13,0.006275,66
14,0.006317,5650
15,0.006321,66
16,0.006368,2858
17,0.006371,66
18,0.006416,5650
19,0.006421,66
20,0.006464,1462
21,0.006478,66
22,0.007436,2858
23,0.00744,66
24,0.007486,5650
25,0.007486,1462
26,0.007493,66
27,0.007496,66
28,0.007539,5650
29,0.007544,66
30,0.007585,4254
31,0.007589,66
32,0.007714,5650
33,0.007721,66
34,0.007755,4254
35,0.00776,66
36,0.007802,2858
37,0.007853,66
38,0.007891,4254
39,0.007894,66
40,0.007938,2858
41,0.00794,66
42,0.008538,5650
43,0.008555,66
44,0.008577,2557
45,0.00858,66
46,0.036941,2382
47,0.038054,78
48,0.038055,66
49,0.040818,2568
50,0.040826,66
51,0.041908,2299
52,0.043001,78
53,0.043001,66
54,0.053337,5650
55,0.053354,66
56,0.053433,3607
57,0.053437,66
58,0.388626,74
59,0.436176,74
60,0.436227,66
61,0.436638,583
62,0.484052,66
63,0.485622,2858
64,0.485622,1462
65,0.485635,66
66,0.485643,66
67,0.485671,1058
68,0.485675,66
69,0.486068,130
70,0.486322,2350
71,0.533758,66
72,0.535381,2858
73,0.535381,2858
74,0.535381,2858
75,0.535403,66
76,0.535417,66
77,0.535423,66
78,0.536443,2858
79,0.536459,66
80,0.537589,2858
81,0.537604,66
82,0.538733,2858
83,0.538747,66
84,0.539838,2858
85,0.539852,66
86,0.540965,2858
87,0.540987,66
88,0.542104,2858
89,0.542121,66
90,0.543253,2858
91,0.543267,66
92,0.544354,2858
93,0.544363,66
94,0.545518,2858
95,0.545526,66
96,0.546654,2858
97,0.546662,66
98,0.547759,2858
99,0.547768,66
100,0.548881,1462
101,0.54948,2858
102,0.549487,66
103,0.550583,2858
104,0.55059,66
105,0.551731,2858
106,0.551756,66
107,0.552816,2858
108,0.552827,66
109,0.553957,2858
110,0.553968,66
111,0.555086,2858
112,0.555091,66
113,0.556214,1462
114,0.583379,2858
115,0.583397,66
116,0.583935,2858
117,0.583945,66
118,0.585063,2858
119,0.585073,66
120,0.586193,2858
121,0.586203,66
122,0.587309,2858
123,0.587318,66
124,0.588418,2858
125,0.588428,66
126,0.589539,2858
127,0.58955,66
128,0.590677,2858
129,0.590688,66
130,0.591813,2858
131,0.59183,66
132,0.592972,2858
133,0.592981,66
134,0.594087,2858
135,0.594098,66
136,0.595217,2858
137,0.595229,66
138,0.596354,2858
139,0.596362,66
140,0.597477,2858
141,0.597486,66
142,0.598605,2858
143,0.598614,66
144,0.599764,2858
145,0.599772,66
146,0.600866,1462
147,0.600874,66
148,0.60142,2858
149,0.601428,66
150,0.602554,2858
151,0.602562,66
152,0.603698,2858
153,0.603709,66
154,0.604821,2858
155,0.60483,66
156,0.605931,2858
157,0.605943,66
158,0.631367,2858
159,0.631391,66
160,0.631767,2858
161,0.631782,66
162,0.632589,2858
163,0.632602,66
164,0.633316,2858
165,0.633328,66
166,0.6341,2858
167,0.634105,66
168,0.634872,2858
169,0.63488,66
170,0.635654,1462
171,0.635666,66
172,0.636029,2858
173,0.636039,66
174,0.63682,2858
175,0.63683,66
176,0.637565,2858
177,0.637581,66
178,0.638377,2858
179,0.638388,66
180,0.639127,2858
181,0.639137,66
182,0.63989,2858
183,0.6399,66
184,0.640667,2858
185,0.640678,66
186,0.641428,2858
187,0.641438,66
188,0.642211,2858
189,0.642221,66
190,0.642987,2858
191,0.642994,66
192,0.64377,2858
193,0.643778,66
194,0.644557,1462
195,0.644571,66
196,0.644913,2858
197,0.644921,66
198,0.645718,2858
199,0.645722,66
200,0.646474,2858
201,0.646489,66
202,0.647253,2858
203,0.647268,66
204,0.648041,2858
