No.,Time,Length
1,0,74
2,0.000853,74
3,0.000875,66
4,0.001127,583
5,0.001864,66
6,0.003785,2858
7,0.00379,66
8,0.003852,2241
9,0.003854,66
10,0.004061,130
11,0.004143,2274
12,0.004922,66
13,0.005993,4254
14,0.006,66
15,0.00606,5650
16,0.00606,1462
17,0.006064,66
18,0.006066,66
19,0.006113,7046
20,0.006119,66
21,0.006132,1462
22,0.006134,66
23,0.006728,2858
24,0.006734,66
25,0.006777,5650
26,0.006779,66
27,0.006882,4254
28,0.006884,66
29,0.006938,5650
30,0.006944,66
31,0.006986,1462
32,0.006986,5650
33,0.006994,66
34,0.006996,66
35,0.007035,5650
36,0.007039,66
37,0.007084,1462
38,0.007086,66
39,0.007136,2858
40,0.007146,66
41,0.007186,4254
42,0.00719,66
43,0.007548,4254
44,0.007555,66
45,0.007596,3953
46,0.007599,66
47,0.036633,2274
48,0.037415,78
49,0.037415,66
50,0.038288,4254
51,0.038296,66
52,0.038327,4254
53,0.03833,66
54,0.038379,6611
55,0.038382,66
56,0.432453,74
57,0.47774,74
58,0.477782,66
59,0.4781,583
60,0.523245,66
61,0.524627,2858
62,0.524627,2454
63,0.524648,66
64,0.524665,66
65,0.525295,130
66,0.525502,2348
67,0.570717,66
68,0.572345,2858
69,0.572345,2858
70,0.572345,2858
71,0.572377,66
72,0.572392,66
73,0.572399,66
74,0.573356,2858
75,0.573367,66
76,0.574385,2858
77,0.574395,66
78,0.575474,2858
79,0.575487,66
80,0.576509,2858
81,0.576521,66
82,0.577548,2858
83,0.577559,66
84,0.578591,2858
85,0.578607,66
86,0.579657,2858
87,0.579675,66
88,0.580722,2858
89,0.580734,66
90,0.581746,2858
91,0.581752,66
92,0.582813,2858
93,0.582825,66
94,0.583872,2858
95,0.583886,66
96,0.584903,1462
97,0.585411,2858
98,0.585425,66
99,0.586487,2858
100,0.586498,66
101,0.587535,2858
102,0.587546,66
103,0.588581,2858
104,0.588592,66
105,0.58964,2858
106,0.589652,66
107,0.590683,2858
108,0.59069,66
109,0.591732,2858
110,0.591739,66
111,0.617007,2858
112,0.617022,66
113,0.617513,2858
114,0.617519,66
115,0.618582,2858
116,0.618598,66
117,0.619619,2858
118,0.619634,66
119,0.620681,1462
120,0.620694,66
121,0.621187,2858
122,0.6212,66
123,0.622248,2858
124,0.622262,66
125,0.623321,2858
126,0.62333,66
127,0.624313,2858
128,0.624326,66
129,0.625386,2858
130,0.625395,66
131,0.62642,2858
132,0.626424,66
133,0.627507,2858
134,0.627518,66
135,0.628537,2858
136,0.628546,66
137,0.629595,2858
138,0.629601,66
139,0.630717,2858
140,0.630728,66
141,0.631712,2858
