No.,Time,Length
1,0,2350
2,0.001095,66
3,0.002213,4254
4,0.002251,2858
5,0.002263,66
6,0.002281,66
7,0.002304,2858
8,0.002353,4254
9,0.002402,2858
10,0.002457,5650
11,0.0025,1462
12,0.002553,5650
13,0.002603,4254
14,0.002652,4254
15,0.002703,4254
16,0.002755,4254
17,0.002802,2858
18,0.002855,5650
19,0.002907,4254
20,0.002932,66
21,0.002958,2858
22,0.002963,66
23,0.003009,2858
24,0.003009,1462
25,0.003016,66
26,0.003062,5650
27,0.003107,2858
28,0.003158,4254
29,0.003172,66
30,0.003209,4254
31,0.003221,66
32,0.003261,4254
33,0.003276,66
34,0.003311,4254
35,0.003351,66
36,0.003362,2858
37,0.003379,66
38,0.00341,5650
39,0.003428,66
40,0.003464,4254
41,0.003485,66
42,0.003521,4254
43,0.00357,4254
44,0.003584,66
45,0.003625,4254
46,0.003641,66
47,0.003673,4254
48,0.003687,66
49,0.003724,4254
50,0.003768,66
51,0.003776,4254
52,0.003782,66
53,0.003827,5650
54,0.003842,66
55,0.003877,2858
56,0.003914,66
57,0.003931,4254
58,0.003943,66
59,0.00398,4254
60,0.003996,66
61,0.004031,2858
62,0.004041,66
63,0.00408,5650
64,0.004089,66
65,0.004129,4254
66,0.004156,66
67,0.004191,5650
68,0.004201,66
69,0.004228,2858
70,0.004236,66
71,0.00428,2858
72,0.004303,66
73,0.00433,5650
74,0.004341,66
75,0.004379,2858
76,0.004388,66
77,0.00443,5650
78,0.004438,66
79,0.00448,2858
80,0.004497,66
81,0.004531,4254
82,0.00454,66
83,0.004579,2858
84,0.00458,1462
85,0.004591,66
86,0.00463,4254
87,0.004639,66
88,0.004681,2858
89,0.004693,66
90,0.004731,4254
91,0.00474,66
92,0.00478,4254
93,0.004789,66
94,0.004833,4254
95,0.004854,66
96,0.004882,5650
97,0.004893,66
98,0.004931,2858
99,0.004966,66
100,0.004983,4254
101,0.004995,66
102,0.005032,5650
103,0.005047,66
104,0.00509,4254
105,0.005119,66
106,0.005139,2858
107,0.005154,66
108,0.005189,5650
109,0.005203,66
110,0.005239,4254
111,0.005247,66
112,0.005289,2858
113,0.00531,66
114,0.005341,4254
115,0.005353,66
116,0.005392,1462
117,0.005392,2858
118,0.005412,66
119,0.00544,2858
120,0.00545,66
121,0.00549,5650
122,0.005499,66
123,0.005542,4254
124,0.005567,66
125,0.0056,4254
126,0.00561,66
127,0.00565,2858
128,0.005658,66
129,0.005702,2858
130,0.00571,66
131,0.005751,4254
132,0.005771,66
133,0.005802,4254
134,0.005812,66
135,0.005852,4254
136,0.005861,66
137,0.005901,4254
138,0.005909,66
139,0.005951,4254
140,0.005974,66
141,0.006003,4254
142,0.006015,66
143,0.006051,4254
144,0.006059,66
145,0.006102,5650
146,0.006111,66
147,0.006151,2858
148,0.00618,66
149,0.006203,1462
150,0.006203,4254
151,0.006236,66
152,0.006251,2858
153,0.00627,66
154,0.006302,4254
155,0.00631,66
156,0.006358,2858
157,0.00639,66
158,0.006403,5650
159,0.006416,66
160,0.006454,2858
161,0.006463,66
162,0.006504,4254
163,0.006512,66
164,0.006559,1462
165,0.006559,2858
166,0.006593,66
167,0.006606,4254
168,0.006628,66
169,0.006654,1462
170,0.006747,4254
171,0.006755,66
172,0.006794,2858
173,0.006802,66
174,0.006851,5650
175,0.006883,66
176,0.006896,2858
177,0.006908,66
178,0.006948,4254
179,0.006957,66
180,0.006995,5650
181,0.007003,66
182,0.007045,1353
183,0.035315,2256
184,0.036391,66
185,0.046005,8442
186,0.046078,8442
187,0.046095,66
188,0.046121,66
189,0.046124,5650
190,0.046183,5650
191,0.046235,5650
192,0.046271,4254
193,0.046325,7046
194,0.046372,5650
195,0.046421,5650
196,0.046478,4254
197,0.046527,2858
198,0.046582,1462
199,0.046582,2557
200,0.047274,66
201,0.058936,2356
202,0.060064,66
203,0.061466,4254
204,0.061513,66
205,0.061524,4254
206,0.061531,66
207,0.061574,4254
208,0.061621,2858
209,0.061672,4254
210,0.061728,2858
211,0.061773,4254
212,0.061823,4254
213,0.061877,4254
214,0.061932,2858
215,0.061981,4254
216,0.062036,2858
217,0.062083,5650
218,0.062136,4254
219,0.062185,2858
220,0.062237,4254
221,0.062291,2858
222,0.062339,4254
223,0.062387,2858
224,0.062438,5650
225,0.062487,2858
226,0.062515,66
227,0.062541,2858
228,0.062548,66
229,0.062587,5650
230,0.062592,66
231,0.062644,4254
232,0.062691,2858
233,0.062704,66
234,0.062743,5650
235,0.062791,2858
236,0.062846,5650
237,0.062895,5650
238,0.06292,66
239,0.062948,2858
240,0.062955,66
241,0.062995,4254
242,0.063039,66
243,0.063051,4254
244,0.06307,66
245,0.063097,2858
246,0.063097,1462
247,0.063148,4254
248,0.063176,66
249,0.0632,4254
250,0.063205,66
251,0.063248,2858
252,0.063264,66
253,0.063297,4254
254,0.063313,66
255,0.063347,4254
256,0.063369,66
257,0.063403,4254
258,0.063447,4254
259,0.063457,66
260,0.063497,4254
261,0.063512,66
262,0.063553,4254
263,0.063568,66
264,0.0636,2858
265,0.063649,66
266,0.063652,5650
267,0.063671,66
268,0.063702,5650
269,0.063729,66
270,0.063752,2858
271,0.063762,66
272,0.06381,5650
273,0.063853,2858
274,0.063854,66
275,0.063863,66
276,0.063902,1462
277,0.063902,4254
278,0.063916,66
279,0.063958,4254
280,0.063966,66
281,0.06401,2858
282,0.064041,66
283,0.064065,5650
284,0.06408,66
285,0.064112,4254
286,0.064132,66
287,0.064165,4254
288,0.064182,66
289,0.064217,2858
290,0.064265,4254
291,0.064266,66
292,0.064273,66
293,0.064313,4254
294,0.064333,66
295,0.064363,4254
296,0.064378,66
297,0.064421,4254
298,0.064471,4254
299,0.064496,66
300,0.064522,4254
301,0.064539,66
302,0.064572,4254
303,0.064596,66
304,0.064625,4254
305,0.064677,2858
306,0.064693,66
307,0.064728,5650
308,0.064753,66
309,0.064776,4254
310,0.064789,66
311,0.064825,4254
312,0.064872,66
313,0.064877,4254
314,0.064892,66
315,0.064929,4254
316,0.064945,66
317,0.064988,4254
318,0.065017,66
319,0.065039,4254
320,0.065056,66
321,0.06509,5650
322,0.065159,5650
