No.,Time,Length
1,0,66
2,0.001039,66
3,2.980876,2364
4,2.98198,66
5,3.105051,3344
6,3.105071,66
7,3.112123,2377
8,3.113252,66
9,3.253562,4254
10,3.25358,66
11,3.253606,4254
12,3.253609,66
13,3.253656,2858
14,3.253669,66
15,3.253705,5650
16,3.253708,66
17,3.253754,2858
18,3.253756,66
19,3.253811,5650
20,3.253814,66
21,3.253856,4254
22,3.253859,66
23,3.253905,2858
24,3.253908,66
25,3.253957,5650
26,3.25396,66
27,3.254008,4254
28,3.254011,66
29,3.254055,4254
30,3.254057,66
31,3.254107,4254
32,3.254109,66
33,3.254155,4254
34,3.254157,66
35,3.254205,5650
36,3.254265,4254
37,3.254305,2858
38,3.254324,66
39,3.254359,5650
40,3.254362,66
41,3.254404,4254
42,3.254406,66
43,3.254455,4254
44,3.254505,4254
45,3.254507,66
46,3.254525,66
47,3.254555,4254
48,3.254621,5650
49,3.254655,2858
50,3.254679,66
51,3.254705,5650
52,3.254742,66
53,3.254757,3701
54,3.254764,66
55,3.257591,4254
56,3.257636,4254
57,3.257641,66
58,3.257649,66
59,3.257696,4254
60,3.257733,66
61,3.257738,4254
62,3.257763,66
63,3.257787,2858
64,3.257837,4254
65,3.257848,66
66,3.257902,5650
67,3.25794,66
68,3.257952,2858
69,3.257972,66
70,3.258013,5650
71,3.258059,5650
72,3.258067,66
73,3.258112,4254
74,3.258144,66
75,3.258149,2858
76,3.258159,66
77,3.258204,4254
78,3.258272,5650
79,3.258317,4254
80,3.258349,1474
81,3.258373,66
82,3.261914,4254
83,3.261944,66
84,3.261967,5650
85,3.261973,66
86,3.262013,4254
87,3.262073,5650
88,3.262088,66
89,3.262094,66
90,3.262109,5650
91,3.262128,66
92,3.262161,5650
93,3.262246,66
94,3.262256,9838
95,3.262336,66
96,3.262391,15422
97,3.262523,66
98,3.262602,8442
99,3.262602,1474
100,3.262629,66
101,3.26618,29382
102,3.266234,66
103,3.266425,25194
104,3.266436,66
105,3.266667,9838
106,3.266667,1474
107,3.266676,66
108,3.266705,66
109,3.270271,34966
110,3.2703,66
111,3.270475,23798
112,3.270487,66
113,3.270715,5650
114,3.270715,1474
115,3.270723,66
116,3.270748,66
117,3.274285,23798
118,3.274356,66
119,3.274521,18214
120,3.274536,66
121,3.274778,22402
122,3.274798,1474
123,3.274849,66
124,3.276944,21006
125,3.276963,66
126,3.277175,12337
127,3.277186,66
128,3.546808,2369
129,3.547921,66
130,3.550997,7046
131,3.551013,66
132,3.551093,7046
133,3.551099,66
134,3.551135,2858
135,3.551142,66
136,3.551177,4254
137,3.55118,66
138,3.55123,4254
139,3.551236,66
140,3.551312,5650
141,3.551315,66
142,3.551371,5650
143,3.551373,66
144,3.551422,4254
145,3.551425,66
146,3.551472,2858
147,3.551474,66
148,3.551521,2858
149,3.551524,66
150,3.551573,4254
151,3.551575,66
152,3.551624,5650
153,3.551627,66
154,3.551672,2858
155,3.551675,66
156,3.551723,2858
157,3.551726,66
158,3.551773,2858
159,3.551773,2858
160,3.551779,66
161,3.55178,66
162,3.551823,2858
163,3.551873,4254
164,3.551877,66
165,3.551909,66
166,3.551925,4254
167,3.551929,66
168,3.551977,2858
169,3.551979,66
170,3.552024,4254
171,3.552074,4254
172,3.552113,66
173,3.552123,2858
174,3.552134,66
175,3.552176,5650
176,3.552224,2858
177,3.552274,5650
178,3.552289,66
179,3.552323,2858
180,3.552356,66
181,3.552373,2858
182,3.552383,66
183,3.552425,5650
184,3.552457,66
185,3.552481,4254
186,3.552522,66
187,3.552535,2858
188,3.552549,66
189,3.552581,4254
190,3.552581,1462
191,3.552614,66
192,3.552637,4254
193,3.552668,66
194,3.552687,4254
195,3.552731,66
196,3.552737,2858
197,3.552743,66
198,3.552788,5650
199,3.552825,66
200,3.552839,2858
201,3.552853,66
202,3.552888,4254
203,3.552937,4254
204,3.552942,66
205,3.552949,66
206,3.552988,4254
207,3.553003,66
208,3.55304,4254
209,3.553053,66
210,3.553091,2858
211,3.553128,66
212,3.553158,5650
213,3.553177,66
214,3.55319,2858
215,3.5532,66
216,3.553242,4254
217,3.55325,66
218,3.553293,4254
219,3.553301,66
220,3.55334,2858
221,3.553363,66
222,3.553393,4254
223,3.553393,1462
224,3.553409,66
225,3.55345,4254
226,3.553495,66
227,3.553522,4254
228,3.553552,66
229,3.553557,2858
230,3.55361,5650
231,3.553643,66
232,3.553658,2858
233,3.553674,66
234,3.553713,5650
235,3.553733,66
236,3.553768,4254
237,3.553815,2858
238,3.553854,66
239,3.553864,4254
240,3.553911,66
241,3.553916,5650
242,3.553923,66
243,3.553967,2858
244,3.554005,66
245,3.554014,2858
246,3.554036,66
247,3.554068,5650
248,3.554084,66
249,3.554116,4254
250,3.554134,66
251,3.554173,4254
252,3.554218,66
253,3.554219,1462
254,3.554219,1462
255,3.554228,66
256,3.554274,5650
257,3.554294,66
258,3.55432,1462
259,3.554376,4254
260,3.554393,66
261,3.55442,4254
262,3.55444,66
263,3.554475,4254
264,3.554494,66
265,3.554524,4254
266,3.554535,66
267,3.554573,4254
268,3.554608,66
269,3.554634,4254
270,3.554648,66
271,3.554683,2858
272,3.554702,66
273,3.554732,5650
274,3.554746,66
275,3.554781,4254
276,3.55482,66
277,3.554831,4254
278,3.554842,66
279,3.554882,4254
280,3.554901,66
281,3.554935,4254
