No.,Time,Length
1,0,74
2,0.00117,74
3,0.001191,66
4,0.001351,583
5,0.002402,66
6,0.004301,4254
7,0.00432,66
8,0.004355,847
9,0.004357,66
10,0.004815,130
11,0.004967,2268
12,0.006045,78
13,0.006045,66
14,0.007091,2858
15,0.007099,66
16,0.007146,7046
17,0.007152,66
18,0.007191,5650
19,0.007196,66
20,0.00724,4254
21,0.007247,66
22,0.008203,5650
23,0.008212,66
24,0.008261,7046
25,0.008269,66
26,0.008311,1462
27,0.008311,2858
28,0.008319,66
29,0.008323,66
30,0.008329,2858
31,0.008332,66
32,0.008381,5650
33,0.008385,66
34,0.008435,2858
35,0.008439,66
36,0.00848,2858
37,0.008483,66
38,0.008644,1462
39,0.008645,1462
40,0.008648,66
41,0.008651,66
42,0.00872,5650
43,0.008727,66
44,0.009324,4254
45,0.00933,66
46,0.009375,3953
47,0.009379,66
48,0.054541,2268
49,0.055627,66
50,0.056436,4254
51,0.056462,66
52,0.056539,12630
53,0.056547,66
54,0.056583,5650
55,0.056588,66
56,0.056831,21006
57,0.056842,66
58,0.056852,11234
59,0.056856,66
60,0.056946,9838
61,0.056951,66
62,0.057188,2557
63,0.057192,66
64,0.072457,74
65,0.120012,74
66,0.120038,66
67,0.120192,583
68,0.167628,66
69,0.168958,2858
70,0.168958,2454
71,0.168975,66
72,0.168989,66
73,0.169499,130
74,0.169667,2408
75,0.217207,66
76,0.258439,2858
77,0.258439,2858
78,0.258462,66
79,0.258479,66
80,0.258519,2858
81,0.258529,66
82,0.259991,2858
83,0.260001,66
84,0.26155,2858
85,0.26157,66
86,0.263075,2858
87,0.263094,66
88,0.264577,2858
89,0.264596,66
90,0.266083,2858
91,0.266094,66
92,0.267683,2858
93,0.267704,66
94,0.269161,2858
95,0.269178,66
96,0.270715,2858
97,0.27073,66
98,0.272196,2858
99,0.272206,66
100,0.273762,2858
101,0.273772,66
102,0.275276,2858
103,0.275288,66
104,0.27685,1462
105,0.277634,2858
106,0.277642,66
107,0.303409,2858
108,0.303427,66
109,0.304169,2858
110,0.304186,66
111,0.30563,2858
112,0.305641,66
113,0.307171,2858
114,0.307178,66
115,0.308714,2858
116,0.308725,66
117,0.310295,2858
118,0.310319,66
119,0.311817,2858
120,0.31184,66
121,0.31334,2858
122,0.313364,66
123,0.314884,2858
124,0.314908,66
125,0.316351,2858
126,0.316367,66
127,0.317911,1462
128,0.317923,66
129,0.318713,2858
130,0.318746,66
131,0.320183,2858
132,0.320195,66
133,0.321788,2858
134,0.321813,66
135,0.323255,2858
136,0.323274,66
137,0.324776,2858
138,0.324789,66
139,0.326303,2858
140,0.326316,66
141,0.3278,2858
142,0.327818,66
143,0.329234,2858
144,0.329252,66
145,0.330672,647
146,0.33069,66
147,0.33555,2268
148,0.33661,78
149,0.33661,66
150,0.338572,4254
151,0.338583,66
152,0.338625,5650
153,0.338635,66
154,0.338669,4254
155,0.338673,66
156,0.338717,4254
157,0.338721,66
158,0.338766,3404
159,0.338772,66
160,1.170652,2401
161,1.215598,66
162,1.240023,2858
163,1.240038,66
164,1.240503,2858
165,1.24052,66
166,1.241463,2858
167,1.241482,66
168,1.242549,2858
169,1.242561,66
170,1.243423,2858
171,1.243433,66
172,1.244404,2858
173,1.24441,66
174,1.245375,2858
175,1.245384,66
176,1.246318,2858
177,1.246325,66
178,1.247297,2858
179,1.247304,66
180,1.248257,2858
181,1.248262,66
182,1.249221,2858
183,1.249225,66
184,1.250191,2858
185,1.250193,66
186,1.251165,2858
187,1.251168,66
188,1.252162,2858
189,1.252169,66
190,1.253116,2858
191,1.25312,66
192,1.254119,2858
193,1.254127,66
194,1.255062,2858
195,1.255068,66
196,1.256015,2858
197,1.25602,66
198,1.256977,2858
199,1.256985,66
200,1.257958,2858
201,1.257962,66
202,1.258925,2858
203,1.25893,66
204,1.259899,2858
205,1.259905,66
206,1.260861,2858
207,1.260867,66
208,1.261836,2858
209,1.261844,66
210,1.262814,2858
211,1.262819,66
212,1.263773,2858
213,1.263777,66
214,1.264746,2858
215,1.26475,66
216,1.265706,2858
217,1.26571,66
218,1.266676,2858
219,1.26668,66
220,1.26767,2858
221,1.267675,66
222,1.268642,2858
223,1.268646,66
224,1.269596,2858
225,1.269603,66
226,1.270603,2858
227,1.270608,66
228,1.271557,2858
229,1.271562,66
230,1.272499,2301
231,1.272507,66
232,1.281977,2263
233,1.283042,66
234,1.309531,5650
235,1.309552,66
236,1.309568,4254
237,1.309573,66
238,1.309629,8442
239,1.309635,66
240,1.309677,5650
241,1.309684,66
242,1.309728,5650
243,1.309735,66
244,1.309781,5650
245,1.309787,66
246,1.309839,7046
247,1.309846,66
248,1.309862,2858
249,1.309864,66
250,1.309915,7046
251,1.309918,66
252,1.309965,4254
253,1.309968,66
254,1.310013,7046
255,1.310016,66
256,1.310063,1462
257,1.310063,2557
258,1.310068,66
259,1.310069,66
260,1.318877,2406
261,1.363789,66
262,1.396294,2858
263,1.39631,66
264,1.39666,2858
265,1.396668,66
266,1.397454,2858
267,1.39746,66
268,1.398207,2858
269,1.398214,66
270,1.398974,2858
271,1.39898,66
272,1.399746,2858
273,1.399752,66
274,1.400544,2858
275,1.40055,66
276,1.401298,2858
277,1.401304,66
278,1.402051,2858
279,1.402058,66
280,1.402848,2858
281,1.402852,66
282,1.403624,2858
283,1.403627,66
284,1.404414,2858
285,1.404419,66
286,1.405172,2858
287,1.405177,66
288,1.405944,2858
289,1.405949,66
290,1.406727,2858
291,1.406738,66
292,1.407511,2858
293,1.407515,66
294,1.408255,2858
295,1.408258,66
296,1.409059,2858
297,1.409064,66
298,1.409826,2858
299,1.409833,66
300,1.410604,2858
301,1.410609,66
302,1.411348,2858
303,1.411356,66
304,1.412132,2858
305,1.412137,66
306,1.412898,2858
307,1.412913,66
308,1.413681,2858
309,1.413686,66
310,1.414438,2858
311,1.414443,66
312,1.415231,2858
313,1.415235,66
314,1.415986,2858
315,1.415989,66
316,1.416783,2858
317,1.416787,66
318,1.41753,2858
319,1.417533,66
320,1.418377,2858
321,1.418381,66
322,1.419073,2858
323,1.419076,66
324,1.419858,2858
325,1.41986,66
326,1.420626,2858
327,1.42063,66
328,1.421388,1462
329,1.421391,66
330,1.421447,1462
331,1.421449,66
332,1.422193,2858
333,1.422196,66
334,1.422944,2858
335,1.422945,66
336,1.423726,2858
337,1.423735,66
338,1.42452,2858
339,1.42453,66
340,1.425318,2858
341,1.425325,66
342,1.426052,2858
343,1.426059,66
344,1.426825,2858
345,1.426833,66
346,1.427603,2858
347,1.427607,66
348,1.428388,2858
349,1.428394,66
350,1.429145,2858
