No.,Time,Length
1,0,74
2,0.000879,74
3,0.000885,66
4,0.001185,583
5,0.001979,66
6,0.003532,2858
7,0.003536,66
8,0.003583,2243
9,0.003586,66
10,0.003759,130
11,0.003822,2276
12,0.004602,66
13,0.01007,66
14,0.030531,74
15,0.046213,7046
16,0.04623,66
17,0.046244,2858
18,0.046246,66
19,0.046305,8442
20,0.046312,66
21,0.046348,1462
22,0.04635,66
23,0.047004,475
24,0.047006,66
25,0.077629,74
26,0.077672,66
27,0.077977,583
28,0.124905,66
29,0.126065,2858
30,0.126065,2454
31,0.12608,66
32,0.12609,66
33,0.129003,130
34,0.129212,2342
35,0.176187,66
36,0.210282,2858
37,0.210282,1619
38,0.210304,66
39,0.210315,66
40,0.236169,2355
41,0.283133,66
42,0.505022,2858
43,0.505043,66
44,0.505746,2858
45,0.505754,66
46,0.507341,2858
47,0.507347,66
48,0.508919,2858
49,0.508925,66
50,0.510463,2858
51,0.510469,66
52,0.512045,2858
53,0.512059,66
54,0.513578,2858
55,0.513598,66
56,0.515139,2858
57,0.515159,66
58,0.516734,2858
59,0.516751,66
60,0.518284,2858
61,0.518299,66
62,0.519838,2858
63,0.51985,66
64,0.521401,2858
65,0.521413,66
66,0.522973,2858
67,0.522985,66
68,0.524567,2858
69,0.524573,66
70,0.526114,1462
71,0.526119,66
72,0.526909,2858
73,0.526923,66
74,0.52851,2858
75,0.528515,66
76,0.530077,1462
77,0.551978,2858
78,0.551999,66
79,0.552728,2858
80,0.552739,66
81,0.554292,2858
82,0.554303,66
83,0.55587,2858
84,0.555881,66
85,0.557423,2858
86,0.557434,66
87,0.558988,2858
88,0.558999,66
89,0.560553,2858
90,0.560564,66
91,0.562133,2858
92,0.562146,66
93,0.563681,2858
94,0.563695,66
95,0.565296,2858
96,0.56531,66
97,0.566879,2858
98,0.566892,66
99,0.568459,2858
100,0.56849,66
101,0.570009,2858
102,0.570029,66
103,0.571601,2858
104,0.571626,66
105,0.573088,2858
106,0.573105,66
107,0.574645,2858
108,0.574662,66
109,0.576213,2858
110,0.576231,66
111,0.577805,2858
112,0.577822,66
113,0.579363,2858
114,0.57938,66
115,0.580837,2858
116,0.580856,66
117,0.582353,1462
118,0.582369,66
119,0.583072,2858
120,0.583087,66
121,0.598887,2858
122,0.598909,66
123,0.599406,2858
124,0.599416,66
125,0.600343,2858
126,0.600352,66
127,0.601271,2858
128,0.601277,66
129,0.602213,2858
130,0.602221,66
131,0.603179,2858
132,0.603189,66
133,0.604092,2858
134,0.6041,66
135,0.605013,2858
136,0.60502,66
137,0.606,2858
138,0.606009,66
139,0.606862,2858
140,0.606869,66
141,0.607754,1462
142,0.607772,66
143,0.608241,2858
144,0.608256,66
145,0.609191,2858
146,0.609197,66
147,0.610119,2858
148,0.610126,66
149,0.610994,2858
150,0.611016,66
151,0.611919,2858
152,0.611925,66
153,0.612826,2858
154,0.612834,66
155,0.613781,2858
156,0.613793,66
157,0.614687,2858
158,0.614694,66
159,0.615593,2858
160,0.615601,66
161,0.616483,2858
162,0.616496,66
163,0.617416,2858
164,0.617426,66
165,0.618336,1462
166,0.618345,66
167,0.618761,2858
168,0.618771,66
169,0.619663,2858
170,0.61967,66
171,0.620616,2858
172,0.620629,66
173,0.621512,2858
174,0.621525,66
175,0.622501,2858
176,0.622511,66
177,0.623265,2858
178,0.623282,66
179,0.624249,2858
180,0.624259,66
181,0.625168,2858
182,0.625178,66
183,0.62603,2858
184,0.626041,66
185,0.626883,2858
186,0.626901,66
187,0.627809,2858
188,0.627819,66
189,0.628677,1462
190,0.628687,66
191,0.629131,2858
192,0.62914,66
193,0.630036,2858
194,0.630051,66
195,0.630915,2858
196,0.630933,66
197,0.63186,2858
198,0.631875,66
199,0.632694,2858
200,0.632709,66
201,0.633549,2858
202,0.633563,66
203,0.63442,2858
204,0.634433,66
205,0.635327,2858
206,0.635338,66
207,0.636208,2858
208,0.636218,66
209,0.637049,2858
210,0.637055,66
211,0.637903,2858
212,0.63792,66
213,0.638773,1462
214,0.638789,66
215,0.639194,2858
216,0.639218,66
217,0.640096,2858
218,0.640101,66
219,0.640955,2858
220,0.640961,66
221,0.64184,2858
222,0.641846,66
223,0.642689,2858
224,0.642706,66
225,0.645819,2858
226,0.645825,66
227,0.646198,2858
228,0.646201,66
229,0.646935,2858
230,0.646941,66
231,0.647744,2858
232,0.647758,66
233,0.648418,2858
234,0.648432,66
235,0.649197,2858
236,0.649214,66
237,0.6499,1462
238,0.649915,66
239,0.650253,2858
240,0.650266,66
241,0.650985,2858
242,0.651,66
243,0.651711,2858
244,0.651724,66
245,0.652411,2858
246,0.652428,66
247,0.653111,2858
248,0.653125,66
249,0.653778,2858
250,0.653795,66
251,0.654508,2858
252,0.654519,66
253,0.655103,2858
254,0.65511,66
255,0.655761,2858
256,0.655772,66
257,0.656403,2858
258,0.656414,66
259,0.657054,2858
260,0.657065,66
261,0.657678,1462
262,0.657687,66
263,0.658034,4254
264,0.658046,66
265,0.658945,4254
266,0.658952,66
267,0.65989,4254
268,0.659901,66
269,0.66081,4254
270,0.660822,66
271,0.661683,4254
272,0.66169,66
273,0.662562,4254
274,0.662568,66
275,0.663505,4254
276,0.663518,66
277,0.664375,2858
278,0.664388,66
279,0.664899,4254
280,0.664912,66
281,0.66575,4254
282,0.665758,66
283,0.666564,4254
284,0.666573,66
285,0.667421,4254
286,0.667435,66
287,0.66824,4254
288,0.668252,66
289,0.669104,4254
290,0.669116,66
291,0.669857,4254
292,0.669864,66
293,0.670632,4254
294,0.670638,66
295,0.671496,4254
296,0.671509,66
297,0.672191,4254
298,0.672198,66
299,0.672963,4254
300,0.672971,66
301,0.673686,4254
302,0.673695,66
303,0.674434,4254
304,0.674439,66
305,0.675145,1462
306,0.675161,66
307,0.67539,2858
308,0.675405,66
309,0.675441,1462
310,0.675444,66
311,0.676183,4254
312,0.676191,66
313,0.676899,5650
314,0.676907,66
315,0.677843,5650
316,0.677848,66
317,0.678769,2858
318,0.678773,66
319,0.678819,2858
320,0.678823,66
321,0.67973,5650
322,0.679741,66
323,0.680645,5650
324,0.680655,66
325,0.68156,5650
326,0.681569,66
327,0.682468,5650
328,0.682476,66
329,0.683359,5650
330,0.683365,66
