No.,Time,Length
1,0,2257
2,0.00106,66
3,0.047866,7046
4,0.047887,66
5,0.047948,4254
6,0.047948,5650
7,0.047956,66
8,0.047959,66
9,0.047987,4254
10,0.04799,66
11,0.04825,1462
12,0.048257,66
13,0.048965,7046
14,0.048972,66
15,0.049018,5650
16,0.049024,66
17,0.049069,1462
18,0.049069,5650
19,0.049077,66
20,0.049082,66
21,0.049121,5650
22,0.049126,66
23,0.049151,1462
24,0.049153,66
25,0.049203,2858
26,0.049206,66
27,0.049255,2858
28,0.04926,66
29,0.049369,5650
30,0.049373,66
31,0.049408,4254
32,0.04941,66
33,0.049459,2557
34,0.049461,66
35,0.052759,2353
36,0.053868,78
37,0.053868,66
38,0.061447,11234
39,0.061464,66
40,0.061521,9838
41,0.06153,66
42,0.061783,23798
43,0.061797,66
44,0.061807,9838
45,0.061814,66
46,0.062036,26590
47,0.062059,66
48,0.06226,8442
49,0.06227,66
50,0.062888,26590
51,0.062902,66
52,0.063131,15422
53,0.063143,66
54,0.063165,16818
55,0.063175,66
56,0.063381,5650
57,0.063381,21006
58,0.063397,66
59,0.063404,66
60,0.063646,30778
61,0.063658,66
62,0.063869,12630
63,0.063876,66
64,0.064169,19610
65,0.064183,66
66,0.064401,27986
67,0.064416,66
68,0.064642,16818
69,0.064658,66
70,0.064704,19610
71,0.064717,66
72,0.064903,18214
73,0.064919,66
74,0.065164,18214
75,0.065183,66
76,0.065425,8442
77,0.065426,16818
78,0.065454,66
79,0.065468,66
80,0.065688,25194
81,0.06571,66
82,0.065927,22402
83,0.065944,66
84,0.065969,5650
85,0.065977,66
86,0.066176,15422
87,0.066185,66
88,0.066432,19610
89,0.066456,66
90,0.066674,21006
91,0.066684,66
92,0.066939,2858
93,0.066939,27986
94,0.066961,66
95,0.066967,66
96,0.067175,19610
97,0.06719,66
98,0.067452,16818
99,0.067469,66
100,0.067494,8442
101,0.067511,66
102,0.067693,15422
103,0.067705,66
104,0.06795,18214
105,0.06796,66
106,0.068205,19610
107,0.068222,66
108,0.068449,2858
109,0.06845,16818
110,0.068462,66
111,0.06847,66
112,0.068707,27986
113,0.068724,66
114,0.068944,19610
115,0.068953,66
116,0.068967,8442
117,0.068972,66
118,0.069205,18214
119,0.069221,66
120,0.069445,19610
121,0.069456,66
122,0.069688,18214
123,0.069697,66
124,0.069715,11234
125,0.069725,66
126,0.069973,21006
127,0.069991,66
128,0.070229,21006
129,0.070246,66
130,0.070467,11234
131,0.070481,66
132,0.070501,14026
133,0.070508,66
134,0.070726,16818
135,0.07074,66
136,0.070973,21006
137,0.070984,66
138,0.071211,12630
139,0.071221,66
140,0.071238,9838
141,0.071242,66
142,0.071473,18214
143,0.071484,66
144,0.071731,19610
145,0.071745,66
146,0.071964,16818
147,0.071974,66
148,0.071989,5650
149,0.071993,66
150,0.072212,11234
151,0.072226,66
152,0.072476,26590
153,0.07249,66
154,0.072718,21006
155,0.07273,66
156,0.072743,7046
157,0.072754,66
158,0.072981,26590
159,0.072996,66
160,0.073231,29382
161,0.073249,66
162,0.073474,1462
163,0.073474,27986
164,0.073492,66
165,0.073497,66
166,0.073726,29382
167,0.073741,66
168,0.073984,7046
169,0.073985,23798
170,0.074004,66
171,0.074009,66
172,0.074225,27986
173,0.074241,66
174,0.074464,12630
175,0.074468,66
176,0.074479,18214
177,0.074492,66
178,0.074737,29382
179,0.074751,66
180,0.074971,1462
181,0.074971,15422
182,0.074982,66
183,0.074987,66
184,0.074996,8442
185,0.075007,66
186,0.075226,25194
187,0.075247,66
188,0.075476,30778
189,0.075501,66
190,0.075732,12630
191,0.07574,66
192,0.076005,32174
193,0.076039,66
194,0.076232,19610
195,0.076241,66
196,0.076252,4254
197,0.07626,66
198,0.076488,27986
199,0.076509,66
200,0.076752,30778
201,0.076775,66
202,0.076997,1462
203,0.076997,14026
204,0.07701,66
205,0.077029,66
206,0.077255,30778
207,0.07728,66
208,0.077495,19610
209,0.077503,66
210,0.077754,14026
211,0.077758,66
212,0.077769,9838
213,0.077797,66
214,0.078013,29382
215,0.078037,66
216,0.078255,11234
217,0.07826,66
218,0.078269,5650
219,0.078277,66
220,0.078507,15422
221,0.078518,4254
222,0.078528,66
223,0.078766,29382
224,0.078788,66
225,0.079016,9838
226,0.079016,19610
227,0.079028,66
228,0.079044,66
229,0.079268,29382
230,0.079291,66
231,0.079508,15422
232,0.079514,66
233,0.079522,2858
234,0.079533,66
235,0.079762,22402
236,0.079788,66
237,0.080018,30778
238,0.080041,66
239,0.080264,8442
240,0.080264,8442
241,0.080273,66
242,0.08029,66
243,0.080523,19610
244,0.080543,66
245,0.080774,29382
246,0.080797,66
247,0.081028,7046
248,0.081028,22402
249,0.081038,66
250,0.081054,66
251,0.081279,29382
252,0.0813,66
253,0.081517,12630
254,0.081522,66
255,0.081531,12630
256,0.081543,66
257,0.081778,29382
258,0.0818,66
259,0.082017,22402
260,0.082029,66
261,0.082301,29382
262,0.082358,66
263,0.082548,29382
264,0.082563,66
265,0.082788,5650
266,0.082788,12630
267,0.082798,66
268,0.082813,66
269,0.083041,30778
270,0.083063,66
271,0.083285,21006
272,0.083294,66
273,0.083553,27986
274,0.083575,66
275,0.083806,29382
276,0.083828,66
277,0.084052,7046
278,0.084052,9838
279,0.084061,66
280,0.08408,66
281,0.08431,30778
282,0.08434,66
283,0.084556,23798
