No.,Time,Length
1,0,2389
2,0.000577,74
3,0.000793,78
4,0.000793,66
5,0.001491,74
6,0.001504,66
7,0.001727,583
8,0.002468,66
9,0.003865,5032
10,0.003879,66
11,0.00429,130
12,0.00442,2253
13,0.005185,78
14,0.005185,66
15,0.025311,4254
16,0.025332,66
17,0.025344,4254
18,0.02535,66
19,0.025396,1462
20,0.025396,4254
21,0.025403,66
22,0.025405,66
23,0.025447,5650
24,0.025451,66
25,0.026103,5650
26,0.026117,66
27,0.026159,2858
28,0.026159,1462
29,0.026169,66
30,0.026171,66
31,0.026208,4254
32,0.026215,66
33,0.026256,2858
34,0.026261,66
35,0.026292,2858
36,0.026295,66
37,0.026345,5650
38,0.026348,66
39,0.026392,2858
40,0.026414,66
41,0.026442,4254
42,0.026445,66
43,0.026493,2858
44,0.026495,66
45,0.026554,2858
46,0.026556,66
47,0.026594,1462
48,0.026596,66
49,0.026925,4254
50,0.026931,66
51,0.026974,3953
52,0.026977,66
53,0.028661,2268
54,0.028672,66
55,0.050371,2394
56,0.051144,66
57,0.052339,5650
58,0.052349,66
59,0.052381,5650
60,0.052401,66
61,0.052415,2858
62,0.052417,66
63,0.052476,7046
64,0.052479,66
65,0.05251,5650
66,0.052513,66
67,0.05256,5650
68,0.052562,66
69,0.052611,5650
70,0.052613,66
71,0.052661,5650
72,0.052663,66
73,0.05272,7046
74,0.052725,66
75,0.052763,5650
76,0.052766,66
77,0.052812,2858
78,0.052816,66
79,0.052865,4254
80,0.05287,66
81,0.052921,1462
82,0.052921,1462
83,0.05293,66
84,0.052977,4254
85,0.053025,1462
86,0.053074,4254
87,0.053123,4254
88,0.053174,2858
89,0.053202,66
90,0.053225,2858
91,0.053276,2858
92,0.053289,66
93,0.053335,4254
94,0.053349,66
95,0.053378,2858
96,0.053405,66
97,0.053431,7046
98,0.053479,5650
99,0.053527,2858
100,0.053595,5650
101,0.053629,5650
102,0.053685,7046
103,0.053728,5650
104,0.053768,66
105,0.053781,5650
106,0.053816,66
107,0.053833,5650
108,0.05386,66
109,0.053882,7046
110,0.05393,5650
111,0.053982,5650
112,0.054045,7046
113,0.054078,4254
114,0.054129,5650
115,0.054184,7046
116,0.054228,5650
117,0.054272,66
118,0.054278,5650
119,0.054309,66
120,0.054332,7046
121,0.054339,66
122,0.054386,5650
123,0.054391,66
124,0.054428,5650
125,0.054476,66
126,0.054477,5650
127,0.054501,66
128,0.05453,5650
129,0.054579,5650
130,0.054609,66
131,0.05463,7046
132,0.054681,5650
133,0.054687,66
134,0.054694,66
135,0.054729,1462
136,0.054729,4254
137,0.054749,66
138,0.054778,5650
139,0.054822,66
140,0.05483,7046
141,0.05484,66
142,0.054877,5650
143,0.054903,66
144,0.054929,5650
145,0.054941,66
146,0.054982,5650
147,0.055021,66
148,0.055034,7046
149,0.055047,66
150,0.055082,4254
151,0.055129,5650
152,0.055138,66
153,0.055183,5650
154,0.05523,5650
155,0.05528,2858
156,0.055283,66
157,0.05529,66
158,0.05533,5650
159,0.055347,66
160,0.05538,4254
161,0.05538,1462
162,0.055418,66
163,0.055432,7046
164,0.055446,66
165,0.05548,5650
166,0.055503,66
167,0.055531,5650
168,0.055547,66
169,0.055578,5650
170,0.055593,66
171,0.055629,5650
172,0.055665,66
173,0.055683,5650
174,0.055697,66
175,0.055785,4254
176,0.055801,66
177,0.05584,4254
178,0.055852,66
179,0.055892,7046
180,0.055924,66
181,0.055943,5650
182,0.055959,66
183,0.055993,5650
184,0.05601,66
185,0.056041,1462
186,0.056041,4254
187,0.056087,66
188,0.056089,5650
189,0.056101,66
190,0.056141,4254
191,0.056162,66
192,0.056199,2858
193,0.05621,66
194,0.056246,4254
195,0.056253,66
196,0.056293,1462
197,0.056344,4254
198,0.056352,66
199,0.056395,5650
200,0.056406,66
201,0.056447,2858
202,0.056459,66
203,0.0565,5650
204,0.05651,66
205,0.056546,4254
206,0.056554,66
207,0.056599,2858
208,0.05661,66
209,0.056652,7046
210,0.056664,66
211,0.056698,4254
212,0.056707,66
213,0.056749,4254
214,0.056756,66
215,0.056797,1462
216,0.056797,1462
217,0.05681,66
218,0.056851,4254
219,0.056862,66
220,0.056904,4254
221,0.056913,66
222,0.056951,5650
223,0.056959,66
224,0.057003,4254
225,0.057013,66
226,0.05706,7046
227,0.057071,66
228,0.057103,2858
229,0.057112,66
230,0.057153,5650
231,0.057168,66
232,0.057207,7046
233,0.057223,66
234,0.057257,5650
235,0.057268,66
236,0.057304,5650
237,0.057321,66
238,0.057355,5650
239,0.057368,66
240,0.057405,5650
241,0.057414,66
242,0.057456,4370
243,0.057474,66
244,0.063925,2400
245,0.064772,66
246,0.066121,4254
247,0.066164,66
248,0.066168,5650
249,0.066179,66
250,0.066217,4254
251,0.066272,4254
252,0.066322,5650
253,0.06638,4254
254,0.066429,2858
255,0.066478,2858
256,0.066531,5650
257,0.066577,1462
258,0.066629,2858
259,0.066679,4254
260,0.066741,5650
261,0.066779,1462
262,0.06683,4254
263,0.066893,4254
264,0.066901,66
265,0.066929,66
266,0.066946,1462
267,0.066946,1462
268,0.066956,66
269,0.066996,2858
270,0.066999,66
271,0.067047,2858
272,0.0671,5650
273,0.067147,5650
274,0.067161,66
275,0.0672,5650
276,0.067213,66
277,0.067249,5650
278,0.067301,7046
