No.,Time,Length
1,0,2408
2,0.000788,66
3,0.002492,4254
4,0.002536,2858
5,0.002551,66
6,0.002588,5650
7,0.002639,4254
8,0.002687,4254
9,0.002743,5650
10,0.002785,1462
11,0.002837,4254
12,0.002886,4254
13,0.00294,4254
14,0.002989,4254
15,0.003039,5650
16,0.003089,7046
17,0.003141,5650
18,0.00319,1462
19,0.00319,4254
20,0.003239,5650
21,0.00329,7046
22,0.003341,5650
23,0.00339,5650
24,0.00344,66
25,0.00344,5650
26,0.003471,66
27,0.003494,7046
28,0.003501,66
29,0.003542,5650
30,0.003589,5650
31,0.00364,5650
32,0.003643,66
33,0.003663,66
34,0.003697,7046
35,0.003703,66
36,0.003742,4254
37,0.003799,7046
38,0.003841,5650
39,0.003889,5650
40,0.003901,66
41,0.003942,5650
42,0.003947,66
43,0.003992,7046
44,0.004027,66
45,0.004041,5650
46,0.004062,66
47,0.00409,2858
48,0.004094,66
49,0.004141,5650
50,0.004207,5650
51,0.004212,66
52,0.004219,66
53,0.004246,2858
54,0.004295,2858
55,0.004301,66
56,0.004346,4254
57,0.004366,66
58,0.004396,2858
59,0.004412,66
60,0.004448,5650
61,0.004465,66
62,0.004499,2858
63,0.004545,66
64,0.004548,4254
65,0.004564,66
66,0.004599,4254
67,0.004612,66
68,0.004654,2858
69,0.004654,1462
70,0.00467,66
71,0.004713,4254
72,0.004744,66
73,0.004754,2858
74,0.004768,66
75,0.004806,5650
76,0.00482,66
77,0.004869,4254
78,0.004883,66
79,0.004911,4254
80,0.004956,66
81,0.00496,2858
82,0.004976,66
83,0.005013,5650
84,0.005029,66
85,0.005062,4254
86,0.005081,66
87,0.005125,4254
88,0.005153,66
89,0.00517,2858
90,0.005184,66
91,0.005222,4254
92,0.005247,66
93,0.005272,5650
94,0.005285,66
95,0.005321,4254
96,0.00537,2858
97,0.005423,5650
98,0.005471,4254
99,0.005515,66
100,0.005531,4254
101,0.005548,66
102,0.005572,4254
103,0.005595,66
104,0.005621,4254
105,0.005637,66
106,0.005678,2858
107,0.005688,66
108,0.005733,4254
109,0.005744,66
110,0.005789,4254
111,0.005802,66
112,0.00584,4254
113,0.005849,66
114,0.005889,4254
115,0.005898,66
116,0.005943,4254
117,0.005954,66
118,0.005999,1462
119,0.005999,2858
120,0.006014,66
121,0.006049,4254
122,0.006058,66
123,0.006098,4254
124,0.006107,66
125,0.006147,2858
126,0.006156,66
127,0.006197,4254
128,0.00621,66
129,0.006248,4254
130,0.006257,66
131,0.006299,4254
132,0.006308,66
133,0.006349,2858
134,0.006357,66
135,0.006399,5650
136,0.006423,66
137,0.006451,1462
138,0.006547,2858
139,0.006557,66
140,0.006599,5650
141,0.006608,66
142,0.006648,2858
143,0.006665,66
144,0.00671,2858
145,0.006732,66
146,0.006748,4254
147,0.006766,66
148,0.006799,4254
149,0.006807,66
150,0.006848,4254
151,0.006863,66
152,0.0069,1462
153,0.0069,2858
154,0.006914,66
155,0.006948,4254
156,0.006957,66
157,0.007,4254
158,0.007009,66
159,0.007051,5650
160,0.007088,66
161,0.007097,2858
162,0.00711,66
163,0.007154,4254
164,0.007165,66
165,0.007198,4254
166,0.007207,66
167,0.007248,2858
168,0.007256,66
169,0.00731,5650
170,0.007324,66
171,0.007348,5650
172,0.007358,66
173,0.007401,5650
174,0.00741,66
175,0.00745,5650
176,0.007459,66
177,0.00751,5650
178,0.007525,66
179,0.007551,5650
180,0.007551,1462
181,0.007562,66
182,0.007599,5650
183,0.007612,66
184,0.007649,4254
185,0.007661,66
186,0.007701,4254
187,0.007749,5650
188,0.007799,2858
189,0.007852,4254
190,0.007902,5650
191,0.007954,5650
192,0.008001,5650
193,0.008053,5650
194,0.0081,5650
195,0.008153,5650
196,0.008203,2858
197,0.008203,2858
198,0.00825,5650
199,0.008306,7046
200,0.00835,5650
201,0.008403,5650
202,0.008451,5650
203,0.0085,5650
204,0.008552,7046
205,0.008603,5650
206,0.008645,66
207,0.008652,5650
208,0.00867,66
209,0.008704,7046
210,0.00871,66
211,0.008751,1462
212,0.008751,2858
213,0.0088,1462
214,0.008854,4254
215,0.0089,2858
216,0.008949,66
217,0.008952,5650
218,0.008986,66
219,0.009009,4254
220,0.009021,66
221,0.009051,4254
222,0.009056,66
223,0.009112,4254
224,0.009146,66
225,0.00915,4254
226,0.009162,66
227,0.009202,4254
228,0.009251,2858
229,0.0093,5650
230,0.009314,66
231,0.00932,66
232,0.009352,4254
233,0.009377,66
234,0.009408,2858
235,0.009451,66
236,0.009456,4254
237,0.009477,66
238,0.009506,2858
239,0.009525,66
240,0.009558,4254
241,0.009558,1462
242,0.009571,66
243,0.009605,2858
244,0.009641,66
245,0.009657,5650
246,0.009677,66
247,0.009709,4254
248,0.009724,66
249,0.009764,4254
250,0.009776,66
251,0.009813,4254
252,0.009851,66
253,0.009861,2858
254,0.009876,66
255,0.009913,5650
256,0.009933,66
257,0.009963,2858
258,0.009977,66
259,0.010015,4254
260,0.010062,4254
261,0.010102,66
262,0.010113,4254
263,0.010125,66
264,0.010163,4254
265,0.010215,4254
266,0.010263,4254
267,0.010294,66
268,0.010316,4254
269,0.010362,1462
270,0.010362,1462
271,0.010372,66
272,0.010416,5650
273,0.010461,1462
274,0.010486,66
275,0.010583,4254
276,0.010602,66
277,0.010634,4254
278,0.010647,66
279,0.010686,4254
280,0.010723,66
281,0.010734,5650
282,0.010748,66
283,0.010784,4254
284,0.010833,2858
285,0.01087,66
286,0.010884,5650
287,0.010893,66
288,0.010933,2858
289,0.01095,66
290,0.010987,5650
291,0.011007,66
292,0.011035,4254
293,0.01105,66
294,0.011084,4254
295,0.011124,66
296,0.011134,2858
297,0.011152,66
298,0.011186,5650
299,0.011202,66
