No.,Time,Length
1,0,2394
2,0.000813,66
3,0.025974,2057
4,0.026044,66
5,0.059221,2408
6,0.060012,66
7,0.11422,4254
8,0.114253,4254
9,0.114294,66
10,0.114311,5650
11,0.114361,4254
12,0.114417,4254
13,0.114465,5650
14,0.114515,5650
15,0.114555,4254
16,0.114614,7046
17,0.114654,5650
18,0.114705,5650
19,0.114754,5650
20,0.114812,2858
21,0.114812,2858
22,0.114856,7046
23,0.114904,5650
24,0.114955,5650
25,0.115007,5650
26,0.115055,5650
27,0.115077,66
28,0.115105,7046
29,0.11511,66
30,0.115155,5650
31,0.115161,66
32,0.115207,5650
33,0.115255,5650
34,0.115289,66
35,0.115305,5650
36,0.115312,66
37,0.115355,2858
38,0.115355,4254
39,0.115359,66
40,0.115407,5650
41,0.115457,5650
42,0.115507,5650
43,0.115559,7046
44,0.115571,66
45,0.11561,5650
46,0.115614,66
47,0.115657,5650
48,0.11567,66
49,0.115706,5650
50,0.115755,5650
51,0.115805,66
52,0.115807,7046
53,0.115812,66
54,0.115856,5650
55,0.115884,66
56,0.115905,1462
57,0.115906,4254
58,0.115918,66
59,0.115955,5650
60,0.115974,66
61,0.116006,4254
62,0.116006,1462
63,0.116058,7046
64,0.116059,66
65,0.116065,66
66,0.116106,5650
67,0.116155,5650
68,0.116173,66
69,0.116207,5650
70,0.116218,66
71,0.116257,5650
72,0.116282,66
73,0.116306,7046
74,0.116323,66
75,0.116356,5650
76,0.116367,66
77,0.116415,7046
78,0.116428,66
79,0.116458,4254
80,0.116469,66
81,0.116509,7046
82,0.116535,66
83,0.116558,2858
84,0.116558,2858
85,0.116579,66
86,0.116609,5650
87,0.116663,5650
88,0.116693,66
89,0.116709,7046
90,0.116736,66
91,0.116759,5650
92,0.116809,5650
93,0.116861,5650
94,0.116875,66
95,0.116909,5650
96,0.116943,66
97,0.116958,5650
98,0.116962,66
99,0.117009,7046
100,0.117042,66
101,0.117059,5650
102,0.117071,66
103,0.117107,2858
104,0.117107,2858
105,0.117138,66
106,0.117157,5650
107,0.117168,66
108,0.117208,7046
109,0.11722,66
110,0.117258,5650
111,0.117277,66
112,0.117307,5650
113,0.117321,66
114,0.117357,5650
115,0.117366,66
116,0.117408,5650
117,0.117423,66
118,0.11746,7046
119,0.117474,66
120,0.117507,5650
121,0.11753,66
122,0.117557,5650
123,0.117571,66
124,0.117608,5650
125,0.117617,66
126,0.117659,2858
127,0.117659,2858
128,0.117673,66
129,0.117709,7046
130,0.117723,66
131,0.117756,5650
132,0.117766,66
133,0.117808,5650
134,0.117821,66
135,0.117861,5650
136,0.11788,66
137,0.117908,5650
138,0.117918,66
139,0.117958,7046
140,0.117978,66
141,0.118007,5650
142,0.118023,66
143,0.118059,5650
144,0.118069,66
145,0.118107,5650
146,0.118126,66
147,0.118159,7046
148,0.118202,66
149,0.118206,1462
150,0.118206,2858
151,0.118223,66
152,0.118261,7046
153,0.118297,66
154,0.118307,5650
155,0.11832,66
156,0.118358,5650
157,0.11838,66
158,0.118411,7046
159,0.118426,66
160,0.118464,5650
161,0.118479,66
162,0.118508,5650
163,0.118537,66
164,0.118559,5650
165,0.118576,66
166,0.11861,5650
167,0.118622,66
168,0.11866,5650
169,0.11868,66
170,0.118709,7046
171,0.118725,66
172,0.118759,1462
173,0.118759,4254
174,0.118787,66
175,0.11881,5650
176,0.118826,66
177,0.118862,5650
178,0.118873,66
179,0.118907,5650
180,0.118929,66
181,0.11896,7046
182,0.118986,66
183,0.119021,7046
184,0.119031,66
185,0.11906,4254
186,0.119081,66
187,0.119109,5650
188,0.119123,66
189,0.119159,7046
190,0.119168,66
191,0.119207,5650
192,0.119217,66
193,0.119263,5650
194,0.119276,66
195,0.119308,1462
196,0.119308,4254
197,0.119316,66
198,0.119361,7046
199,0.119375,66
200,0.119411,5650
201,0.119424,66
202,0.11946,5650
203,0.119475,66
204,0.119512,5650
205,0.119525,66
206,0.119559,5650
207,0.119567,66
208,0.119608,5650
209,0.11962,66
210,0.119663,7046
211,0.119676,66
212,0.119707,5650
213,0.119715,66
214,0.119761,5650
215,0.119773,66
216,0.119812,5650
217,0.119825,66
218,0.11986,1462
219,0.11986,4254
220,0.11987,66
221,0.119908,5650
222,0.119918,66
223,0.11996,5650
224,0.119974,66
225,0.120009,5650
226,0.120018,66
227,0.120058,5650
228,0.120083,66
229,0.120112,7046
230,0.120125,66
231,0.120159,5650
232,0.120172,66
233,0.12021,5650
234,0.120243,66
235,0.120259,5650
236,0.12027,66
237,0.120312,7046
238,0.120325,66
239,0.120461,5650
240,0.12048,66
241,0.120499,1462
242,0.120499,2858
243,0.120508,66
244,0.12055,5650
245,0.120577,66
246,0.120607,7046
247,0.12062,66
248,0.12065,5650
249,0.120663,66
250,0.1207,5650
251,0.12075,5650
252,0.120753,66
253,0.120759,66
254,0.120802,5650
255,0.120817,66
256,0.120849,4254
257,0.1209,5650
258,0.120908,66
259,0.120953,5650
260,0.120969,66
261,0.121003,5650
262,0.121045,66
263,0.121052,5650
264,0.121052,1462
265,0.121066,66
266,0.121105,5650
267,0.121125,66
268,0.121152,5650
269,0.121197,66
270,0.121206,5650
271,0.121217,66
272,0.121254,7046
273,0.12127,66
274,0.1213,5650
275,0.121337,66
276,0.121353,5650
277,0.121362,66
278,0.121403,5650
279,0.121417,66
280,0.121453,7046
281,0.121486,66
282,0.121501,5650
283,0.121514,66
284,0.121553,5650
285,0.121588,66
286,0.121605,4254
287,0.121605,1462
288,0.121619,66
289,0.121652,5650
290,0.121665,66
291,0.121701,7046
292,0.121736,66
293,0.12175,5650
294,0.121761,66
295,0.121803,5650
296,0.121816,66
297,0.121851,5650
298,0.121886,66
299,0.121901,5650
300,0.121916,66
301,0.12195,7046
302,0.12196,66
303,0.122002,5650
304,0.12203,66
305,0.122051,5650
306,0.122065,66
307,0.1221,5650
308,0.122112,66
309,0.122151,4254
310,0.122151,2858
311,0.122181,66
312,0.122203,5650
313,0.122214,66
314,0.122253,5650
315,0.122286,66
316,0.122304,5650
317,0.122321,66
318,0.122351,5650
319,0.12236,66
320,0.122405,7046
321,0.122422,66
322,0.122452,5650
323,0.122468,66
324,0.122502,5650
325,0.12251,66
326,0.122553,4254
327,0.12257,66
328,0.122604,5650
329,0.122622,66
330,0.122656,4254
331,0.122668,66
332,0.122703,4254
333,0.122728,66
334,0.122753,2858
335,0.122753,1462
336,0.122769,66
337,0.122802,2858
338,0.122811,66
339,0.122851,4254
340,0.122858,66
341,0.122902,5650
342,0.122922,66
343,0.122956,7046
344,0.122981,66
345,0.123007,2858
346,0.123016,66
347,0.123056,4254
348,0.123064,66
349,0.123108,5650
350,0.123125,66
351,0.12316,4254
352,0.123173,66
353,0.123215,2858
354,0.123223,66
355,0.123263,4254
356,0.123271,66
357,0.123315,4254
358,0.123323,66
359,0.123369,4254
360,0.12338,66
361,0.123421,5650
362,0.123432,66
363,0.123474,5650
364,0.123474,1462
365,0.123487,66
366,0.12352,5650
367,0.123534,66
368,0.123571,5650
369,0.123581,66
370,0.12362,5650
371,0.123632,66
372,0.123672,5650
373,0.123685,66
374,0.12372,5650
375,0.12373,66
376,0.123847,4254
377,0.123863,66
378,0.123897,5650
379,0.123905,66
380,0.123946,5650
381,0.123954,66
382,0.123998,7046
383,0.124009,66
384,0.124048,5650
385,0.124067,66
386,0.124098,5650
387,0.12411,66
388,0.124148,1462
389,0.124148,4254
390,0.124187,66
391,0.1242,7046
392,0.124217,66
393,0.124247,5650
394,0.124268,66
395,0.1243,5650
396,0.124314,66
397,0.124347,5650
398,0.124357,66
399,0.124398,5650
400,0.124425,66
401,0.124448,7046
402,0.124459,66
403,0.124497,5650
404,0.124546,5650
405,0.124599,5650
406,0.124648,7046
407,0.124696,5650
408,0.124746,5650
409,0.124798,5650
410,0.124829,66
411,0.124847,5650
412,0.124858,66
413,0.124896,5650
414,0.124899,66
415,0.124949,7046
416,0.124968,66
417,0.124999,5650
418,0.125047,5650
419,0.125069,66
420,0.125098,5650
421,0.125131,66
422,0.12515,7046
423,0.125171,66
424,0.125199,5650
425,0.125211,66
426,0.125247,5650
427,0.125275,66
428,0.125298,5650
429,0.12531,66
430,0.125347,5650
431,0.125356,66
432,0.125402,7046
433,0.125421,66
434,0.125447,5650
435,0.125458,66
436,0.125497,5650
437,0.125506,66
438,0.125548,5650
439,0.125566,66
440,0.1256,5650
441,0.125612,66
442,0.125648,7046
443,0.125658,66
444,0.125698,5650
445,0.12572,66
446,0.125749,5650
447,0.125801,1655
448,0.125813,66
449,0.135121,5650
450,0.135136,1462
451,0.135169,66
452,0.135191,4254
453,0.135202,66
454,0.135285,7046
455,0.135313,66
456,0.135348,5650
457,0.135358,66
458,0.135395,5650
459,0.135445,5650
460,0.135476,66
461,0.135498,5650
462,0.135523,66
463,0.135546,5650
464,0.135619,4254
465,0.135645,4254
466,0.135692,66
467,0.135696,5650
468,0.135726,66
469,0.135745,2858
470,0.135796,1462
471,0.135796,2858
472,0.135823,66
473,0.135849,4254
474,0.135861,66
475,0.135898,5650
476,0.135964,5650
477,0.136016,2858
478,0.136046,2858
479,0.136076,66
480,0.136097,4254
481,0.136112,66
482,0.13615,5650
483,0.136198,4254
484,0.136214,66
485,0.136247,5650
486,0.136302,4254
487,0.136351,5650
488,0.136401,5650
489,0.136417,66
490,0.136447,5650
491,0.136454,66
492,0.1365,5650
493,0.136507,66
494,0.136553,4254
495,0.136573,66
496,0.136608,5650
497,0.136652,5650
498,0.136702,5650
499,0.136743,66
500,0.136754,7046
501,0.136786,66
502,0.136803,5650
503,0.136854,4254
504,0.13689,66
505,0.136903,5650
506,0.136937,66
507,0.136954,5650
508,0.137006,5650
509,0.137058,4254
510,0.137058,1462
511,0.137106,7046
512,0.137123,66
513,0.137151,5650
514,0.137159,66
515,0.137201,5650
516,0.137255,5650
517,0.137291,66
518,0.137304,5650
519,0.13734,66
520,0.137362,7046
521,0.137409,5650
522,0.137458,5650
523,0.137503,5650
524,0.137529,66
525,0.137554,7046
526,0.137574,66
527,0.137601,2858
528,0.137601,2858
529,0.137655,2858
530,0.137691,66
531,0.137704,7046
532,0.137714,66
533,0.137755,5650
534,0.137804,5650
535,0.137858,5650
536,0.137904,5650
537,0.137923,66
538,0.137953,7046
539,0.137961,66
540,0.138001,5650
541,0.138057,5650
542,0.138083,66
543,0.138103,5650
544,0.13813,66
545,0.138169,5650
546,0.138169,2858
547,0.138202,1462
548,0.138224,66
549,0.138255,5650
550,0.138317,7046
551,0.138358,5650
552,0.138412,5650
553,0.138468,7046
554,0.138497,66
555,0.138504,1462
556,0.138615,4254
557,0.13862,66
558,0.138668,5650
559,0.138724,7046
560,0.138771,5650
561,0.138819,5650
562,0.138831,66
563,0.138866,5650
564,0.138904,66
565,0.13892,7046
566,0.138971,5650
567,0.139015,5650
568,0.139058,66
569,0.13907,5650
570,0.139115,5650
571,0.13913,66
572,0.139166,5650
573,0.139222,5650
574,0.139271,4254
575,0.13932,4254
576,0.13937,5650
577,0.139423,4254
578,0.139423,1462
579,0.139473,7046
580,0.139524,5650
581,0.139559,66
582,0.139573,5650
583,0.139624,5650
584,0.139642,66
585,0.139671,5650
586,0.139693,66
587,0.13972,7046
588,0.139742,66
589,0.139769,2858
590,0.139821,5650
591,0.139879,7046
592,0.13992,5650
593,0.139976,5650
594,0.140021,5650
595,0.14008,7046
596,0.140113,66
597,0.140123,5650
598,0.140178,5650
599,0.140223,5650
600,0.140241,66
601,0.140274,5650
602,0.140303,66
603,0.140321,7046
604,0.140353,66
605,0.140369,5650
606,0.14042,5650
607,0.140479,5650
608,0.140523,5650
609,0.140523,1462
610,0.14057,5650
611,0.140626,5650
612,0.140679,5650
613,0.14072,5650
614,0.140773,7046
615,0.140821,5650
616,0.14084,66
617,0.140874,5650
618,0.140905,66
619,0.14092,5650
620,0.140956,66
621,0.140971,5650
622,0.14102,5650
623,0.141074,5650
624,0.141075,1462
625,0.141121,5650
626,0.141176,5650
627,0.141196,66
628,0.141225,7046
629,0.141273,4254
630,0.14128,66
631,0.141326,4254
632,0.141364,66
633,0.141372,4254
634,0.141422,5650
635,0.14143,66
636,0.141476,4254
637,0.14155,4254
638,0.141585,4254
639,0.141635,2858
640,0.141691,4254
641,0.141736,4254
642,0.141784,2858
643,0.141839,5650
644,0.141872,66
645,0.141886,2858
646,0.141927,66
647,0.141968,2858
648,0.141971,66
649,0.142024,7046
650,0.142075,2858
651,0.142122,5650
652,0.142135,66
653,0.142174,5650
654,0.142204,66
655,0.142225,7046
656,0.142269,5650
657,0.142296,66
658,0.14232,5650
659,0.142377,2858
660,0.142423,2858
661,0.142474,5650
662,0.142526,2858
663,0.142575,4254
664,0.142632,2858
665,0.142675,66
666,0.142683,4254
667,0.142735,2858
668,0.142743,66
669,0.142777,66
670,0.142785,4254
671,0.142795,66
672,0.142831,2858
673,0.142881,2858
674,0.142934,7046
675,0.143007,7046
676,0.143041,5650
677,0.143051,66
678,0.143081,4254
679,0.143137,7046
680,0.143185,5650
681,0.143232,4254
682,0.143232,1462
683,0.143248,66
684,0.143271,66
685,0.143282,5650
686,0.143337,7046
687,0.143392,5650
688,0.143432,5650
689,0.143452,66
690,0.143485,5650
691,0.143514,66
692,0.143533,5650
693,0.143591,7046
694,0.143638,5650
695,0.143685,5650
696,0.143715,66
697,0.143734,5650
698,0.143755,66
699,0.143783,4254
700,0.143783,1462
701,0.143839,7046
702,0.143888,5650
703,0.143907,66
704,0.143939,5650
705,0.143961,66
706,0.143984,5650
707,0.144042,7046
708,0.144087,5650
709,0.144133,5650
710,0.144182,66
711,0.144192,7046
712,0.144232,4254
713,0.14424,66
714,0.144247,66
715,0.144284,7046
716,0.144335,2858
717,0.144335,2858
718,0.144387,5650
719,0.144398,66
720,0.14441,66
721,0.144444,7046
722,0.144466,66
723,0.144484,5650
724,0.144537,5650
725,0.14459,5650
726,0.144636,5650
727,0.144686,5650
728,0.144695,66
729,0.14472,66
730,0.144734,7046
731,0.144748,66
732,0.144784,5650
733,0.14484,5650
734,0.144873,66
735,0.144889,2858
736,0.144889,2858
737,0.144932,66
738,0.144939,7046
739,0.144951,66
740,0.144984,5650
741,0.145041,5650
742,0.145084,5650
743,0.145136,5650
744,0.145184,7046
745,0.145222,66
746,0.145248,4254
747,0.145254,66
748,0.145282,1462
749,0.145336,7046
750,0.145341,66
751,0.145387,5650
752,0.145393,66
753,0.145435,5650
754,0.145444,66
755,0.145489,1462
756,0.145489,2858
757,0.145506,66
758,0.145538,7046
759,0.145555,66
760,0.145584,4254
761,0.145627,66
762,0.145637,7046
763,0.145648,66
764,0.145687,4254
765,0.145701,66
766,0.145735,4254
767,0.145767,66
768,0.145787,5650
769,0.145801,66
770,0.145836,5650
771,0.145849,66
772,0.145885,5650
773,0.145912,66
774,0.145937,4254
775,0.145949,66
776,0.145987,5650
777,0.146001,66
778,0.146036,5650
779,0.146044,66
780,0.146086,2858
781,0.146086,2858
782,0.146112,66
783,0.146139,7046
784,0.146158,66
785,0.146188,5650
786,0.146195,66
787,0.146237,5650
788,0.146257,66
789,0.146288,5650
790,0.146304,66
791,0.146336,5650
792,0.146388,2858
793,0.146407,66
794,0.146437,7046
795,0.146452,66
796,0.146485,5650
797,0.146517,66
798,0.146536,5650
799,0.146553,66
800,0.146588,5650
801,0.1466,66
802,0.146638,5650
803,0.146638,1462
804,0.14667,66
805,0.146686,5650
806,0.146704,66
807,0.146737,5650
808,0.146749,66
809,0.146787,5650
810,0.146815,66
811,0.146841,7046
812,0.14686,66
813,0.146886,5650
814,0.146897,66
815,0.146936,5650
816,0.146961,66
817,0.14699,5650
818,0.147008,66
819,0.147038,5650
820,0.14705,66
821,0.147086,5650
822,0.147115,66
823,0.147138,7046
824,0.147159,66
825,0.147188,4254
826,0.147188,1462
827,0.147217,66
828,0.14724,5650
829,0.147258,66
830,0.147289,5650
831,0.147304,66
832,0.147338,7046
833,0.147376,66
834,0.147387,4254
835,0.147437,7046
836,0.147485,5650
837,0.147535,5650
838,0.147586,5650
839,0.147635,5650
840,0.147653,66
841,0.147687,7046
842,0.14769,66
843,0.147736,4254
844,0.147736,1462
845,0.147741,66
846,0.147789,5650
847,0.147838,5650
848,0.147882,66
849,0.147886,5650
850,0.147894,66
851,0.147941,7046
852,0.147962,66
853,0.147989,5650
854,0.148004,66
855,0.148038,5650
856,0.148065,66
857,0.148087,5650
858,0.148099,66
859,0.148136,5650
860,0.148145,66
861,0.148188,2858
862,0.148204,66
863,0.14824,7046
864,0.148252,66
865,0.148286,4254
866,0.148295,66
867,0.148336,2858
868,0.148336,1462
869,0.148345,66
870,0.148389,5650
871,0.148406,66
872,0.148437,2858
873,0.148447,66
874,0.148488,5650
875,0.148497,66
876,0.148628,4254
877,0.148639,66
878,0.148679,5650
879,0.148688,66
880,0.14873,5650
881,0.148739,66
882,0.148781,4254
883,0.148789,66
884,0.148832,5650
885,0.14885,66
886,0.148881,4254
887,0.148891,66
888,0.148931,5650
889,0.148939,66
890,0.148984,5650
891,0.149,66
892,0.149039,4254
893,0.149049,66
894,0.149087,4254
895,0.149087,1462
896,0.149097,66
897,0.149138,5650
898,0.149156,66
899,0.149188,5650
900,0.149199,66
901,0.149237,5650
902,0.149247,66
903,0.149288,2858
904,0.149306,66
905,0.149338,7046
906,0.149349,66
907,0.149386,5650
908,0.149395,66
909,0.149439,5650
910,0.149454,66
911,0.14949,5650
912,0.149501,66
913,0.149538,5650
914,0.149547,66
915,0.149589,7046
916,0.149606,66
917,0.149638,5650
918,0.149649,66
919,0.149689,1462
920,0.149689,2858
921,0.1497,66
922,0.149739,4254
923,0.149758,66
924,0.149788,5650
925,0.149799,66
926,0.149837,7046
927,0.149846,66
928,0.149891,5650
929,0.149908,66
930,0.149939,5650
931,0.149949,66
932,0.149987,5650
933,0.149996,66
934,0.150041,7046
935,0.150058,66
936,0.150093,5650
937,0.15011,66
938,0.150138,5650
939,0.150147,66
940,0.150188,5650
941,0.150211,66
942,0.150239,4254
943,0.150239,2858
944,0.150259,66
945,0.15029,5650
946,0.150331,66
947,0.15034,5650
948,0.150349,66
949,0.150391,5650
950,0.150406,66
951,0.15044,5650
952,0.150471,66
953,0.150491,7046
954,0.150502,66
955,0.150539,5650
956,0.150553,66
957,0.15059,5650
958,0.150619,66
959,0.150643,7046
960,0.150661,66
961,0.150688,4254
962,0.150698,66
963,0.15074,7046
964,0.150765,66
965,0.150793,2858
966,0.150793,2858
967,0.150812,66
968,0.150839,5650
969,0.150849,66
970,0.150889,5650
971,0.150913,66
972,0.150944,7046
973,0.150963,66
974,0.150989,5650
975,0.151037,66
976,0.151042,5650
977,0.151052,66
978,0.151095,7046
979,0.151113,66
980,0.151138,4254
981,0.151174,66
982,0.15119,7046
983,0.151201,66
984,0.15124,5650
985,0.151256,66
986,0.15129,5650
987,0.151321,66
988,0.151342,2858
989,0.151342,4254
990,0.151355,66
991,0.151389,5650
992,0.151404,66
993,0.151439,5650
994,0.15147,66
995,0.151491,5650
996,0.151504,66
997,0.151542,5650
998,0.151557,66
999,0.151589,7046
1000,0.151622,66
1001,0.15164,5650
1002,0.151652,66
1003,0.151691,5650
1004,0.151713,66
1005,0.151743,5650
1006,0.151758,66
1007,0.151792,7046
1008,0.151809,66
1009,0.151839,5650
1010,0.151874,66
1011,0.15189,1462
1012,0.15189,4254
1013,0.151904,66
1014,0.151942,5650
1015,0.151957,66
1016,0.15199,5650
1017,0.152022,66
1018,0.15204,7046
1019,0.152051,66
1020,0.15209,5650
1021,0.152107,66
1022,0.152142,5650
1023,0.152173,66
1024,0.15219,5650
1025,0.152201,66
1026,0.152241,7046
1027,0.152257,66
1028,0.152289,5650
1029,0.152322,66
1030,0.152341,5650
1031,0.152351,66
1032,0.15239,5650
1033,0.152427,66
1034,0.152444,1462
1035,0.152444,5650
1036,0.152465,66
1037,0.15249,5650
1038,0.152504,66
1039,0.152541,5650
1040,0.152571,66
1041,0.15259,5650
1042,0.152608,66
1043,0.152642,5650
1044,0.152653,66
1045,0.15269,5650
1046,0.152717,66
1047,0.152744,7046
1048,0.152764,66
1049,0.152791,5650
1050,0.152801,66
1051,0.15284,5650
1052,0.152865,66
1053,0.152893,7046
1054,0.152912,66
1055,0.152942,5650
1056,0.152979,66
1057,0.152991,5650
1058,0.153015,66
1059,0.153041,5650
