No.,Time,Length
1,0,74
2,0.001131,74
3,0.001169,66
4,0.001406,583
5,0.002426,66
6,0.00374,1462
7,0.003745,66
8,0.00379,3636
9,0.003793,66
10,0.004181,130
11,0.004281,2266
12,0.005325,78
13,0.005325,66
14,0.006366,4254
15,0.006371,66
16,0.006415,5650
17,0.006418,66
18,0.006467,5650
19,0.006469,66
20,0.006514,4254
21,0.006517,66
22,0.007405,4254
23,0.007412,66
24,0.007461,4254
25,0.007461,2858
26,0.007466,66
27,0.007468,66
28,0.007503,4254
29,0.007504,66
30,0.007554,4254
31,0.007556,66
32,0.007673,4254
33,0.007675,66
34,0.007723,5650
35,0.007726,66
36,0.007772,2858
37,0.007774,66
38,0.007903,4254
39,0.007906,66
40,0.007953,2858
41,0.007955,66
42,0.008494,4254
43,0.0085,66
44,0.00854,3953
45,0.008543,66
46,0.044273,2266
47,0.045325,66
48,0.046201,4254
49,0.046211,66
50,0.046289,7046
51,0.046294,66
52,0.046362,5650
53,0.046369,66
54,0.046431,5650
55,0.046437,66
56,0.046525,7046
57,0.046531,66
58,0.046547,2858
59,0.046548,66
60,0.046611,4254
61,0.046616,66
62,0.046682,5650
63,0.046688,66
64,0.046763,829
65,0.046767,66
66,0.443991,2401
67,0.445073,66
68,0.44802,4254
69,0.448044,66
70,0.448108,11234
71,0.448117,66
72,0.448157,5650
73,0.448162,66
74,0.448431,27986
75,0.448445,66
76,0.448532,11234
77,0.448539,66
78,0.448804,4254
79,0.448804,25194
80,0.448833,66
81,0.448837,66
82,0.449042,27986
83,0.449064,66
84,0.449278,11234
85,0.449291,66
86,0.449299,1462
87,0.449307,66
88,0.44955,9838
89,0.44956,66
90,0.449812,30778
91,0.449828,66
92,0.450061,23798
93,0.450075,66
94,0.450082,8442
95,0.450086,66
96,0.450305,26590
97,0.450313,66
98,0.450552,29382
99,0.450565,66
100,0.450571,1462
101,0.450573,66
102,0.450803,27986
103,0.450811,66
104,0.451052,12262
105,0.451059,66
106,0.457941,2261
107,0.459258,66
108,0.461274,29382
109,0.461296,66
110,0.461375,11234
111,0.461382,66
112,0.461651,23798
113,0.461664,66
114,0.461666,2557
115,0.461668,66
116,0.477134,2406
117,0.478414,78
118,0.478414,66
119,0.479944,30778
120,0.47998,66
121,0.480037,11234
122,0.480045,66
123,0.480291,22402
124,0.480309,66
125,0.480322,8442
126,0.48033,66
127,0.480547,26590
128,0.48056,66
129,0.480795,29382
130,0.480815,66
131,0.480823,2858
132,0.480826,66
133,0.481046,25194
134,0.481064,66
135,0.481294,23798
136,0.481309,66
137,0.481536,12630
138,0.48155,66
139,0.481566,19610
140,0.481581,66
141,0.48179,26590
142,0.4818,66
143,0.482041,18214
144,0.482056,66
145,0.482067,5650
146,0.482073,66
147,0.482296,18214
148,0.482311,66
149,0.482542,19610
150,0.482552,66
151,0.482788,5650
152,0.482789,12630
153,0.482797,66
154,0.482801,66
155,0.483044,19610
156,0.483056,66
157,0.483293,19610
158,0.483314,66
159,0.483566,12630
160,0.483574,66
161,0.48359,7046
162,0.483596,66
163,0.483824,19610
164,0.483836,66
165,0.484075,19610
166,0.484084,66
167,0.484321,10303
168,0.484328,66
169,0.50394,2266
170,0.505199,66
171,0.506196,32174
172,0.506246,66
173,0.50631,14026
174,0.506328,66
175,0.506537,18214
176,0.506554,66
177,0.506582,12630
178,0.506592,66
179,0.506771,14328
180,0.506783,66
181,0.516249,2407
182,0.51754,78
183,0.51754,66
184,0.519021,32174
185,0.519088,66
186,0.519196,22402
187,0.519231,66
188,0.519462,9838
189,0.519462,21006
190,0.51949,66
191,0.519492,66
192,0.519684,26590
193,0.519692,66
194,0.519929,16818
195,0.519932,66
196,0.51994,12630
197,0.519944,66
198,0.520191,30778
199,0.520212,66
200,0.520432,21006
201,0.520439,66
202,0.520446,8442
203,0.520449,66
204,0.5207,29382
205,0.520717,66
206,0.52094,26590
207,0.520951,66
208,0.520954,4254
209,0.520958,66
210,0.521211,29382
211,0.521224,66
212,0.521437,15422
213,0.521448,66
214,0.521466,15422
215,0.521473,66
216,0.521695,26590
217,0.521718,66
218,0.52194,21006
219,0.521949,66
220,0.52219,1462
221,0.52219,25194
222,0.522203,66
223,0.522443,29382
224,0.522455,66
225,0.522708,9838
226,0.522708,21006
227,0.522723,66
228,0.522726,66
229,0.522944,27986
230,0.522958,66
231,0.523186,15422
232,0.523192,66
233,0.523203,15422
234,0.523209,66
235,0.523443,27986
236,0.523457,66
237,0.523687,21006
238,0.523694,66
239,0.523702,9838
240,0.523708,66
241,0.523943,27986
242,0.523953,66
243,0.524198,26590
244,0.524216,66
245,0.524225,7046
246,0.52423,66
247,0.524449,26590
248,0.524465,66
249,0.524698,29382
250,0.524714,66
251,0.524948,1462
252,0.524948,27986
253,0.52497,66
254,0.525201,29382
255,0.525218,66
256,0.525449,7046
257,0.525449,22402
258,0.525465,66
259,0.525468,66
260,0.525727,32174
261,0.525744,66
262,0.525963,9838
263,0.525963,18214
264,0.525989,66
265,0.525992,66
266,0.526206,27986
