No.,Time,Length
1,0,74
2,0.001214,74
3,0.001229,66
4,0.001362,583
5,0.002386,66
6,0.003754,4254
7,0.003762,66
8,0.003823,845
9,0.003828,66
10,0.005946,130
11,0.006082,2299
12,0.007166,78
13,0.007166,66
14,0.028298,4254
15,0.028322,66
16,0.028342,5650
17,0.028349,66
18,0.028391,5650
19,0.028396,66
20,0.028439,4254
21,0.028443,66
22,0.029378,4254
23,0.029391,66
24,0.029425,4254
25,0.029425,1462
26,0.029431,66
27,0.029434,66
28,0.029475,7046
29,0.02948,66
30,0.029523,2858
31,0.029526,66
32,0.029631,4254
33,0.029634,66
34,0.029681,5650
35,0.029684,66
36,0.029731,2858
37,0.029732,66
38,0.029875,4254
39,0.029878,66
40,0.029924,2858
41,0.029926,66
42,0.030452,4254
43,0.030456,66
44,0.030499,3953
45,0.030501,66
46,0.03528,2393
47,0.036386,66
48,0.195145,7046
49,0.195171,66
50,0.195236,11234
51,0.195245,66
52,0.195285,5650
53,0.195293,66
54,0.195536,8719
55,0.195546,66
56,0.20134,2299
57,0.202437,78
58,0.202438,66
59,0.206795,5650
60,0.206806,66
61,0.206826,3607
62,0.20683,66
63,1.170764,2386
64,1.171857,78
65,1.171857,66
66,1.22542,7046
67,1.22544,66
68,1.225459,4254
69,1.225478,66
70,1.225512,7046
71,1.225515,66
72,1.22556,5650
73,1.22561,5650
74,1.225649,4254
75,1.225717,8442
76,1.225768,5650
77,1.225813,5650
78,1.22585,4254
79,1.22592,7046
80,1.22592,1462
81,1.225969,4254
82,1.226,5650
83,1.22605,5650
84,1.226102,5650
85,1.226149,2632
86,1.226355,66
87,1.235497,2294
88,1.236561,66
89,1.267146,4254
90,1.267162,66
91,1.26719,5650
92,1.267193,66
93,1.267243,5650
94,1.267245,66
95,1.267292,5650
96,1.267295,66
97,1.267345,7046
98,1.267351,66
99,1.267391,5650
100,1.267397,66
101,1.267441,5650
102,1.267445,66
103,1.267494,5650
104,1.267498,66
105,1.267542,5650
106,1.267547,66
107,1.267592,7046
108,1.267596,66
109,1.267641,5650
110,1.267645,66
111,1.267693,1462
112,1.267693,2557
113,1.267702,66
114,1.273742,2299
115,1.274802,78
116,1.274802,66
117,1.278862,5650
118,1.278886,66
119,1.278957,11234
120,1.278966,66
121,1.279005,5650
122,1.279011,66
123,1.279274,30778
124,1.279362,11234
125,1.279372,1462
126,1.279654,31473
127,1.28027,66
128,1.290698,2391
129,1.291831,78
130,1.291831,66
131,1.292676,5650
132,1.292692,66
133,1.292758,9838
134,1.292832,8442
135,1.293099,32174
136,1.293369,8442
137,1.29337,22402
138,1.293612,27986
139,1.293684,66
140,1.293831,14026
141,1.29385,66
142,1.293918,21006
143,1.294135,27986
144,1.294138,66
145,1.294167,66
146,1.294328,15422
147,1.294338,66
148,1.294348,9838
149,1.294459,66
150,1.294587,16818
151,1.294596,66
152,1.294849,18214
153,1.294881,66
154,1.295092,15070
155,1.2951,66
156,1.305431,2301
157,1.306728,78
158,1.306728,66
159,1.30778,27986
160,1.307791,66
161,1.307867,9838
162,1.307874,66
163,1.308123,26590
164,1.308134,66
165,1.308137,5650
166,1.30814,66
167,1.308371,27986
168,1.30838,66
169,1.30861,27986
170,1.308619,66
171,1.308861,2858
172,1.308861,26590
173,1.308871,66
174,1.308873,66
175,1.309113,13600
176,1.30912,66
177,1.313561,2393
178,1.314853,78
179,1.314853,66
180,1.320265,32174
181,1.320283,66
182,1.320375,12630
183,1.320383,66
184,1.320601,19610
185,1.320615,66
186,1.320627,9838
187,1.32063,66
188,1.320839,25194
189,1.320846,66
190,1.3211,29382
191,1.321109,66
192,1.321114,4254
193,1.321116,66
194,1.321353,27986
195,1.321362,66
196,1.321594,27986
197,1.321604,66
198,1.321845,4254
199,1.321845,25194
200,1.321855,66
201,1.321859,66
202,1.322095,30778
203,1.322106,66
204,1.32235,8442
205,1.32235,21006
206,1.322361,66
207,1.322367,66
208,1.322604,29382
209,1.322619,66
210,1.322841,14026
211,1.322848,66
212,1.322861,7046
213,1.322861,9838
214,1.322867,66
215,1.322869,66
216,1.323105,29382
217,1.323113,66
218,1.323347,18214
219,1.323353,66
220,1.323362,12630
221,1.323366,66
222,1.323604,27986
223,1.323612,66
224,1.323853,23798
225,1.32386,66
226,1.323867,7046
227,1.323869,66
228,1.328667,2394
229,1.329931,78
230,1.329931,66
231,1.332715,30778
232,1.332732,66
233,1.332809,11234
234,1.332814,66
235,1.333063,22402
236,1.333072,66
237,1.333081,8442
238,1.333083,66
239,1.33332,29382
240,1.333335,66
241,1.333566,26590
242,1.333579,66
243,1.333584,4254
244,1.333747,66
245,1.333812,26590
246,1.333821,66
247,1.334088,33570
248,1.334113,66
249,1.334124,2858
250,1.334235,66
251,1.334319,23798
252,1.334334,66
253,1.334581,30778
254,1.33461,66
255,1.334815,7046
256,1.334815,21006
257,1.334829,66
258,1.334866,66
259,1.335068,29382
260,1.335097,66
261,1.335306,14026
262,1.335313,66
263,1.335324,7046
264,1.335324,9838
265,1.33534,66
266,1.335366,66
267,1.335568,29382
268,1.335594,66
269,1.335825,25194
270,1.335834,66
271,1.335839,7046
272,1.335847,66
273,1.336067,26590
274,1.336076,66
275,1.336317,29382
276,1.336336,66
277,1.336565,1462
278,1.336565,27986
279,1.336585,66
280,1.336816,29382
281,1.336835,66
282,1.337069,7046
283,1.337069,22402
284,1.337078,66
285,1.337093,66
286,1.337317,29382
287,1.337336,66
288,1.337559,12630
289,1.337565,66
290,1.337576,18214
291,1.337596,66
292,1.337818,27986
293,1.337839,66
294,1.338061,18214
295,1.338068,66
296,1.33808,12630
297,1.3381,66
298,1.338318,27986
299,1.338338,66
300,1.338568,23798
301,1.338577,66
302,1.338581,7046
303,1.33859,66
304,1.338817,27986
305,1.338826,66
306,1.339071,29382
307,1.339082,1462
308,1.339091,66
309,1.339321,27986
310,1.33933,66
311,1.339568,29382
312,1.339586,66
313,1.339815,5650
314,1.339815,14922
315,1.339826,66
316,1.339839,66
317,1.344815,2301
318,1.346158,78
319,1.346158,66
320,1.347172,29382
321,1.347229,66
322,1.347279,12630
323,1.347291,66
324,1.347527,22402
325,1.347545,8442
326,1.347775,27986
327,1.348025,27986
328,1.348036,2858
329,1.348278,27986
330,1.348527,29382
331,1.348574,66
332,1.348779,4254
333,1.348779,26590
334,1.3488,66
335,1.348828,66
336,1.349029,29382
337,1.349077,66
338,1.349278,8442
339,1.349278,21006
340,1.349296,66
341,1.349526,29382
342,1.349526,66
343,1.349557,66
344,1.34976,14026
345,1.349768,66
346,1.349785,7046
347,1.349785,9838
348,1.349831,66
349,1.35002,9743
350,1.350039,66
351,1.356219,2302
352,1.357477,78
353,1.357478,66
354,1.358838,30778
355,1.358921,66
356,1.358937,12630
357,1.358945,66
358,1.359172,21006
359,1.359184,8442
360,1.359431,27986
361,1.359682,27986
362,1.3597,4254
363,1.359812,66
364,1.359924,26590
365,1.359938,66
366,1.360177,30778
367,1.36019,66
368,1.360431,2858
369,1.360431,26590
370,1.360445,66
371,1.36046,66
372,1.360685,30778
373,1.36072,66
374,1.360926,7046
375,1.360927,18214
376,1.360946,66
377,1.36096,7046
378,1.360975,66
379,1.361183,26590
380,1.361202,66
381,1.36142,12630
382,1.361435,66
383,1.361475,21006
384,1.361528,66
