No.,Time,Length
1,0,74
2,0.000853,74
3,0.000866,66
4,0.000986,583
5,0.001758,66
6,0.003568,5033
7,0.003578,66
8,0.00397,130
9,0.004498,2274
10,0.00527,66
11,0.010269,66
12,0.037297,4254
13,0.03732,66
14,0.037343,5650
15,0.037355,66
16,0.037392,5650
17,0.037397,66
18,0.037441,4254
19,0.037446,66
20,0.038079,4254
21,0.03809,66
22,0.038122,4254
23,0.038127,66
24,0.038122,1462
25,0.03813,66
26,0.038174,4254
27,0.038178,66
28,0.038221,4254
29,0.038225,66
30,0.03827,1462
31,0.038273,66
32,0.03827,1462
33,0.038277,66
34,0.038322,4254
35,0.038326,66
36,0.038375,5650
37,0.03842,1462
38,0.038473,5650
39,0.03852,1462
40,0.03866,66
41,0.038877,4254
42,0.038882,66
43,0.038926,3953
44,0.038928,66
45,0.048789,2274
46,0.049577,66
47,0.050522,4254
48,0.050533,66
49,0.050567,5650
50,0.050574,66
51,0.050616,5215
52,0.05062,66
53,0.494245,74
54,0.54186,74
55,0.541881,66
56,0.542104,583
57,0.589585,66
58,0.590974,2858
59,0.590985,66
60,0.590974,2454
61,0.590999,66
62,0.591492,130
63,0.591632,2350
64,0.63841,2858
65,0.638436,66
66,0.63841,2858
67,0.638441,66
68,0.638463,2858
69,0.638467,66
70,0.639091,66
71,0.639096,66
72,0.63989,2858
73,0.639896,66
74,0.641434,2858
75,0.641444,66
76,0.642952,2858
77,0.642964,66
78,0.644564,2858
79,0.644582,66
80,0.646014,2858
81,0.646031,66
82,0.647597,2858
83,0.647611,66
84,0.649135,2858
85,0.649148,66
86,0.650636,2858
87,0.650646,66
88,0.652167,2858
89,0.652177,66
90,0.653663,2858
91,0.653672,66
92,0.655259,2858
93,0.655272,66
94,0.656732,1462
95,0.657581,2858
96,0.657593,66
97,0.683085,2858
98,0.683107,66
99,0.683827,2858
100,0.683838,66
101,0.685416,2858
102,0.685445,66
103,0.68693,2858
104,0.686939,66
105,0.688458,2858
106,0.688465,66
107,0.68998,2858
108,0.689987,66
109,0.691513,2858
110,0.69153,66
111,0.693021,2858
112,0.693047,66
113,0.694577,2858
114,0.69459,66
115,0.696088,2858
116,0.696104,66
117,0.697653,1462
118,0.697675,66
119,0.698393,2858
120,0.698401,66
121,0.699921,2858
122,0.699928,66
123,0.70145,2858
124,0.701461,66
125,0.702992,2858
126,0.703005,66
127,0.704507,2858
128,0.704516,66
129,0.706059,2858
130,0.706063,66
131,0.707486,2858
132,0.707491,66
133,0.708907,2858
134,0.708914,66
135,0.71039,2858
136,0.710397,66
137,0.7118,2858
138,0.71181,66
139,0.713295,2858
140,0.713303,66
141,0.71469,1462
