No.,Time,Length
1,0,2256
2,0.00108,78
3,0.00108,66
4,0.001946,5650
5,0.001953,66
6,0.002003,7046
7,0.002007,66
8,0.002058,7046
9,0.002063,66
10,0.002119,5650
11,0.002124,66
12,0.0022,9838
13,0.002207,66
14,0.00226,8442
15,0.002267,66
16,0.002488,21006
17,0.002497,66
18,0.002504,2557
19,0.002862,66
20,0.03371,2262
21,0.034775,66
22,0.035768,5650
23,0.035778,66
24,0.035788,2858
25,0.03579,66
26,0.035853,7046
27,0.035859,66
28,0.035898,5650
29,0.035984,9838
30,0.036038,7046
31,0.036301,26590
32,0.036309,3891
33,0.036453,66
34,0.040206,2264
35,0.041518,66
36,0.047931,33570
37,0.047985,7046
38,0.048041,66
39,0.04825,23798
40,0.048263,66
41,0.048277,11234
42,0.04852,27986
43,0.04876,25194
44,0.048791,7546
45,0.050495,66
46,0.054453,2264
47,0.055521,66
48,0.059711,2858
49,0.059725,66
50,0.059764,7046
51,0.059778,66
52,0.059827,5650
53,0.059868,4254
54,0.059915,4254
55,0.059966,5650
56,0.060016,4254
57,0.060057,4254
58,0.060106,7046
59,0.060157,5650
60,0.060205,5650
61,0.060257,5650
62,0.060311,2858
63,0.060311,4254
64,0.060355,5650
65,0.060406,5650
66,0.060459,5650
67,0.060506,5650
68,0.060558,7046
69,0.060573,66
70,0.060606,5650
71,0.060611,66
72,0.060658,5650
73,0.060661,66
74,0.060707,5650
75,0.06075,66
76,0.060756,5650
77,0.060774,66
78,0.060806,5650
79,0.060808,66
80,0.060857,2858
81,0.060858,2858
82,0.060908,5650
83,0.060961,7046
84,0.060995,66
85,0.061008,4254
86,0.06102,66
87,0.061062,7046
88,0.061087,66
89,0.061106,2858
90,0.061112,66
91,0.06116,5650
92,0.061199,66
93,0.061208,5650
94,0.061224,66
95,0.061261,7046
96,0.061282,66
97,0.061311,5650
98,0.061326,66
99,0.061359,5650
100,0.061374,66
101,0.061409,5650
102,0.061434,66
103,0.061459,7046
104,0.061472,66
105,0.061511,5650
106,0.061529,66
107,0.06156,5650
108,0.061572,66
109,0.06161,5650
110,0.061627,66
111,0.061672,7046
112,0.061714,5650
113,0.061715,66
114,0.06172,66
115,0.061764,5650
116,0.061788,66
117,0.06181,5650
118,0.061861,5650
119,0.061878,66
120,0.061913,5650
121,0.061929,66
122,0.061958,1405
123,0.065776,2349
124,0.066862,66
125,0.071994,5650
126,0.072045,2858
127,0.072078,66
128,0.07213,7046
129,0.072178,4254
130,0.072232,5650
131,0.072305,5650
132,0.072317,1462
133,0.072367,2858
134,0.072418,5650
135,0.072473,4254
136,0.072519,4254
137,0.07257,4254
138,0.072619,2858
139,0.07267,7046
140,0.072719,1462
141,0.072719,1462
142,0.072772,4254
143,0.072819,4254
144,0.072869,2858
145,0.072921,5650
146,0.072952,66
147,0.072971,4254
148,0.072985,66
149,0.073021,2858
150,0.073026,66
151,0.073074,4254
152,0.073077,66
153,0.073121,5650
154,0.07314,66
155,0.073172,2858
156,0.073176,66
157,0.073221,2858
158,0.073273,5650
159,0.073323,2858
160,0.073376,4254
161,0.073378,66
162,0.073406,66
163,0.073423,5650
164,0.073472,2858
165,0.0735,66
166,0.073523,2858
167,0.073523,1462
168,0.073539,66
169,0.073576,4254
170,0.073591,66
171,0.073626,4254
172,0.073659,66
173,0.073683,4254
174,0.073712,66
175,0.073726,4254
176,0.073749,66
177,0.073775,4254
178,0.073814,66
179,0.073832,4254
180,0.073841,66
181,0.073881,2858
182,0.073922,66
183,0.073931,4254
184,0.073945,66
185,0.073984,4254
186,0.073997,66
187,0.074032,4254
188,0.074064,66
189,0.074082,4254
190,0.074113,66
191,0.074133,4254
192,0.07416,66
193,0.074181,2858
194,0.074194,66
195,0.074234,5650
196,0.074248,66
197,0.074279,2858
198,0.074331,2858
199,0.074331,2858
200,0.074351,66
201,0.074391,4130
202,0.074414,66
203,0.078348,2355
204,0.079434,66
205,0.084628,4254
206,0.084671,4254
207,0.08471,66
208,0.08473,4254
209,0.084748,66
210,0.084776,5650
211,0.084824,2858
212,0.084874,2858
213,0.084925,5650
214,0.08498,4254
215,0.08503,4254
216,0.085078,2858
217,0.085129,5650
218,0.085177,4254
219,0.085227,2858
220,0.085279,4254
221,0.085331,4254
222,0.085377,2858
223,0.085378,1462
224,0.085429,4254
225,0.08548,2858
226,0.085529,4254
227,0.085579,4254
228,0.085631,4254
229,0.085683,4254
230,0.085729,5650
231,0.085777,2858
232,0.085828,4254
233,0.085851,66
234,0.085883,4254
235,0.0859,66
236,0.085929,4254
237,0.085932,66
238,0.085979,2858
239,0.08603,5650
240,0.086079,2858
241,0.08612,66
242,0.086132,4254
243,0.086175,66
244,0.08618,2858
245,0.086204,66
246,0.086233,5650
247,0.086278,2858
248,0.08633,5650
249,0.08638,4254
250,0.086431,2858
251,0.086482,5650
252,0.086497,66
253,0.086529,4254
254,0.086532,66
255,0.08658,5650
256,0.086633,5650
257,0.086667,66
258,0.086682,5650
259,0.086714,66
260,0.086733,4254
261,0.086781,4254
262,0.086832,4254
263,0.086873,66
264,0.086883,4254
265,0.086919,66
266,0.086931,2858
267,0.086983,4130
268,0.08702,66
269,0.091781,2355
270,0.092864,66
271,0.096553,4254
272,0.096598,4254
273,0.09661,66
274,0.096628,66
275,0.09665,4254
276,0.096699,4254
277,0.096748,2858
278,0.096799,4254
279,0.096841,4254
280,0.096888,2858
281,0.096938,5650
282,0.09699,2858
283,0.097039,4254
284,0.097087,2858
285,0.097141,4254
286,0.097189,5650
287,0.097242,4254
288,0.09729,2858
289,0.097343,1462
290,0.097343,4254
291,0.097401,4254
292,0.097449,4254
293,0.097504,4254
294,0.097554,4254
295,0.097556,66
296,0.09759,66
297,0.097605,4254
298,0.097615,66
299,0.097654,2858
300,0.097708,4254
301,0.097757,5650
302,0.097803,66
303,0.097804,4254
304,0.097826,66
305,0.097855,4254
306,0.097909,4254
307,0.097959,2858
308,0.098011,5650
309,0.09805,66
310,0.098059,2858
311,0.098073,66
312,0.098111,2858
313,0.098111,2858
314,0.098134,66
315,0.098161,1462
316,0.098216,5650
317,0.098241,66
318,0.098265,4254
319,0.098287,66
320,0.098316,2858
321,0.098348,66
322,0.098368,5650
323,0.098405,66
324,0.098415,4254
325,0.098427,66
326,0.098466,4254
327,0.098485,66
328,0.098515,2858
329,0.098531,66
330,0.098569,5650
331,0.098587,66
332,0.09862,4254
333,0.09867,2858
334,0.098672,66
335,0.098679,66
336,0.098721,5650
337,0.098739,66
338,0.09878,4254
339,0.098791,66
340,0.098827,2858
341,0.098859,66
342,0.098881,5650
343,0.098881,1462
344,0.0989,66
345,0.098928,5650
346,0.098939,66
347,0.098982,2858
348,0.099026,66
349,0.099029,4254
350,0.099048,66
351,0.099078,2858
352,0.099095,66
353,0.099133,5650
354,0.099147,66
355,0.099186,4254
356,0.099231,66
357,0.099237,4254
358,0.099246,66
359,0.099287,2858
360,0.099301,66
361,0.099333,4254
362,0.099342,66
363,0.099384,2858
364,0.099396,66
365,0.099435,5650
366,0.099472,66
367,0.099486,4254
368,0.0995,66
369,0.099535,2858
370,0.099549,66
371,0.099587,4254
372,0.0996,66
373,0.099636,4254
374,0.099672,66
375,0.09969,2858
376,0.09969,1462
377,0.099711,66
378,0.099745,4254
379,0.099792,4254
380,0.099846,4254
381,0.099852,66
382,0.099875,66
383,0.099897,4254
384,0.099945,2858
385,0.099959,66
386,0.099996,4254
387,0.100007,66
388,0.100048,4254
389,0.100095,4254
390,0.1001,66
391,0.100105,66
392,0.100145,4254
393,0.100195,2858
394,0.100244,4254
395,0.100295,5650
396,0.100346,2858
397,0.100395,2858
398,0.100445,1462
399,0.100445,4254
400,0.100494,2858
401,0.100545,4254
402,0.100595,5650
403,0.100624,66
404,0.100648,2858
405,0.100658,66
406,0.100696,4254
407,0.100699,66
408,0.100746,4254
409,0.10079,66
410,0.100799,4254
411,0.100812,66
412,0.100848,2858
413,0.100897,2858
414,0.100935,66
415,0.100947,4254
416,0.100968,66
417,0.101,1462
418,0.101094,4254
419,0.101105,66
420,0.101144,4254
421,0.101153,66
422,0.101196,2858
423,0.101221,66
424,0.101247,5650
425,0.101265,66
426,0.101302,4254
427,0.101314,66
428,0.101353,2858
429,0.101363,66
430,0.101402,5650
431,0.101434,66
432,0.101461,4254
433,0.10148,66
434,0.101509,4254
435,0.101522,66
436,0.101558,4254
437,0.10159,66
438,0.101608,2858
439,0.101623,66
440,0.101671,4254
441,0.101696,66
442,0.101711,4254
443,0.101722,66
444,0.101762,4254
445,0.10178,66
446,0.101812,4254
447,0.101863,4254
448,0.101882,66
449,0.101913,4254
450,0.101941,66
451,0.10197,4254
452,0.101982,66
453,0.102016,4254
454,0.102048,66
455,0.102068,2858
456,0.102069,1462
457,0.102094,66
458,0.102129,4254
459,0.102143,66
460,0.102178,2858
461,0.102188,66
462,0.102231,5650
463,0.102271,66
464,0.102276,2858
465,0.102283,66
466,0.10233,4254
467,0.102349,66
468,0.102382,5650
469,0.102403,66
470,0.102435,2858
471,0.102472,66
472,0.10249,4254
473,0.102516,66
474,0.10254,4254
475,0.102554,66
476,0.102587,4254
477,0.102599,66
478,0.102635,4254
479,0.102671,66
480,0.102689,2407
481,0.102709,66
482,0.106655,2356
483,0.107743,66
484,0.109052,4254
485,0.109089,4254
486,0.109107,66
487,0.109142,4254
488,0.109188,4254
489,0.109238,2858
490,0.109289,5650
491,0.109339,2858
492,0.109388,4254
493,0.109438,2858
494,0.109491,5650
495,0.109538,2858
496,0.109588,4254
497,0.109641,4254
498,0.109689,2858
499,0.10974,4254
500,0.109792,4254
501,0.10984,1462
502,0.10984,2858
503,0.109891,4254
504,0.109942,4254
505,0.109991,4254
506,0.110042,2858
507,0.110069,66
508,0.110094,4254
509,0.110108,66
510,0.110142,4254
511,0.110148,66
512,0.110191,4254
513,0.110196,66
514,0.110242,4254
515,0.110297,4254
516,0.110299,66
517,0.110322,66
518,0.110349,4254
519,0.110396,4254
520,0.110448,4254
521,0.110497,4254
522,0.110534,66
523,0.110546,4254
524,0.110555,66
525,0.110596,4254
526,0.110596,1462
527,0.110643,66
528,0.110646,1462
529,0.110697,5650
530,0.110717,66
531,0.110747,4254
532,0.110796,66
533,0.110801,4254
534,0.11081,66
535,0.110849,4254
536,0.110868,66
537,0.110897,2858
538,0.110951,4254
539,0.110999,5650
540,0.111047,2858
541,0.111096,5650
542,0.111129,66
543,0.111148,4254
544,0.111161,66
545,0.111199,4254
546,0.111215,66
547,0.111248,4254
548,0.11126,66
549,0.111297,4254
550,0.11133,66
551,0.111348,2858
552,0.111358,66
553,0.111398,2858
554,0.111398,2858
555,0.111413,66
556,0.111449,4254
557,0.111465,66
558,0.111501,4254
559,0.111548,4254
560,0.111564,66
561,0.111604,4254
562,0.111618,66
563,0.111652,4254
564,0.111666,66
565,0.111707,4254
566,0.111752,4254
567,0.111763,66
568,0.111806,4254
569,0.111854,4254
570,0.111868,66
571,0.111903,4254
572,0.111953,2858
573,0.112001,66
574,0.11201,7046
575,0.112024,66
576,0.112055,2858
577,0.112071,66
578,0.112103,4254
579,0.112134,66
580,0.112155,2858
581,0.112155,1462
582,0.11218,66
583,0.112207,5650
584,0.112224,66
585,0.112256,2858
586,0.112295,66
587,0.11231,5650
588,0.112338,66
589,0.112367,4254
590,0.112379,66
591,0.112418,5650
592,0.11243,66
593,0.112465,2858
594,0.112515,4254
595,0.112526,66
596,0.112532,66
597,0.112569,4254
598,0.112604,66
599,0.112635,5650
600,0.112652,66
601,0.112678,4254
602,0.112736,66
603,0.112738,4254
604,0.112761,66
605,0.112785,2858
606,0.112801,66
607,0.112837,5650
608,0.112854,66
609,0.112887,2858
610,0.112887,1462
611,0.112936,66
612,0.112947,4254
613,0.112965,66
614,0.112989,4254
615,0.113002,66
616,0.113036,4254
617,0.11305,66
618,0.113088,5650
619,0.113116,66
620,0.113137,5650
621,0.11315,66
622,0.113191,2858
623,0.113205,66
624,0.113243,5650
625,0.11327,66
626,0.11329,4254
627,0.113307,66
628,0.11334,1462
629,0.11343,4254
630,0.113439,66
631,0.11348,4254
632,0.113489,66
633,0.113535,4254
634,0.11355,66
635,0.113583,4254
636,0.113602,66
637,0.113634,4254
638,0.113646,66
639,0.113697,4254
640,0.11371,66
641,0.113735,4254
642,0.113775,66
643,0.113785,2858
644,0.113816,66
645,0.113837,5650
646,0.113853,66
647,0.113884,2858
648,0.113918,66
649,0.113939,5650
650,0.113956,66
651,0.113986,4254
652,0.114,66
653,0.114033,4254
654,0.114043,66
655,0.11409,4254
656,0.114108,66
657,0.11414,4254
658,0.114157,66
659,0.114189,2858
660,0.114202,66
661,0.11424,5650
662,0.114252,66
663,0.11429,4254
664,0.114318,66
665,0.11434,2858
666,0.114351,66
667,0.114393,2858
668,0.114393,2858
669,0.114413,66
670,0.114439,2858
671,0.114448,66
