No.,Time,Length
1,0,74
2,0.001192,74
3,0.001206,66
4,0.001373,583
5,0.002416,66
6,0.003562,4254
7,0.003575,66
8,0.003621,847
9,0.003626,66
10,0.004013,130
11,0.004138,2268
12,0.00519,66
13,0.005974,4254
14,0.005989,66
15,0.006026,5650
16,0.006032,66
17,0.006073,5650
18,0.006077,66
19,0.006122,4254
20,0.006126,66
21,0.00704,5650
22,0.007047,66
23,0.007081,2858
24,0.007084,66
25,0.007081,1462
26,0.007087,66
27,0.007129,5650
28,0.007134,66
29,0.007188,4254
30,0.007192,66
31,0.007303,5650
32,0.007308,66
33,0.007346,4254
34,0.007349,66
35,0.007397,2858
36,0.007554,4254
37,0.007604,2858
38,0.007807,66
39,0.008101,4254
40,0.008107,66
41,0.00815,3953
42,0.008155,66
43,0.052031,2398
44,0.053168,2268
45,0.054244,78
46,0.054244,66
47,0.055001,4254
48,0.055008,66
49,0.055049,5650
50,0.055054,66
51,0.055096,5650
52,0.055101,66
53,0.055146,4254
54,0.055149,66
55,0.055196,4254
56,0.0552,66
57,0.055248,2858
58,0.055252,66
59,0.0553,5650
60,0.055305,66
61,0.055349,4254
62,0.055355,66
63,0.055398,2858
64,0.055402,66
65,0.055398,1462
66,0.055406,66
67,0.055447,2858
68,0.055449,66
69,0.055496,2858
70,0.055497,66
71,0.055545,2858
72,0.055546,66
73,0.055599,5650
74,0.055605,66
75,0.055648,5650
76,0.055656,66
77,0.055696,4254
78,0.055699,66
79,0.055745,2557
80,0.055748,66
81,0.06002,2268
82,0.061066,78
83,0.061066,66
84,0.066302,5650
85,0.066318,66
86,0.066382,9838
87,0.066388,66
88,0.066428,6196
89,0.06643,66
90,0.09977,66
91,0.136792,3372
92,0.136879,66
93,0.145659,2411
94,0.193388,66
95,0.234963,7046
96,0.235003,5650
97,0.235009,66
98,0.235026,66
99,0.235053,5650
100,0.235103,5650
101,0.235155,5650
102,0.235205,5650
103,0.235254,7046
104,0.235302,5650
105,0.235354,5650
106,0.235402,5650
107,0.235453,5650
108,0.235453,1462
109,0.235503,5650
110,0.235555,5650
111,0.235602,5650
112,0.235672,8442
113,0.235702,4254
114,0.235772,7046
115,0.235805,66
116,0.235805,4254
117,0.235831,66
118,0.235854,5650
119,0.235858,66
120,0.235904,7046
121,0.235907,66
122,0.235955,5650
123,0.235995,66
124,0.236003,4254
125,0.236003,1462
126,0.236024,66
127,0.236062,7046
128,0.236065,66
129,0.236103,4254
130,0.236163,7046
131,0.236205,5650
132,0.236241,66
133,0.236258,5650
134,0.236263,66
135,0.23631,7046
136,0.236352,66
137,0.236358,5650
138,0.23639,66
139,0.236408,5650
140,0.236457,5650
141,0.236483,66
142,0.236506,5650
143,0.236542,66
144,0.236556,4254
145,0.236556,2858
146,0.236567,66
147,0.236603,5650
148,0.236612,66
149,0.236654,5650
150,0.236673,66
151,0.236704,5650
152,0.236713,66
153,0.236754,5650
154,0.236762,66
155,0.236806,7046
156,0.236822,66
157,0.236854,5650
158,0.236863,66
159,0.236904,5650
160,0.236911,66
161,0.236955,5650
162,0.236971,66
163,0.237019,7046
164,0.23703,66
165,0.237056,5650
166,0.237103,66
167,0.237106,2858
168,0.237106,2858
169,0.237132,66
