No.,Time,Length
1,0,74
2,0.000928,74
3,0.000946,66
4,0.001238,583
5,0.001991,66
6,0.003374,2858
7,0.003383,66
8,0.003423,2243
9,0.003427,66
10,0.005801,130
11,0.005926,2276
12,0.006795,66
13,0.012243,66
14,0.014662,74
15,0.017262,4254
16,0.017271,66
17,0.017306,2858
18,0.017309,66
19,0.017357,2858
20,0.017357,2858
21,0.017362,66
22,0.017365,66
23,0.01742,2858
24,0.017425,66
25,0.017461,2858
26,0.017465,66
27,0.017512,1462
28,0.017515,66
29,0.018088,475
30,0.018096,66
31,0.05709,74
32,0.05712,66
33,0.057309,583
34,0.099609,66
35,0.100846,2858
36,0.100857,66
37,0.100892,2454
38,0.100897,66
39,0.101212,130
40,0.10137,2348
41,0.143749,66
42,0.171644,2858
43,0.171645,1603
44,0.171673,66
45,0.171705,66
46,0.182748,2361
47,0.227472,66
48,0.275339,2858
49,0.275363,66
50,0.275653,2858
51,0.275664,66
52,0.27644,2858
53,0.276454,66
54,0.277184,2858
55,0.277197,66
56,0.278044,2858
57,0.278073,66
58,0.278813,2858
59,0.278841,66
60,0.27957,2858
61,0.279598,66
62,0.280292,2858
63,0.28031,66
64,0.281061,2858
65,0.281075,66
66,0.281821,1462
67,0.281878,1462
68,0.281895,66
69,0.282636,2858
70,0.282645,66
71,0.283403,2858
72,0.283412,66
73,0.284107,2858
74,0.284112,66
75,0.284902,2858
76,0.28491,66
77,0.285713,1462
78,0.286039,2858
79,0.286046,66
80,0.286854,2858
81,0.286864,66
82,0.287607,2858
83,0.287615,66
84,0.288392,2858
85,0.288396,66
86,0.289195,2858
87,0.289204,66
88,0.289883,2858
89,0.28989,66
90,0.290662,2858
91,0.290668,66
92,0.291415,2858
93,0.291418,66
94,0.319954,2858
95,0.319986,66
96,0.320339,2858
97,0.320353,66
98,0.321821,2858
99,0.321834,66
100,0.322234,1462
101,0.322247,66
102,0.322675,2858
103,0.322683,66
104,0.323452,2858
105,0.323458,66
106,0.324234,2858
107,0.32425,66
108,0.324911,2858
109,0.324927,66
110,0.325665,2858
111,0.325679,66
112,0.326551,2858
113,0.326564,66
114,0.327254,2858
115,0.327267,66
116,0.328012,2858
117,0.328018,66
118,0.328728,2858
119,0.328734,66
120,0.329507,2858
121,0.329516,66
122,0.330689,2858
123,0.330701,66
124,0.331051,1462
125,0.331063,66
126,0.331469,2858
127,0.331475,66
128,0.332213,2858
129,0.332223,66
130,0.333044,2858
131,0.333056,66
132,0.333809,2858
133,0.333814,66
134,0.334485,2858
135,0.33449,66
136,0.335298,2858
137,0.335303,66
138,0.336055,2858
139,0.336059,66
140,0.336802,2858
141,0.336807,66
142,0.337563,2858
143,0.337569,66
144,0.338339,2818
145,0.338344,66
146,0.364601,2858
147,0.364621,66
148,0.364911,1502
149,0.364916,66
150,0.365283,2858
151,0.365288,66
152,0.365989,2858
153,0.366,66
154,0.366683,2858
155,0.366694,66
156,0.367376,2858
157,0.367387,66
158,0.36806,2858
159,0.368071,66
160,0.36878,2858
161,0.368791,66
162,0.369455,2858
163,0.369466,66
164,0.370141,2858
165,0.37015,66
166,0.370831,2858
167,0.370843,66
168,0.371523,2858
169,0.371533,66
170,0.372232,2858
171,0.372241,66
172,0.372921,1462
173,0.372932,66
174,0.373265,2858
175,0.373271,66
176,0.373981,2858
177,0.373991,66
178,0.374697,2858
179,0.374706,66
180,0.375405,2858
181,0.375414,66
182,0.376068,2858
183,0.376078,66
184,0.376757,2858
185,0.376767,66
186,0.377447,2858
187,0.377454,66
188,0.378121,2858
189,0.378132,66
190,0.378829,2858
191,0.378836,66
192,0.379509,2858
193,0.379518,66
194,0.38022,2858
195,0.380225,66
196,0.380903,1462
197,0.380912,66
198,0.381277,2858
199,0.381283,66
200,0.381996,2858
201,0.382004,66
202,0.382656,2858
203,0.382663,66
204,0.383344,2858
205,0.38335,66
206,0.384042,1462
207,0.384048,66
208,0.384084,1462
209,0.384094,66
210,0.384705,2858
211,0.384714,66
212,0.385362,2858
213,0.385366,66
214,0.386013,2858
215,0.386018,66
216,0.38668,2858
217,0.386685,66
218,0.387373,2858
219,0.387378,66
220,0.387995,2858
221,0.388,66
222,0.388639,1462
223,0.388644,66
224,0.388991,2858
225,0.388994,66
226,0.389665,2858
227,0.389668,66
228,0.390281,2858
229,0.390283,66
230,0.390945,2858
231,0.390947,66
232,0.391597,2858
233,0.391599,66
234,0.392264,2858
235,0.39227,66
236,0.39298,2858
237,0.392987,66
238,0.393613,2858
239,0.393617,66
240,0.394238,2858
241,0.394243,66
242,0.394937,2858
243,0.394943,66
244,0.395538,2858
245,0.395554,66
246,0.396236,1462
247,0.396253,66
248,0.396566,2858
249,0.396582,66
250,0.39722,2858
251,0.397223,66
252,0.397864,2858
253,0.397879,66
254,0.398521,2858
255,0.398536,66
256,0.399221,2858
257,0.399236,66
258,0.399943,2858
259,0.399946,66
260,0.400532,2858
261,0.400536,66
262,0.401145,2858
263,0.401162,66
264,0.401857,2858
265,0.401861,66
266,0.402431,2858
267,0.402434,66
268,0.403102,2858
269,0.403108,66
270,0.403751,1462
271,0.403754,66
272,0.404098,2858
273,0.404104,66
274,0.404768,2858
275,0.404773,66
276,0.40541,2858
277,0.405419,66
278,0.40924,2858
279,0.409251,66
280,0.409566,4254
281,0.409584,66
282,0.410507,4254
283,0.410517,66
284,0.411389,4254
285,0.411399,66
286,0.412227,4254
287,0.412237,66
288,0.413108,4254
289,0.413118,66
290,0.413979,4254
291,0.413997,66
292,0.41483,4254
293,0.414841,66
294,0.415682,4254
295,0.415693,66
296,0.416525,4254
297,0.416536,66
298,0.417379,4254
299,0.417394,66
300,0.418215,4254
301,0.41822,66
302,0.419042,4254
303,0.419047,66
304,0.419811,2858
305,0.419816,66
306,0.420348,4254
307,0.420353,66
308,0.421201,4254
309,0.421207,66
310,0.42198,4254
311,0.421982,66
312,0.422808,4254
313,0.422814,66
314,0.42364,4254
315,0.423645,66
316,0.424476,4254
317,0.424481,66
318,0.42525,4254
319,0.425255,66
320,0.426041,2858
321,0.426059,66
322,0.42665,4254
323,0.426667,66
324,0.42738,2858
325,0.427385,66
326,0.427461,1462
327,0.427464,66
328,0.428163,2858
329,0.42817,66
330,0.428212,1462
331,0.428216,66
332,0.428996,4254
333,0.429002,66
334,0.429762,4254
335,0.429769,66
336,0.430513,4254
337,0.43053,66
338,0.431351,4254
339,0.431354,66
340,0.432126,2858
341,0.432129,66
342,0.432621,4254
343,0.432626,66
344,0.433361,4254
345,0.43338,66
346,0.434137,4254
347,0.434155,66
348,0.434884,5650
349,0.434888,66
350,0.435804,4254
351,0.43581,66
352,0.435856,1462
353,0.435859,66
354,0.436755,2858
355,0.436759,66
356,0.436806,2858
357,0.436811,66
358,0.43768,2858
359,0.437686,66
360,0.438144,4254
361,0.438153,66
362,0.438194,1462
363,0.438197,66
364,0.439054,4254
365,0.439064,66
366,0.439108,1462
367,0.439116,66
368,0.439939,4254
369,0.439945,66
370,0.43998,1462
371,0.439983,66
372,0.440807,4254
373,0.440817,66
374,0.440849,1462
375,0.440852,66
376,0.441665,5650
377,0.441675,66
378,0.442515,4254
379,0.442522,66
380,0.443174,5650
381,0.443181,66
382,0.443992,5650
383,0.444,66
384,0.444802,5650
385,0.444809,66
386,0.445616,5650
387,0.445623,66
388,0.44642,5650
389,0.446429,66
390,0.447223,5650
391,0.447233,66
392,0.448014,5650
393,0.448021,66
394,0.448808,5650
395,0.448817,66
396,0.448847,1462
397,0.448853,66
398,0.449745,2858
399,0.449757,66
400,0.449796,4254
401,0.449802,66
402,0.450737,4254
403,0.450748,66
404,0.450783,2858
405,0.450788,66
406,0.451704,4254
407,0.45171,66
408,0.452236,2858
409,0.452247,66
410,0.452288,4254
411,0.452296,66
412,0.453183,4254
413,0.453195,66
414,0.453234,2858
415,0.453242,66
416,0.454128,4254
417,0.454155,66
418,0.454191,2858
419,0.454199,66
420,0.455072,4254
421,0.455086,66
422,0.455121,2858
423,0.455129,66
424,0.456006,4254
425,0.456018,66
426,0.456053,2858
427,0.45606,66
428,0.456627,4254
429,0.456636,66
430,0.456673,5650
431,0.456686,66
432,0.457526,4254
433,0.457541,66
434,0.457583,5650
435,0.457592,66
436,0.458394,5650
437,0.458405,66
438,0.458437,4254
439,0.458449,66
440,0.45923,4254
441,0.459235,66
442,0.459284,5650
443,0.45929,66
444,0.460097,2858
445,0.460106,66
446,0.460163,7046
447,0.460169,66
448,0.460976,4254
449,0.460981,66
450,0.46101,4254
451,0.461022,66
452,0.46106,1462
453,0.461064,66
454,0.461847,7046
455,0.461859,66
456,0.461947,2858
457,0.461957,66
458,0.462691,5650
459,0.462701,66
460,0.462733,5650
461,0.462739,66
462,0.463631,205
463,0.463674,66
464,0.470542,2361
465,0.515275,66
466,0.528724,7046
467,0.528751,66
468,0.528815,5650
469,0.528826,66
470,0.528843,2858
471,0.528847,66
472,0.528922,2858
473,0.528932,66
474,0.52915,4254
475,0.529181,66
476,0.529211,4254
477,0.52922,66
478,0.529264,4254
479,0.529274,66
480,0.529313,4254
481,0.529318,66
482,0.529361,1462
483,0.530056,4254
484,0.530065,66
485,0.53011,4254
486,0.530113,66
487,0.530158,2858
488,0.530168,66
489,0.530211,4254
490,0.530214,66
491,0.530259,2858
492,0.530261,66
493,0.53097,4254
494,0.530988,66
495,0.531023,4254
496,0.531034,66
497,0.531086,2858
498,0.531094,66
499,0.531138,2858
500,0.531148,66
501,0.5312,4254
502,0.531212,66
503,0.53189,4254
504,0.5319,66
505,0.531938,2858
506,0.531942,66
507,0.531987,2858
508,0.531991,66
509,0.532039,4254
510,0.532047,66
511,0.532097,4254
512,0.532101,66
513,0.532814,2858
514,0.532829,66
515,0.532858,4254
516,0.532864,66
517,0.532914,4254
518,0.532924,66
519,0.53296,4254
520,0.532966,66
521,0.533011,2858
522,0.533015,66
523,0.533739,5650
524,0.533752,66
525,0.533819,7046
526,0.533826,66
527,0.533865,2858
528,0.533869,66
529,0.533915,2858
530,0.53392,66
531,0.534626,4254
532,0.534635,66
533,0.534674,2858
534,0.534679,66
535,0.534727,2858
536,0.53473,66
537,0.535125,4254
538,0.535138,66
539,0.535165,2858
540,0.535172,66
541,0.535215,2858
542,0.535218,66
543,0.535266,4254
544,0.535271,66
545,0.535315,4254
546,0.535319,66
547,0.536045,4254
548,0.536056,66
549,0.536093,4254
550,0.536097,66
551,0.536141,2858
552,0.536145,66
553,0.536191,4254
554,0.536196,66
555,0.536252,2858
556,0.536259,66
557,0.536963,4254
558,0.53697,66
559,0.537015,4254
560,0.53702,66
561,0.537071,4254
562,0.537076,66
563,0.537117,2858
564,0.537121,66
565,0.537168,2858
566,0.537172,66
567,0.537873,5650
568,0.537899,1462
569,0.537922,66
570,0.537951,2858
571,0.537954,66
572,0.538383,4254
573,0.538419,66
574,0.538426,4254
575,0.538438,66
576,0.538478,2858
577,0.538482,66
578,0.53852,4254
579,0.538533,66
580,0.53858,2858
581,0.538584,66
582,0.539271,5650
583,0.539302,66
584,0.539316,2858
585,0.539319,66
586,0.539382,4254
587,0.539406,66
588,0.539415,1462
589,0.539467,4254
590,0.53955,66
591,0.540203,2858
592,0.540245,2858
593,0.540259,66
594,0.540309,4254
595,0.540331,66
596,0.540347,4254
597,0.540358,66
598,0.540399,2858
599,0.540447,1462
600,0.540485,66
601,0.541097,4254
602,0.541121,66
603,0.541135,2858
604,0.541146,66
605,0.541186,2858
606,0.541209,66
607,0.54162,4254
608,0.541648,66
609,0.541677,4254
610,0.541692,66
611,0.541725,2858
612,0.541736,66
613,0.541783,2858
614,0.541794,66
615,0.541832,4254
616,0.541842,66
617,0.542497,4254
618,0.542517,66
619,0.542546,2858
620,0.542557,66
621,0.542596,4254
622,0.542607,66
623,0.542645,4254
624,0.542657,66
625,0.542698,2858
626,0.542746,66
627,0.543443,2858
628,0.543461,66
629,0.543493,4254
630,0.543504,66
631,0.543542,2858
632,0.543552,66
633,0.543592,4254
634,0.543602,66
635,0.543642,4254
636,0.543691,66
637,0.544349,4254
638,0.544366,66
639,0.544398,1462
640,0.544447,4254
641,0.544458,66
642,0.544821,4254
643,0.544837,66
644,0.54487,2858
645,0.54488,66
646,0.54492,4254
647,0.544931,66
648,0.54497,4254
649,0.544981,66
650,0.545021,2858
651,0.545031,66
652,0.545733,4254
653,0.545754,66
654,0.545788,4254
655,0.545802,66
656,0.545847,4254
657,0.545864,66
658,0.545898,4254
659,0.545911,66
660,0.545944,1462
661,0.546662,4254
662,0.546677,66
663,0.546772,2459
664,0.546788,66
