No.,Time,Length
1,0,74
2,0.048341,74
3,0.048366,66
4,0.048549,583
5,0.096729,66
6,0.097858,2858
7,0.097877,66
8,0.097858,2454
9,0.097899,66
10,0.10325,130
11,0.103446,2398
12,0.151435,66
13,0.185757,1909
14,0.185798,66
15,0.197797,2404
16,0.245242,66
17,0.261426,2858
18,0.261446,66
19,0.261477,2858
20,0.26148,66
21,0.26297,2858
22,0.262981,66
23,0.264516,2858
24,0.264524,66
25,0.2661,2858
26,0.266108,66
27,0.267637,2858
28,0.267646,66
29,0.2692,2858
30,0.269218,66
31,0.270728,2858
32,0.270739,66
33,0.27229,2858
34,0.272309,66
35,0.273865,2858
36,0.27388,66
37,0.275425,2858
38,0.275439,66
39,0.276969,2858
40,0.276981,66
41,0.278499,2858
42,0.278511,66
43,0.280052,2858
44,0.280065,66
45,0.281612,1462
46,0.28238,2858
47,0.282387,66
48,0.283935,2858
49,0.283943,66
50,0.308879,2858
51,0.308906,66
52,0.309683,2858
53,0.309691,66
54,0.311216,2858
55,0.311224,66
56,0.312745,2858
57,0.312756,66
58,0.314315,2858
59,0.314326,66
60,0.315848,2858
61,0.315853,66
62,0.317436,2858
63,0.31745,66
64,0.318978,2858
65,0.318994,66
66,0.320562,2858
67,0.320576,66
68,0.322066,1462
69,0.322081,66
70,0.322868,2858
71,0.322881,66
72,0.324411,2858
73,0.324425,66
74,0.32597,2858
75,0.325985,66
76,0.327534,2858
77,0.327548,66
78,0.329071,2858
79,0.32908,66
80,0.330587,2858
81,0.330594,66
82,0.332194,2858
83,0.3322,66
84,0.333726,2858
85,0.333732,66
86,0.335271,2858
87,0.335289,66
88,0.336768,2858
89,0.336776,66
90,0.338244,2858
91,0.338259,66
92,0.339699,1462
93,0.339705,66
94,0.34047,2858
95,0.340481,66
96,0.356333,2858
97,0.356366,66
98,0.357114,2858
99,0.35713,66
100,0.357781,2858
101,0.357794,66
102,0.35878,2858
103,0.358794,66
104,0.35974,2858
105,0.359758,66
106,0.360653,2858
107,0.360658,66
108,0.361636,2858
109,0.361641,66
110,0.362611,2858
111,0.362615,66
112,0.363566,2858
113,0.36357,66
114,0.364536,2858
115,0.364541,66
116,0.365508,1462
117,0.365521,66
118,0.365978,2858
119,0.365985,66
120,0.366951,2858
121,0.366963,66
122,0.367923,2858
123,0.367927,66
124,0.368883,2858
125,0.368889,66
126,0.369883,2858
127,0.369888,66
128,0.370828,2858
129,0.370834,66
130,0.371751,2858
131,0.371758,66
132,0.372725,2858
133,0.372732,66
134,0.373676,2858
135,0.373682,66
136,0.374637,2858
137,0.374645,66
138,0.375602,2858
139,0.375607,66
140,0.376618,1462
141,0.376623,66
142,0.377051,2858
143,0.377057,66
144,0.377999,2858
145,0.378004,66
146,0.378966,2858
147,0.378972,66
148,0.379923,2858
149,0.379928,66
150,0.380903,2858
151,0.380909,66
152,0.381862,2858
153,0.381867,66
154,0.38283,2858
155,0.382835,66
156,0.383787,2858
157,0.383794,66
158,0.384753,2858
159,0.384761,66
160,0.38568,2858
161,0.385686,66
162,0.386654,2858
163,0.386662,66
164,0.387607,1462
165,0.387615,66
166,0.388048,2858
167,0.388064,66
168,0.388977,2858
169,0.388993,66
170,0.389866,2858
171,0.389879,66
172,0.390776,2858
173,0.390789,66
174,0.391707,2858
175,0.391721,66
176,0.392583,2858
177,0.392597,66
178,0.393475,2858
179,0.393488,66
180,0.394389,2858
181,0.394402,66
182,0.395264,2858
183,0.395268,66
184,0.396193,2858
185,0.396198,66
186,0.39709,2858
187,0.397095,66
188,0.397992,1462
189,0.397996,66
190,0.39844,2858
191,0.398445,66
192,0.399329,2858
193,0.399334,66
194,0.400241,2858
195,0.400256,66
196,0.403788,2858
197,0.403793,66
198,0.404136,2858
199,0.40414,66
200,0.404931,2858
201,0.404936,66
202,0.405623,2858
203,0.405647,66
204,0.406412,2858
205,0.406416,66
206,0.407122,2858
207,0.407123,66
208,0.407866,2858
209,0.407867,66
210,0.408614,2858
211,0.408619,66
212,0.409293,1462
213,0.409298,66
214,0.409676,2858
215,0.409682,66
216,0.410343,2858
217,0.410348,66
218,0.411031,2858
219,0.411036,66
220,0.411713,2858
221,0.411718,66
222,0.41245,2858
223,0.412455,66
224,0.413052,2858
225,0.413059,66
226,0.413721,2858
227,0.413726,66
228,0.414353,4254
229,0.414362,66
230,0.415337,4254
231,0.415342,66
232,0.416309,4254
233,0.416314,66
234,0.417249,4254
235,0.417266,66
236,0.418173,4254
237,0.418188,66
238,0.419119,4254
239,0.419133,66
240,0.420041,4254
241,0.420045,66
242,0.420911,4254
243,0.420916,66
244,0.421801,4254
245,0.421806,66
246,0.422679,4254
247,0.422682,66
248,0.423537,2858
249,0.423538,66
250,0.424128,4254
251,0.424134,66
252,0.424989,4254
253,0.424994,66
254,0.425863,4254
255,0.425868,66
256,0.426724,4254
257,0.426729,66
258,0.427553,4254
259,0.427558,66
260,0.428322,4254
261,0.428327,66
262,0.429153,4254
263,0.429164,66
264,0.429938,2858
265,0.429942,66
266,0.430475,4254
267,0.43048,66
268,0.431236,4254
269,0.431241,66
270,0.432014,4254
271,0.432019,66
272,0.432785,4254
273,0.43279,66
274,0.433544,4254
275,0.433549,66
276,0.434303,4254
277,0.434308,66
278,0.435071,4254
279,0.435076,66
280,0.435869,4254
281,0.435872,66
282,0.436537,4254
283,0.436552,66
284,0.437299,4254
285,0.437314,66
286,0.43803,5650
287,0.438036,66
288,0.438944,2858
289,0.438948,66
290,0.439,2858
291,0.439002,66
292,0.439973,2858
293,0.439989,66
294,0.44038,4254
295,0.440402,66
296,0.440445,1462
297,0.440448,66
298,0.441333,5650
299,0.441338,66
300,0.442267,4254
301,0.442271,66
302,0.442315,1462
303,0.442317,66
304,0.443182,4254
305,0.443184,66
