No.,Time,Length
1,0,2381
2,0.000788,78
3,0.000788,66
4,0.641728,1930
5,0.64176,66
6,0.65255,2387
7,0.653372,78
8,0.653372,66
9,0.657398,8442
10,0.657412,66
11,0.657462,7046
12,0.657466,66
13,0.657517,4254
14,0.657521,66
15,0.657573,2858
16,0.657576,66
17,0.657626,4254
18,0.65763,66
19,0.657669,2858
20,0.657671,66
21,0.657739,2858
22,0.657747,66
23,0.657771,4254
24,0.657774,66
25,0.657824,5650
26,0.657827,66
27,0.657871,4254
28,0.657873,66
29,0.657921,5650
30,0.657924,66
31,0.657972,5650
32,0.657975,66
33,0.658024,5650
34,0.658027,66
35,0.658072,5650
36,0.658075,66
37,0.658122,5650
38,0.658127,66
39,0.658172,7046
40,0.658175,66
41,0.65822,2858
42,0.658222,66
43,0.658274,5650
44,0.658277,66
45,0.658327,2858
46,0.658327,1462
47,0.658332,66
48,0.658333,66
49,0.658377,5650
50,0.65838,66
51,0.658427,4254
52,0.658429,66
53,0.65848,5650
54,0.658483,66
55,0.658528,7046
56,0.65853,66
57,0.658577,5650
58,0.658579,66
59,0.658628,5650
60,0.65863,66
61,0.658679,5650
62,0.658682,66
63,0.658728,5650
64,0.658731,66
65,0.658778,7046
66,0.658782,66
67,0.658831,2858
68,0.658836,66
69,0.65888,4254
70,0.658883,66
71,0.658932,5650
72,0.658935,66
73,0.65898,5650
74,0.658983,66
75,0.659032,7046
76,0.659034,66
77,0.659079,5650
78,0.659082,66
79,0.659133,5650
80,0.659136,66
81,0.65918,5650
82,0.659183,66
83,0.65923,2858
84,0.659232,66
85,0.65928,4254
86,0.659282,66
87,0.659331,4254
88,0.659334,66
89,0.659388,7046
90,0.659393,66
91,0.659433,2858
92,0.659433,2858
93,0.659439,66
94,0.659442,66
95,0.659482,2858
96,0.659484,66
97,0.659532,5650
98,0.659535,66
99,0.659587,2858
100,0.659587,4254
101,0.659595,66
102,0.659599,66
103,0.659636,5650
104,0.65964,66
105,0.659681,5650
106,0.659684,66
107,0.659735,5650
108,0.65975,66
109,0.659787,5650
110,0.659794,66
111,0.659839,7046
112,0.659846,66
113,0.659885,5650
114,0.65989,66
115,0.659936,2858
116,0.659941,66
117,0.659985,5650
118,0.659991,66
119,0.660042,5650
120,0.66005,66
121,0.660086,5650
122,0.660092,66
123,0.660136,5650
124,0.660143,66
125,0.660186,5650
126,0.660193,66
127,0.660234,5650
128,0.660237,66
129,0.660286,7046
130,0.66029,66
131,0.660332,5650
132,0.660335,66
133,0.660384,5650
134,0.660387,66
135,0.660433,5650
136,0.660436,66
137,0.660485,2858
138,0.660487,66
139,0.660535,4254
140,0.660538,66
141,0.660587,4254
142,0.660589,66
143,0.660638,5650
144,0.660641,66
145,0.660688,5650
146,0.660691,66
147,0.66074,5650
148,0.660744,66
149,0.660787,1462
150,0.660787,5650
151,0.660792,66
152,0.660794,66
153,0.660837,1462
154,0.660839,66
155,0.660938,5650
156,0.660942,66
157,0.660989,5650
158,0.660992,66
159,0.661043,5650
160,0.661046,66
161,0.66109,5650
162,0.661093,66
163,0.661139,7046
164,0.661142,66
165,0.66119,5650
166,0.661193,66
167,0.661243,5650
168,0.661246,66
169,0.66129,5650
170,0.661292,66
171,0.66134,7046
172,0.661368,66
173,0.661389,4254
174,0.661389,1462
175,0.661394,66
176,0.661442,5650
177,0.661484,66
178,0.66149,5650
179,0.661512,66
180,0.661541,5650
181,0.661555,66
182,0.66159,7046
183,0.661628,66
184,0.661643,5650
185,0.661663,66
186,0.661707,7046
187,0.661738,66
188,0.661741,4254
189,0.661744,66
190,0.66179,7046
191,0.661824,66
192,0.661846,4254
193,0.661851,66
194,0.661892,4254
195,0.661895,66
196,0.661942,7046
197,0.661992,5650
198,0.662008,66
199,0.662047,5650
200,0.662097,7046
201,0.662145,5650
202,0.662195,5650
203,0.66222,66
204,0.662252,5650
205,0.662275,66
206,0.6623,7046
207,0.662331,66
208,0.662344,4254
209,0.662353,66
210,0.662396,4254
211,0.662456,7046
212,0.662477,66
213,0.662496,5650
214,0.662537,66
215,0.662545,1462
216,0.662545,4254
217,0.662557,66
218,0.662603,7046
219,0.662644,4254
220,0.662702,5650
221,0.66274,66
222,0.662745,5650
223,0.662798,5650
224,0.662841,66
225,0.662848,7046
226,0.662857,66
227,0.662897,4254
228,0.662942,7046
229,0.662991,5650
230,0.663037,66
231,0.663043,5650
232,0.663096,66
233,0.663097,2858
234,0.663097,2858
235,0.66311,66
236,0.663145,7046
237,0.66316,66
238,0.663192,5650
239,0.663244,5650
240,0.663296,5650
241,0.663344,5650
242,0.663392,5650
243,0.663412,66
244,0.663444,7046
245,0.663478,66
246,0.663497,5650
247,0.663531,66
248,0.663543,5650
249,0.663566,66
250,0.663593,5650
251,0.663644,2858
252,0.663644,4254
253,0.663683,66
254,0.663697,5650
255,0.663743,66
256,0.663743,5650
257,0.663755,66
258,0.663796,5650
259,0.663844,5650
260,0.663916,8442
261,0.663943,4254
262,0.663991,4254
263,0.664005,66
264,0.664051,2858
265,0.664056,66
266,0.664102,2858
267,0.664106,66
268,0.664154,5650
269,0.664168,66
270,0.664201,5650
271,0.66425,2858
272,0.664265,66
273,0.664306,1462
274,0.664306,4254
275,0.664342,66
276,0.664364,5650
277,0.664377,66
