No.,Time,Length
1,0,2402
2,0.000713,2258
3,0.001076,66
4,0.001773,66
5,0.002698,4254
6,0.002724,66
7,0.002746,5650
8,0.002749,66
9,0.002796,5650
10,0.0028,66
11,0.002847,7046
12,0.002852,66
13,0.002898,5650
14,0.002901,66
15,0.002975,7046
16,0.00298,66
17,0.003011,5650
18,0.003015,66
19,0.003047,4254
20,0.003051,66
21,0.0031,7046
22,0.003106,66
23,0.003148,5650
24,0.003152,66
25,0.003199,5650
26,0.003204,66
27,0.003248,1462
28,0.003252,66
29,0.003248,2557
30,0.003256,66
31,0.034649,2264
32,0.035704,66
33,0.036676,4254
34,0.036702,66
35,0.036723,5650
36,0.036735,66
37,0.03679,8442
38,0.036811,2858
39,0.036863,5650
40,0.036934,8442
41,0.036964,4254
42,0.037014,5650
43,0.037068,5650
44,0.037118,5650
45,0.037165,7046
46,0.037214,1462
47,0.037214,4254
48,0.037266,6385
49,0.037477,66
50,0.041855,2266
51,0.042956,78
52,0.042956,66
53,0.049328,5650
54,0.049359,4254
55,0.049404,66
56,0.049431,8442
57,0.049469,4254
58,0.049532,7046
59,0.049566,5650
60,0.049631,7046
61,0.049657,2858
62,0.049715,7046
63,0.049761,5650
64,0.049808,5650
65,0.049858,1462
66,0.049858,4254
67,0.049914,7046
68,0.049959,5650
69,0.050011,5650
70,0.050065,5650
71,0.050113,5650
72,0.050161,7046
73,0.050208,5650
74,0.050259,5650
75,0.050313,5650
76,0.050363,7046
77,0.050408,5650
78,0.050458,5650
79,0.050512,5650
80,0.050558,5650
81,0.05061,6631
82,0.050733,66
83,0.058291,2267
84,0.059347,66
85,0.061462,4254
86,0.06154,66
87,0.061572,12630
88,0.061606,4254
89,0.061882,32174
90,0.061968,11234
91,0.061991,1462
92,0.062259,32174
93,0.062495,27986
94,0.062655,66
95,0.062744,2858
96,0.062752,66
97,0.062745,26590
98,0.062849,66
99,0.062984,29382
100,0.062993,66
101,0.063225,8442
102,0.063235,66
103,0.063225,16362
104,0.0633,66
105,0.068212,2267
106,0.069498,78
107,0.069498,66
108,0.073701,30778
109,0.073792,66
110,0.073817,12630
111,0.073829,66
112,0.074047,21006
113,0.074066,9838
114,0.074306,27986
115,0.07455,26590
116,0.074567,4254
117,0.074793,26590
118,0.074912,66
119,0.075056,30778
120,0.075072,66
121,0.075294,2858
122,0.075299,66
123,0.075294,26590
124,0.075376,66
125,0.075542,27986
126,0.075564,66
127,0.075801,9838
128,0.07581,66
129,0.075801,21006
130,0.075833,66
131,0.076035,9838
132,0.076043,66
133,0.076035,15422
134,0.076077,66
135,0.076305,30778
136,0.076351,66
137,0.07654,18214
138,0.076555,66
139,0.07658,14026
140,0.076631,66
141,0.076801,26590
142,0.076835,66
143,0.077047,23798
144,0.077061,66
145,0.077075,8442
146,0.077125,66
147,0.077302,27986
148,0.077351,66
149,0.077543,27986
150,0.077564,66
151,0.077571,2858
152,0.077612,66
153,0.077788,11635
154,0.077801,66
155,0.085153,2268
156,0.086225,78
157,0.086225,66
158,0.08746,5650
159,0.087493,4254
160,0.087522,66
161,0.087548,5650
162,0.087599,5650
163,0.087647,7046
164,0.087695,5650
165,0.087743,5650
166,0.087797,5650
167,0.087855,7046
168,0.087903,5650
169,0.087955,7046
170,0.088004,5650
171,0.088053,5650
172,0.088104,5650
173,0.088143,5650
174,0.088195,5650
175,0.088245,5650
176,0.088284,66
177,0.088294,5650
178,0.08832,66
179,0.088344,7046
180,0.088347,66
181,0.088395,5650
182,0.088399,66
183,0.088446,5650
184,0.088495,5650
185,0.088513,66
186,0.088545,1462
187,0.088545,5650
188,0.088549,66
189,0.088595,5650
190,0.088598,66
191,0.088645,5650
192,0.088695,5650
193,0.088746,5650
194,0.088788,66
195,0.088796,7046
196,0.088819,66
197,0.088845,5650
198,0.088889,66
199,0.088895,5650
200,0.088916,66
201,0.088948,7046
202,0.088995,4254
203,0.089016,66
204,0.089045,7046
205,0.089074,66
206,0.089097,5650
207,0.089109,66
208,0.089145,5650
209,0.089169,66
210,0.089199,7046
211,0.089215,66
212,0.089245,5650
213,0.089255,66
214,0.089295,5650
215,0.089317,66
216,0.089348,5650
217,0.089359,66
218,0.089398,5650
219,0.08941,66
220,0.089448,7046
221,0.089472,66
222,0.089495,5650
223,0.089506,66
224,0.089546,5650
225,0.089555,66
226,0.089597,5650
227,0.089618,66
228,0.089648,7046
229,0.089665,66
230,0.089696,5650
231,0.089747,5650
232,0.089765,66
233,0.089799,5650
234,0.089821,66
235,0.089846,5650
236,0.089859,66
237,0.089897,1462
238,0.089897,5650
239,0.089916,66
240,0.089946,5650
241,0.089959,66
242,0.089999,5650
243,0.090031,66
244,0.090047,5650
245,0.090061,66
246,0.090098,7046
247,0.090114,66
248,0.090146,5650
249,0.090181,66
250,0.090197,5650
251,0.090208,66
252,0.090248,5650
253,0.090262,66
254,0.090296,5650
255,0.090325,66
256,0.090348,7046
257,0.09036,66
258,0.090399,5650
259,0.090431,66
260,0.090448,5650
261,0.090464,66
262,0.090498,5650
263,0.090513,66
264,0.090547,7046
265,0.090588,66
266,0.090597,5650
267,0.090617,66
268,0.090647,5650
269,0.090659,66
270,0.090696,5650
271,0.09072,66
272,0.090748,7046
273,0.090766,66
274,0.090799,5650
275,0.090811,66
276,0.090846,5650
277,0.090872,66
278,0.090897,5650
279,0.090912,66
280,0.090947,5650
281,0.090961,66
282,0.090997,5650
283,0.091024,66
284,0.091052,7046
285,0.091073,66
286,0.091097,5650
287,0.091107,66
288,0.091146,5650
289,0.091157,66
290,0.091201,7046
291,0.091217,66
292,0.091246,5650
293,0.091278,66
294,0.091296,5650
295,0.091309,66
296,0.091348,5650
297,0.091362,66
298,0.091398,5650
299,0.091426,66
300,0.09145,7046
301,0.091473,66
302,0.091497,4254
303,0.091497,1462
304,0.09151,66
305,0.091547,5154
306,0.09158,66
307,0.095216,2269
308,0.09629,66
309,0.100255,4254
310,0.100281,66
311,0.100303,5650
312,0.100352,5650
313,0.100403,5650
314,0.100456,5650
315,0.100502,5650
316,0.100553,7046
317,0.100602,5650
318,0.100655,5650
319,0.100702,5650
320,0.100755,7046
321,0.100801,1462
322,0.100801,4254
323,0.100855,5650
324,0.100905,5650
325,0.100952,5650
326,0.101003,7046
327,0.101055,5650
328,0.101102,5650
329,0.101153,5650
330,0.101203,5650
331,0.101257,7046
332,0.101303,5650
333,0.101312,66
334,0.101348,66
335,0.101354,1462
336,0.101354,4254
337,0.101385,66
338,0.101403,5650
339,0.101421,66
340,0.101456,7046
341,0.101503,5650
342,0.101554,5650
343,0.101604,5650
344,0.101655,5650
345,0.101689,66
346,0.101705,7046
347,0.101732,66
348,0.101754,5650
349,0.101767,66
350,0.101803,5650
351,0.101806,66
352,0.101856,5650
353,0.101904,1462
354,0.101904,4254
355,0.101954,7046
356,0.102003,5650
357,0.102058,5650
358,0.102105,5650
359,0.102153,5650
360,0.102204,7046
361,0.102256,5650
362,0.102306,5650
363,0.102353,5650
364,0.102402,2858
365,0.102402,2858
366,0.102455,1462
367,0.102455,5650
368,0.102503,5650
369,0.102553,5650
370,0.102603,5650
371,0.102656,5650
372,0.102703,7046
373,0.102753,5650
374,0.102804,5650
375,0.102855,5650
376,0.102903,5650
377,0.102954,7046
378,0.103004,5650
379,0.103056,5650
380,0.103104,5650
381,0.103156,7046
382,0.103206,5650
383,0.103257,5650
384,0.10331,7046
385,0.103355,4254
386,0.103407,7046
387,0.103458,5650
388,0.103505,5650
389,0.103534,66
390,0.104588,4254
391,0.104595,66
392,0.104636,5650
393,0.104649,66
394,0.104685,5650
395,0.104738,7046
396,0.104756,66
397,0.104788,5650
398,0.104806,66
399,0.104836,5650
400,0.104923,9838
401,0.104959,66
402,0.10499,8442
403,0.105013,66
404,0.105239,12630
405,0.105259,19610
406,0.105291,66
407,0.1055,24625
408,0.105527,66
409,0.808116,2077
410,0.808212,66
411,0.816027,2409
412,0.817133,66
413,0.82163,5650
414,0.82173,66
415,0.821736,12630
416,0.821759,66
417,0.821823,9838
418,0.822079,30778
419,0.822332,5650
420,0.822332,23798
421,0.822578,29382
422,0.822817,66
423,0.822821,11234
424,0.822839,19610
425,0.822846,66
426,0.822872,66
427,0.823076,27986
428,0.823092,66
429,0.823313,16818
430,0.823323,66
431,0.823337,14026
432,0.823368,66
433,0.823568,27986
434,0.823579,66
435,0.823823,22402
436,0.82384,66
437,0.823854,11234
438,0.823869,66
439,0.824071,25194
440,0.824083,66
441,0.824323,27986
442,0.824343,4254
443,0.824356,66
444,0.82458,27986
445,0.824592,66
446,0.824827,1462
447,0.824827,27986
448,0.824848,66
449,0.825072,29382
450,0.825101,66
451,0.825324,7046
452,0.82533,66
453,0.825324,22402
454,0.825347,66
455,0.825567,27986
456,0.82559,66
457,0.825808,14026
458,0.825815,66
459,0.825827,16818
460,0.825854,66
461,0.826068,29382
462,0.826108,66
463,0.82631,18214
464,0.826317,66
465,0.826327,11234
466,0.826346,66
467,0.826569,29382
468,0.826578,66
469,0.826813,23798
470,0.826822,66
471,0.826828,7046
472,0.826831,66
473,0.827066,27986
474,0.827075,66
475,0.827318,29382
476,0.827327,66
477,0.827332,1462
478,0.827568,27986
479,0.827578,66
480,0.82782,29382
481,0.82784,1462
482,0.827866,66
483,0.828075,4254
484,0.828082,66
485,0.828075,23798
486,0.828116,66
487,0.828326,30778
488,0.828364,66
489,0.828583,4254
490,0.828589,66
491,0.828583,5650
492,0.828583,19610
493,0.828607,66
494,0.828827,27986
495,0.828858,66
496,0.829067,16818
497,0.829087,66
498,0.829109,16818
499,0.829122,66
500,0.829327,26590
501,0.829359,66
502,0.829573,21006
503,0.829593,66
504,0.829614,12630
505,0.829635,66
506,0.829836,26590
507,0.829889,66
508,0.830076,25194
509,0.830089,66
510,0.830098,5650
511,0.830134,66
512,0.830331,26590
513,0.830362,66
514,0.83058,29382
515,0.83061,66
516,0.830834,2858
517,0.830842,66
518,0.830834,26590
519,0.830864,66
520,0.831082,29382
521,0.831119,66
522,0.831334,8442
523,0.831342,66
524,0.831334,22402
525,0.83137,66
526,0.831584,29382
527,0.831618,66
528,0.831822,12630
529,0.831831,66
530,0.831853,18214
531,0.831883,66
532,0.832086,27986
533,0.832118,66
534,0.832325,18214
535,0.832336,66
536,0.832353,12630
537,0.832384,66
538,0.832587,27986
539,0.832602,66
540,0.832832,23798
541,0.832844,66
542,0.832858,8442
543,0.832918,66
544,0.833088,26590
545,0.833102,66
546,0.833336,29382
547,0.833355,2858
548,0.833377,66
549,0.833584,26590
550,0.833597,66
551,0.833841,29382
552,0.833876,66
553,0.834087,5650
554,0.834095,66
555,0.834087,23798
556,0.834129,66
557,0.834325,10183
558,0.834334,66
559,0.842961,2416
560,0.844219,66
561,0.847096,29382
562,0.847189,11234
563,0.847443,23798
564,0.847458,8442
565,0.847696,27986
566,0.847947,27986
567,0.847966,2858
568,0.848201,29382
569,0.848372,66
570,0.848451,29382
571,0.848699,2858
572,0.848699,26590
573,0.848957,29382
574,0.848989,66
575,0.849202,8442
576,0.849202,21006
577,0.849449,29382
578,0.84969,14026
579,0.849713,16818
580,0.849957,1462
581,0.849957,27986
582,0.850197,18214
583,0.850226,14026
584,0.850455,26590
585,0.85056,66
586,0.850698,23798
587,0.850717,66
588,0.850721,7046
589,0.850785,66
590,0.850952,27986
591,0.850967,66
592,0.8512,29382
593,0.851215,66
594,0.851217,1462
595,0.851448,26590
596,0.851466,66
597,0.851704,30778
598,0.851722,66
599,0.851978,5650
600,0.851986,66
601,0.851978,26590
602,0.852203,16822
603,0.85223,12630
604,0.852329,66
605,0.852466,22402
606,0.852486,66
607,0.852504,9838
608,0.852719,25194
609,0.852861,66
610,0.852965,29382
611,0.852991,66
612,0.853001,4254
613,0.853007,66
614,0.853217,25194
615,0.853236,66
616,0.85347,29382
617,0.853503,66
618,0.853718,5650
619,0.853726,66
620,0.853718,23798
621,0.853738,66
622,0.853968,29382
623,0.853986,66
624,0.854201,11234
625,0.854212,66
626,0.85423,19610
627,0.854241,66
628,0.854456,26590
629,0.854472,66
630,0.854708,18214
631,0.854741,15422
632,0.854762,66
633,0.854764,66
634,0.854967,26590
635,0.854987,66
636,0.855204,22402
637,0.855215,66
638,0.85523,8442
639,0.855236,66
640,0.855462,27986
641,0.855483,66
642,0.855715,27986
643,0.85573,66
644,0.855736,4254
645,0.855739,66
646,0.855965,26590
647,0.85598,66
648,0.856215,29382
649,0.856227,66
650,0.856459,4254
651,0.856464,66
652,0.856459,25194
653,0.856479,66
654,0.856709,29382
655,0.856719,66
656,0.85696,9838
657,0.856966,66
658,0.85696,19610
659,0.856976,66
660,0.857212,29382
661,0.857227,66
662,0.857455,15422
663,0.857464,66
664,0.857481,16818
665,0.857498,66
666,0.85772,27986
667,0.857734,66
668,0.857962,19610
669,0.857974,66
670,0.857989,12630
671,0.857997,66
672,0.858224,26590
673,0.858238,66
674,0.858468,25194
675,0.858483,66
676,0.858488,7046
677,0.858494,66
678,0.858718,26590
679,0.858731,66
680,0.858968,29382
681,0.858985,66
682,0.859221,1462
683,0.859222,27986
684,0.859241,66
685,0.859473,29382
686,0.859488,66
687,0.85972,7046
688,0.859726,66
689,0.85972,22402
690,0.859757,66
691,0.859967,29382
692,0.859979,66
693,0.860207,12630
694,0.860213,66
695,0.860222,16818
696,0.860227,66
697,0.860467,29382
698,0.860475,66
699,0.860707,18214
700,0.860715,66
701,0.860724,12630
702,0.860729,66
703,0.860984,30778
704,0.861015,66
705,0.861236,8634
706,0.861243,66
707,0.861236,19610
708,0.861261,66
709,0.861472,27986
710,0.861487,66
711,0.861719,16818
712,0.861733,66
713,0.861755,16818
714,0.861783,66
715,0.86198,26590
716,0.861995,66
