No.,Time,Length
1,0,74
2,0.000919,74
3,0.000934,66
4,0.001079,583
5,0.001821,66
6,0.002955,4254
7,0.002973,66
8,0.00302,844
9,0.003024,66
10,0.003233,130
11,0.003521,2337
12,0.004302,66
13,0.009565,66
14,0.272735,2107
15,0.272764,66
16,0.281658,2347
17,0.282445,78
18,0.282446,66
19,0.473494,9838
20,0.473525,66
21,0.473593,1462
22,0.473593,11234
23,0.473606,66
24,0.473611,66
25,0.474524,15422
26,0.474534,66
27,0.474555,14026
28,0.47456,66
29,0.474764,2858
30,0.474764,12630
31,0.474777,66
32,0.474782,66
33,0.475457,1104
34,0.475464,66
35,0.478582,9838
36,0.478594,66
37,0.478649,5650
38,0.478657,66
39,0.478912,27986
40,0.478923,66
41,0.479015,1462
42,0.479015,9838
43,0.479025,66
44,0.479029,66
45,0.479248,11246
46,0.479256,66
47,0.490388,39154
48,0.490424,66
49,0.490562,18304
50,0.490586,66
51,0.498006,2347
52,0.499004,66
53,0.499004,66
54,0.501875,26590
55,0.501895,66
56,0.501968,11234
57,0.501973,66
58,0.50223,26590
59,0.502244,66
60,0.50225,5650
61,0.502253,66
62,0.502494,21006
63,0.502504,66
64,0.502745,19610
65,0.502753,66
66,0.502989,18214
67,0.502995,66
68,0.503,1462
69,0.503002,66
70,0.503242,3462
71,0.503251,66
72,1.042662,2342
73,1.043443,78
74,1.043443,66
75,1.044347,4254
76,1.044354,66
77,1.044396,5650
78,1.044399,66
79,1.044448,5650
80,1.044453,66
81,1.044495,7046
82,1.044499,66
83,1.044561,7046
84,1.044565,66
85,1.044598,4254
86,1.0446,66
87,1.044672,8442
88,1.044678,66
89,1.044712,5650
90,1.044715,66
91,1.044745,4254
92,1.044747,66
93,1.044796,5650
94,1.044799,66
95,1.044847,5650
96,1.044851,66
97,1.044895,1462
98,1.044896,4254
99,1.0449,66
100,1.044903,66
101,1.044948,7046
102,1.044952,66
103,1.044995,5650
104,1.044998,66
105,1.045063,7046
106,1.045066,66
107,1.045095,4254
108,1.045097,66
109,1.045161,8442
110,1.045166,66
111,1.045195,4254
112,1.045197,66
113,1.045265,7046
114,1.045269,66
115,1.045295,4254
116,1.045298,66
117,1.045354,7046
118,1.045357,66
119,1.045407,5650
120,1.045407,1462
121,1.045411,66
122,1.045413,66
123,1.045449,4089
124,1.045453,66
125,1.049921,2252
126,1.050678,66
127,1.055957,7046
128,1.055973,66
129,1.05607,14026
130,1.056141,8442
131,1.056402,30778
132,1.056639,4254
133,1.056639,2557
134,1.056846,66
135,1.061669,2258
136,1.062652,78
137,1.062653,66
138,1.067557,29382
139,1.067623,66
140,1.067643,11234
141,1.067651,66
142,1.067912,23798
143,1.067941,11234
144,1.068159,26590
145,1.068408,19486
146,1.06871,66
147,1.082025,2260
148,1.083018,66
149,1.084002,27986
150,1.084041,66
151,1.084108,12630
152,1.084116,66
153,1.084369,23798
154,1.084401,11234
155,1.084622,26590
156,1.084864,26590
157,1.084875,2858
158,1.085116,29382
159,1.085153,66
160,1.085369,29382
161,1.085394,66
162,1.085613,2858
163,1.085613,4254
164,1.085627,66
165,1.085642,66
166,1.086181,29382
167,1.086205,66
168,1.086429,29382
169,1.086438,66
170,1.086678,5650
171,1.086678,23798
172,1.086687,66
173,1.086691,66
174,1.086921,12133
175,1.086928,66
176,1.097852,2350
177,1.098843,78
178,1.098843,66
179,1.100504,21006
180,1.100522,66
181,1.100601,8442
182,1.100604,66
183,1.100872,25194
184,1.100882,66
185,1.101136,9838
186,1.101136,16818
187,1.10116,66
188,1.101163,66
189,1.101378,19610
190,1.101398,66
191,1.101626,21006
192,1.101668,66
193,1.101876,7046
194,1.101876,14026
195,1.101906,66
196,1.101911,66
197,1.102128,27986
198,1.102166,66
199,1.102345,22402
200,1.102353,66
201,1.102358,4254
202,1.1025,66
203,1.102617,30778
204,1.10263,66
205,1.102852,26590
206,1.102864,66
207,1.103112,2858
208,1.103112,27986
209,1.103124,66
210,1.103141,66
211,1.103368,30778
212,1.103393,66
213,1.103625,1462
214,1.103625,27986
215,1.103655,66
216,1.10385,26590
217,1.103868,66
218,1.104108,9838
219,1.104108,21006
220,1.104121,66
221,1.104154,66
222,1.104351,29382
223,1.10437,66
224,1.104594,14026
225,1.104599,66
226,1.104611,15422
227,1.104629,66
228,1.104852,29382
229,1.104871,66
230,1.105106,19610
231,1.105115,66
232,1.105123,12630
233,1.105148,66
234,1.105386,30778
235,1.105406,66
236,1.105612,21006
237,1.10562,66
238,1.105628,7046
239,1.105665,66
240,1.105868,27986
241,1.105894,66
242,1.106119,27986
243,1.106127,66
244,1.106355,1462
245,1.106355,27986
246,1.106377,66
247,1.106603,29382
248,1.10662,66
249,1.106855,7046
250,1.106855,22402
251,1.106864,66
252,1.106876,66
253,1.107105,29382
254,1.107122,66
255,1.107348,12630
256,1.107352,66
257,1.10736,12630
258,1.107363,66
259,1.107604,19610
260,1.107618,66
261,1.107863,22402
262,1.107879,66
263,1.108113,9838
264,1.108113,11234
265,1.108126,66
266,1.108139,66
267,1.108366,25194
268,1.108383,66
269,1.108616,27986
270,1.108637,66
271,1.108867,29382
272,1.108886,66
273,1.109116,29382
274,1.109125,66
275,1.109359,5650
276,1.109359,22402
277,1.109366,66
278,1.109389,66
279,1.109608,29382
280,1.109624,66
281,1.109852,12630
282,1.109856,66
283,1.109865,18214
284,1.109886,66
285,1.110114,27986
286,1.110135,66
287,1.110353,18214
288,1.11036,66
289,1.110369,12630
290,1.110389,66
291,1.11061,27986
292,1.110646,66
293,1.110872,2598
294,1.110877,66
295,1.116313,2261
296,1.117107,78
297,1.117107,66
298,1.134243,4254
299,1.134308,66
300,1.134336,11234
301,1.134385,5650
302,1.134646,30778
303,1.134735,11234
304,1.135,1462
305,1.135,29382
306,1.135184,66
307,1.135264,30778
308,1.135283,66
309,1.135516,4254
310,1.135516,26590
311,1.135534,66
312,1.135754,66
313,1.13576,27986
314,1.135781,66
315,1.136009,9838
316,1.136009,19610
317,1.136027,66
318,1.136046,66
319,1.136255,5650
320,1.136255,4254
321,1.136255,19610
322,1.136277,66
323,1.136291,66
324,1.136492,15422
325,1.136503,66
326,1.136519,15422
327,1.136526,66
328,1.136756,27986
329,1.136787,66
330,1.136999,21006
331,1.137015,66
332,1.137034,12630
333,1.137052,66
334,1.137249,25194
335,1.137262,66
336,1.137497,26590
337,1.137514,4254
338,1.137533,66
339,1.137749,27986
340,1.137761,66
341,1.138002,29382
342,1.13802,66
343,1.138248,2858
344,1.138248,26590
345,1.138261,66
346,1.138284,66
347,1.138498,29382
348,1.138519,66
349,1.138748,8442
350,1.138748,21006
351,1.138758,66
352,1.138772,66
353,1.139001,30778
354,1.139021,66
355,1.139243,12630
356,1.139249,66
357,1.139254,1497
358,1.139266,66
359,1.142791,2262
360,1.143762,78
361,1.143762,66
362,1.145949,29382
363,1.146017,66
364,1.14605,11234
365,1.146072,66
366,1.146311,23798
367,1.146336,9838
368,1.146555,26590
369,1.146805,27986
370,1.146834,4254
371,1.147055,26590
372,1.147322,32174
373,1.147559,1462
374,1.147559,26590
375,1.147826,1462
376,1.147826,29382
377,1.148047,7046
378,1.14813,66
379,1.149126,29382
380,1.149148,66
381,1.149385,29382
382,1.149405,66
383,1.149629,5650
384,1.149629,23798
385,1.149644,66
386,1.149662,66
387,1.14987,29382
388,1.1499,66
389,1.150112,11234
390,1.150119,66
391,1.15013,19610
392,1.150153,66
393,1.150371,27986
394,1.150394,66
395,1.150613,16818
396,1.15062,66
397,1.150631,14026
398,1.150647,66
399,1.150873,27986
400,1.150902,66
401,1.151117,15168
402,1.151127,66
403,1.155693,2351
404,1.156686,66
405,1.160477,27986
406,1.160504,66
407,1.160556,9838
408,1.16056,66
409,1.160829,26590
410,1.160842,7046
411,1.161092,29382
412,1.161331,27986
413,1.161353,2858
414,1.161539,66
415,1.161584,27986
416,1.16163,66
417,1.161843,29382
418,1.161867,66
419,1.162079,4254
420,1.162079,23798
421,1.162109,66
422,1.162274,66
423,1.162322,29382
424,1.162342,66
425,1.162564,11234
426,1.162571,66
427,1.162589,21006
428,1.162644,66
429,1.162821,26590
430,1.162873,66
431,1.163063,16818
432,1.163069,66
433,1.163082,14026
434,1.163088,66
435,1.163319,27986
436,1.163343,66
437,1.16357,22402
438,1.163581,66
439,1.163594,9838
440,1.163615,66
441,1.163827,27986
442,1.16385,66
443,1.164077,26590
444,1.164088,66
445,1.164098,5650
446,1.164117,66
447,1.164337,27986
448,1.16435,66
449,1.164578,27986
450,1.164591,66
451,1.164831,2858
452,1.164831,27986
453,1.164853,66
454,1.16487,66
455,1.1651,30778
456,1.165136,66
457,1.165341,5650
458,1.165341,23798
459,1.165381,66
460,1.165548,66
461,1.165595,29382
462,1.16565,66
463,1.16582,11234
464,1.16583,66
465,1.165848,18214
466,1.165868,66
467,1.166091,27986
468,1.166167,66
469,1.166328,18214
470,1.166341,66
471,1.166361,14026
472,1.16639,66
473,1.166593,27986
474,1.16661,66
475,1.166827,22402
476,1.166843,66
477,1.166867,9838
478,1.166904,66
479,1.167091,26590
480,1.167108,66
481,1.16734,27986
482,1.16736,3343
483,1.167409,66
484,1.320551,29382
485,1.32058,66
486,1.320798,27986
487,1.32081,66
488,1.32104,7046
489,1.32104,1474
490,1.32105,66
491,1.321073,66
492,1.324659,29382
493,1.324722,66
494,1.324893,27986
495,1.324906,66
496,1.325138,7046
497,1.325138,1474
498,1.325145,66
499,1.325174,66
500,1.328867,30778
501,1.328958,66
502,1.329133,32174
503,1.329181,66
504,1.329359,1462
505,1.329359,1474
506,1.329368,66
507,1.333747,12630
508,1.3338,7046
509,1.334073,32174
510,1.334303,12630
511,1.334328,1474
512,1.33673,66
513,1.338048,30778
514,1.338087,66
515,1.338288,27986
516,1.338303,66
517,1.338526,5650
518,1.338526,1474
519,1.338535,66
520,1.338632,66
521,1.342166,30778
522,1.342241,66
523,1.342408,29382
524,1.342427,66
525,1.342646,4254
526,1.342646,1474
527,1.342652,66
528,1.342672,66
529,1.346159,12630
530,1.346218,7046
531,1.346222,66
532,1.346238,66
533,1.346488,32174
534,1.346519,66
535,1.346722,12630
536,1.346729,66
537,1.346736,1474
538,1.346753,66
539,1.350467,21006
540,1.35054,66
541,1.350712,19610
542,1.350723,66
543,1.350965,21006
544,1.351025,66
545,1.351205,2858
546,1.351205,1474
547,1.351214,66
548,1.351231,66
549,1.354443,14026
550,1.354489,66
551,1.35451,8442
552,1.35452,66
553,1.354753,27986
554,1.354776,66
555,1.354994,14026
556,1.355,66
557,1.355007,1474
558,1.355014,66
559,1.358752,30778
560,1.358827,66
561,1.359002,29382
562,1.359013,66
563,1.359285,4254
564,1.359285,1474
565,1.359304,66
566,1.359321,66
567,1.362721,7046
568,1.362782,7046
569,1.362787,66
570,1.362806,66
571,1.362835,4254
572,1.362857,66
573,1.362893,4254
574,1.362904,66
575,1.36294,4254
576,1.362989,2858
577,1.36304,5650
578,1.363042,66
579,1.363049,66
580,1.36309,4254
581,1.363144,4254
582,1.363199,4254
583,1.363202,66
584,1.36321,66
585,1.363248,4254
586,1.363268,66
587,1.363294,2858
588,1.36335,5650
589,1.363362,66
590,1.363396,2858
591,1.363414,66
592,1.36345,1462
593,1.36345,1474
594,1.363473,66
595,1.366829,5650
596,1.366918,66
597,1.366921,11234
598,1.36694,66
599,1.366966,5650
600,1.36699,66
601,1.367234,30778
602,1.36728,66
603,1.367327,11234
604,1.367333,66
605,1.367337,1474
606,1.367357,66
607,1.371162,29382
608,1.371204,66
609,1.37142,30778
610,1.371442,66
611,1.371661,4254
612,1.371661,1474
613,1.371667,66
614,1.37168,66
615,1.376089,14026
616,1.376112,66
617,1.376128,4254
618,1.376136,66
619,1.376419,34966
620,1.376443,66
621,1.37649,8442
622,1.376493,66
623,1.376778,2858
624,1.376778,1474
625,1.376783,66
626,1.376802,66
627,1.380254,15422
628,1.380289,4254
629,1.380299,66
630,1.380307,66
631,1.380555,30778
632,1.380578,66
633,1.380659,12630
634,1.380665,66
635,1.38093,1462
636,1.38093,1474
637,1.380952,66
638,1.384466,19610
639,1.384535,8442
640,1.384556,66
641,1.384808,32174
642,1.384854,66
643,1.385045,4254
644,1.385046,1474
645,1.385064,66
646,1.385209,66
