No.,Time,Length
1,0,74
2,0.000023,74
3,0.000879,74
4,0.000898,66
5,0.000944,74
6,0.000949,66
7,0.001046,583
8,0.001147,583
9,0.00179,66
10,0.001916,66
11,0.002942,4254
12,0.002953,66
13,0.002974,846
14,0.002974,2858
15,0.002978,66
16,0.00298,66
17,0.003024,2242
18,0.003027,66
19,0.003253,130
20,0.003506,130
21,0.003626,2493
22,0.003711,2259
23,0.004413,66
24,0.004475,66
25,0.009853,66
26,0.009929,66
27,0.035923,4254
28,0.035944,66
29,0.036003,5650
30,0.036007,66
31,0.036051,2858
32,0.036053,66
33,0.036103,4254
34,0.036108,66
35,0.036152,2858
36,0.036154,66
37,0.036747,7046
38,0.036756,66
39,0.036767,1462
40,0.036768,1462
41,0.036772,66
42,0.036774,66
43,0.036818,4254
44,0.036821,66
45,0.036868,2858
46,0.036871,66
47,0.036918,2858
48,0.03692,66
49,0.036971,4254
50,0.036975,66
51,0.03702,4254
52,0.037025,66
53,0.037072,4254
54,0.037076,66
55,0.037125,2858
56,0.037129,66
57,0.037187,4254
58,0.03719,66
59,0.037518,2858
60,0.037522,66
61,0.037599,5349
62,0.037604,66
63,0.046776,2290
64,0.046792,66
65,0.063964,2265
66,0.064754,66
67,0.064754,66
68,0.065792,4254
69,0.065797,66
70,0.065831,2858
71,0.065834,66
72,0.065881,4254
73,0.065883,66
74,0.06593,4254
75,0.065933,66
76,0.06598,4254
77,0.065984,66
78,0.066074,2858
79,0.066077,66
80,0.0666,2858
81,0.066606,66
82,0.066651,2858
83,0.066656,66
84,0.066699,5650
85,0.066749,2858
86,0.066749,1462
87,0.066765,66
88,0.066804,4254
89,0.066811,66
90,0.066854,2858
91,0.066858,66
92,0.066903,4254
93,0.066906,66
94,0.066958,4254
95,0.066964,66
96,0.067014,1462
97,0.067014,2858
98,0.067018,66
99,0.06702,66
100,0.067065,4254
101,0.067074,66
102,0.067118,4254
103,0.067122,66
104,0.067184,1161
105,0.067188,66
106,0.070548,2499
107,0.071355,66
108,0.080424,5650
109,0.080436,66
110,0.080457,2858
111,0.080462,66
112,0.080502,4254
113,0.080505,66
114,0.080551,1462
115,0.080606,7046
116,0.08061,66
117,0.080652,5650
118,0.080656,66
119,0.080705,5650
120,0.08071,66
121,0.080766,7046
122,0.080774,66
123,0.080822,5650
124,0.080822,1462
125,0.080831,66
126,0.080866,5650
127,0.08087,66
128,0.080915,5650
129,0.080919,66
130,0.080966,5650
131,0.080971,66
132,0.081014,5650
133,0.081019,66
134,0.081053,5650
135,0.081055,66
136,0.081104,5650
137,0.081107,66
138,0.081153,5650
139,0.08116,66
140,0.081203,4254
141,0.081206,66
142,0.081352,2858
