No.,Time,Length
1,0,74
2,0.000888,74
3,0.000916,66
4,0.001031,583
5,0.001819,66
6,0.003104,4254
7,0.003112,66
8,0.003161,846
9,0.003164,66
10,0.003383,130
11,0.003479,2493
12,0.004247,66
13,0.009653,66
14,0.074901,2265
15,0.074925,66
16,0.08728,2504
17,0.088057,66
18,0.088057,66
19,0.108723,5650
20,0.108757,66
21,0.108812,5650
22,0.108812,5650
23,0.108829,66
24,0.108838,66
25,0.108856,5650
26,0.108861,66
27,0.109575,11234
28,0.109585,66
29,0.10959,1462
30,0.109592,66
31,0.109646,7046
32,0.10965,66
33,0.109895,2858
34,0.109895,9838
35,0.109901,66
36,0.109906,66
37,0.109912,9838
38,0.109918,66
39,0.110147,2858
40,0.110152,66
41,0.110404,10342
42,0.110416,66
43,1.097875,2498
44,1.098706,66
45,1.099884,4254
46,1.099894,66
47,1.099977,7046
48,1.099984,66
49,1.100033,5650
50,1.100039,66
51,1.100081,4254
52,1.100087,66
53,1.10012,2858
54,1.100124,66
55,1.100173,4254
56,1.100178,66
57,1.100223,4254
58,1.100228,66
59,1.100273,4254
60,1.100276,66
61,1.100328,4254
62,1.100332,66
63,1.100379,4254
64,1.100382,66
65,1.100426,4254
66,1.100429,66
67,1.100476,1462
68,1.100476,1462
69,1.100481,66
70,1.100484,66
71,1.100527,5650
72,1.100531,66
73,1.100574,2858
74,1.100579,66
75,1.100625,4254
76,1.100627,66
77,1.100677,5650
78,1.100679,66
79,1.100724,2858
80,1.100726,66
81,1.100775,4254
82,1.100777,66
83,1.100826,5650
84,1.100829,66
85,1.100877,2858
86,1.100879,66
87,1.10093,2858
88,1.100935,66
89,1.100986,7046
90,1.100991,66
91,1.101031,2858
92,1.101038,66
93,1.101079,2858
94,1.101083,66
95,1.101131,5650
96,1.101135,66
97,1.101191,4254
98,1.101197,66
99,1.101236,4254
100,1.101239,66
101,1.101283,2858
102,1.101285,66
103,1.101334,5650
104,1.101337,66
105,1.101386,4254
106,1.101389,66
107,1.101439,4254
108,1.101441,66
109,1.10149,5650
110,1.101492,66
111,1.101541,5650
112,1.101544,66
113,1.101589,4254
114,1.101593,66
115,1.101645,4254
116,1.101649,66
117,1.101693,4254
118,1.101699,66
119,1.101743,2858
120,1.101745,66
121,1.101798,5650
122,1.101802,66
123,1.101845,1462
124,1.101845,1462
125,1.101851,66
126,1.101855,66
127,1.101895,4254
128,1.101899,66
129,1.101945,4254
130,1.101955,66
131,1.101994,2858
132,1.101999,66
133,1.102044,4254
134,1.102048,66
135,1.102095,5650
136,1.102098,66
137,1.102146,2858
138,1.102151,66
139,1.102194,5650
140,1.102198,66
141,1.102247,2858
142,1.102251,66
143,1.102299,4254
144,1.102302,66
145,1.102349,5650
146,1.102353,66
147,1.102402,2858
148,1.102404,66
149,1.102449,4254
150,1.102451,66
151,1.1025,4254
152,1.102502,66
153,1.102551,1462
154,1.102551,1462
155,1.102556,66
156,1.10256,66
157,1.102603,5650
158,1.102607,66
159,1.102651,1462
160,1.102651,1462
161,1.102653,66
162,1.102656,66
163,1.102704,5650
164,1.102706,66
165,1.102754,4254
166,1.102756,66
167,1.102813,4254
168,1.102819,66
169,1.102862,4254
170,1.102874,66
171,1.102915,5650
172,1.102952,66
173,1.102966,5650
174,1.102995,66
175,1.103014,4569
176,1.103034,66
177,1.106826,2260
178,1.107613,66
179,1.112211,4254
180,1.112256,5650
181,1.112269,66
182,1.112302,66
183,1.112311,7046
184,1.112356,5650
185,1.112409,5650
186,1.112455,5650
187,1.112509,5650
188,1.112555,7046
189,1.112611,5650
190,1.112651,5650
191,1.112708,5650
192,1.112753,1462
193,1.112753,2557
194,1.113439,66
195,1.123851,2266
196,1.124688,78
197,1.124688,66
198,1.126925,8442
199,1.126966,4254
200,1.12699,66
201,1.127002,4254
202,1.127002,66
203,1.127006,66
204,1.127063,7046
205,1.127112,5650
206,1.127181,7046
207,1.127197,4254
208,1.127249,5650
209,1.127295,5650
210,1.127346,5650
211,1.127397,7046
212,1.127451,5650
213,1.127495,5650
214,1.127547,5743
215,1.127709,66
216,1.131806,2504
217,1.132599,66
218,1.139614,5650
219,1.139656,4254
220,1.139686,66
221,1.139711,7046
222,1.13976,5650
223,1.13981,5650
224,1.139863,7046
225,1.139912,5650
226,1.139941,4254
227,1.139991,5650
228,1.14004,5650
229,1.140097,5650
230,1.140145,2858
231,1.140145,4254
232,1.140192,5650
233,1.140241,5650
234,1.140293,5650
235,1.14034,5650
